Comment,Number
j'arrive après la guerre mais quelqu'un sait combien ils ont du payer pour la caution du camping car ? 6 épisodes que j'attend ça ptdr merci d'avance,3
à quand on va ou 7 ?,3
2ans après c'est incroyable la vidéo j'espère y aura une autre vidéo on va ou incroyable tout ce moment de votre aventure gros cœur et j'espère re voir ce groupe incroyable,5
Merci de faire des vidéos tu me sauves 😍😊,5
Les gars srx le matériels on dirait vous chercher à payer la caution lol 😂😂😂😂😂 Et  je parle pas que des  3 roues électrique  ceci  dit  merci pour le divertissement,4
Est-ce que quelqu'un connait le montant de la caution du camping car ? 🤣,3
"Deux ans plus tard je me demande toujours de combien à coûté la caution du camping car mdr ! C'est la troisième fois que je re regarde on va où 6, à quand le prochain on va où ? J'ai hâte !",2
pq ce groupe (cette famille) s'est dissoute c'était magique... l'amour et l'énergie de l'époque..,5
Alors combien la caution camping car ?,3
Dire que setais une des dernière fois quon les voyait ensemble rentrons il pleut 😢😢,1
Bravo l'équipe et grand merci pour cette aventure 👍😉,5
"Première fois qu'une fin de vidéo m'a fait verser quelques larmes, c'était magique, merci à vous !",5
c quand la saison 7 STP,3
"vous êtes trop cool, merci à vous de nous offrir ce genre de vidéos, la vraie vie, c'est ça qu'on aime.",5
La légende avec son maillot des habs😂❤️ et son bâton lol,5
« C’est que le début » c’était le début de la fin..,5
revenez enfaite et arreter de vous faire la gueule merci,5
"Je pense juste aux gens qui recuperent le camping car pete, et sui doivent le reparer. Ou les petites voiturettes etc .. ke vous adore et je pleure de rire mais respectez plus le matos plzzz❤️",3
oh ptnnn la chute du gars en velo hahahahahaha,1
La caution du camping car a du être salé ?,2
c'etait incroyable trop d'amour vous etes les meilleurs,5
Quelqu’un a le lien de la cover de « Space Song » qui est à la fin de ce sublime vlog final ? 💔,5
Je viens juste de découvrir la série je l'ai manger en une semaine et je voudrais trop une nouvelle saison c'était incroyable et chaque épisode était complet je suis dégouté davoir déjà fini 😂!,5
1:02:01,1
1:03:35,1
43:18,3
vous nous manquez les gars,1
Dire que c’était le dernier « On va où ? » 🥲,1
1:04:34  la musique par pitié ?,1
c'est que le début malheureusement c'étais la dernière avec l'équipe,3
"""C'est que le debut""..",3
A quand une nouvelle saison !?,5
Dommage pour le groupe,3
LE PROCHAIN MAINTENANT,5
J'pourrais pleurer la fin :(,2
J’ai encore chialé à la fin. Merci pour cette mini série sidjil,2
J'ai tout simplement bingewatcher merci 💪,5
Bientôt 2 ans et je me suis refais la saison pour la 3eme fois 😂 j’adore je suis en fou rire toutes les 3sec. Mon rêve de partir entre amis sur et être aussi dingues !! Manas mon petit préf 😂 vivement la prochaine 😘,5
Dire que y'aura plus jamais de on va où... C'était le meilleur concept youtube clairement,5
