Comment,Number
"Rendez-vous sur https://nordvpn.com/DrNozman pour obtenir un abonnement de 2 ans + 4 mois supplémentaire gratuit, le tout avec une réduction. (30 jours d'essai)",4
Horrible 🥵,1
La balle perdue pour Disney 🤣,5
Beaumont ça vous di pas quelqu'un,1
Chlorhydrique qui est produit par l'estomac cet acide peut même dissoudre du métal ça m'a fait trop marrer l'histoire du couteau caca les concerts ce n'est pas drôle du tout😮😅😅,2
Une vidéo sur le lymphome tient ! C'est cool ça 😁,5
En gros le feministe ammene le monde vers l'extinction,5
"Le couteau a pas été reproduit et essayer en de pareil circonstances que son inventeur. Le régime et la congélation ok, mais c'est la température extérieure de la zone géographique qui permet le maintien de la matière dans le temps et donc; peut concluait l'expérience.",2
Je me doutais un peu que les couteaux en caca... bah c'était de la merde!,2
"La fosse du désespoir, la video de feldup m'avait tellement marqué aussi",1
"Une histoire assez connue est celle du petit Albert, un enfant chez qui on a crée une phobie des rats et associant dès son plus jeune âge la présence d'un rat à un bruit très fort et effrayant. Le pauvre a ensuite développé la phobie des rats mais aussi des lapins et autres petits animaux.",3
En parlant de l'histoire avec les mec et sa fistule ça me fait beaucoup pensé au vaches à hublot.,5
l’expérience Rythm 0,1
"D'après le tableau à 11'24'', William Beaumont n'était pas qu'un expérimentateur en chirurgie, mais aussi en pédopsychiatrie !",3
Qui a commandé au peintre un tableau aussi beau techniquement avec un thème aussi ? ... Moche ?,3
Mais l'expérience avec le couteau en caca 💩 il l'a refait a -32degres extérieur?,3
"Je pense a Henrietta, il s'agis donc d'une personne unique au monde a qui lui est arrivé un telle chose? Bizarrement je n'y crois pas. Et si j'ai raison on retient le nom d'Henrietta uniquement parce que s'est la première fois qu'on se rend compte qu'e ça puisse existé.",2
Super histoire l'histoire du couteau caca xD,5
Son fidèle couteau en caca à sa ceinture 🤣😂,5
Tu peux parler de l'expérience du sommeil en Russie,3
C'était une transition... de m*rde :p *lache le micro et sort comme un héros*,1
"l'immortalité n'est pas difficile a envisager si on voit la mort comme une adaptation au milieu: puisque l'énergie est limitée, une fois qu'un adulte a transmis ses gênes et élevé ses enfants, il devient obsolète et inutile par rapport à la génération suivante théoriquement plus adaptée que lui, dont il continue a consommer les sources d'énergie, donc pour éviter la surpopulation, on meurt. Si on était immortel, avoir des enfant serait impossible, puisque l'énergie disponible n'est pas infinie, et nous adapter au milleu serait impossible sans mutation lors de la reproduction... donc la mort est nécessaire.",2
"Du coup envisager qu'on puisse rendre des cellules immortelles n'est pas si inenvisageable puisque c'est sans doute l'évolution qui a ""volontairement"" créé le processus de mort.",3
En ce qui concerne la dernière je pense qu'elle a inspiré les vaches hublots...,3
Ayant subie une opération cérébrale éveillée ça m'a vraiment perturbé quand le chirurgien a fermé ma main en stimulant un endroit précis alors que je savais de quoi il en retournait donc j'imagine ces pauvres bêtes qui doivent rien y comprendre...,2
5:13 juste magnifique référence à Akira 🤣,5
C’est un peu Des savants fous c’est un peu drôle mais très horrible,1
c  connue mais est ce que tu pourrais raconter l'expérience de montauk/mk ultra en profondeur,3
sinon t vidéos sont trop cool😁💓💓,3
Pour le dernier y mettait aussi des bou de métal ou des truc comme sa jai vu en science,3
je skate aussi!!,5
"*comme le S.I.D.A.* ? qui aurait d'abord été trouvé par une équipe de chercheurs américains puis ""testé"" sur un large nombre de détenus américains (living in USA!) de tous les genres sexuels sous la promesse d'une grâce totale en retour , grâce pénale of course. C'est ainsi qu'on apprit que CE virus a sciemment été créé en labo. par la main de l'homme , et ce , au cours de la guerre froide , pour avoir la bombe bactériologique la plus mortelle et crade qui soit ! ...  *Sauf que les chercheurs n'avaient prévu que le virus du SIDA était à long développement*  *en Aucun cas aussi long* ! ... C'est comme ça que des centaines voire milliers de détenus ont été libérés , sans savoir qu'ils étaient des porteurs ""sains"" du SIDA , et qu'ils ont répandu le virus à travers le Monde , l'un qui le repassait à l'autre , et l'autre le repassait à une ou un autre etc etc un immense effet ""boule de neige"" trans-world s'en est suivi puis répandu à travers  le Monde... c'est ce qu'on appelle les virus ""fantômes"" ! *Et la COVID  -19* ? *Pangolin + chauvesouris = Homme* ? ...   *ou* ,  *pour chopper le virus pour l'Homme créé par l'Homme*  =  *chauvesouris + pangolin* = *COVID  -19?*",5
*Les questions* ... *Toujours les questions*  ...  *sans réponse*,1
La coprocoutellerie,4
"Tes VD sont passionnantes, néanmoins je me permets une ""note"" critique : en effet le montage est effectué je pense, afin de raccourcir au maximum le temps de diffusion. Or celui-ci ne laisse aucun blanc entre chaque mot comme tout un chacun lorsqu'il parle. Ce qui fait que nous entendons un débit mitraillette de mots monocorde qui est entêtant voire ""fatigant"". Après cinq lectures j'ai abandonné mais paradoxalement : pas parce que c'est inintéressant. Un comble !",3
Woooooooooooooooooooooooooooooooooooooooooooooooow,1
"Aujourd'hui un gars atteints de la maladie de parkinson c'est fait implanté une électrode dans le cerveau, et il n'a plus de symptômes de la maladie et a pu arrêter son traitement médicamenteux",2
Incroyable tes vidéos comme d'habitude,5
"Je vis au Canada, hé oui!",5
Guillotin a subi son invention. Tous ces scientifiques devraient subir la même punition.,1
"c'est fou. la science avance parfois par des idées intéressantes, mais appliquées bizarrement.",5
"Cette expérience sur le toro de corrida je l'avais vue, étant enfant, aux actualités au cinéma. Effectivement, c'était présenté comme une avancée de la science.   A chaque fois que j'ai eû l'occasion d'en parler on m'a toujours regardé comme qlq'un de...dérangé. Comme si on pouvait, avec 'un simple appareil,  transformer un toro de combat furieux en adorable animal de compagnie. C'est probablement ce qui a inspiré Manara pour son premier album de BD "" le declic"".",5
Pourrais-tu faire une vidéo sur le projet neuralink de Elon musk ?,3
C’est quoi sur sa main?,3
cc eva,4
4:23 est ce que tu t’es deja fait FOUDROYÉ au lit ?,1
cjfjfjh,5
Raconte nous l'histoire du compte vlad alias dracula,4
"9:21 "" les couteaux en caca, ça marche pas très bien "". Contrairement aux couteaux en lait, si si: https://www.youtube.com/watch?v=t557dPspLxo",2
