Comment,Number
Là je viens de m'abonner un VPN ça fait bizarre mais je désespoir j'avais besoin d'ailleurs merci pour ce sujet😮😅😅😅,3
Protéger au maximum ses données confidentialité je savais pas que facebook récolté 14 €😅😅😅,1
"En effet , ils nous écoutent et pas simplement ce que l’on dit .",3
Par exemple j’ai joué au tennis alors que je ne l’avais plus fait depuis une vingtaine d’années.,5
Le lendemain j’ai eu des pubs pour des cordes de raquette sur mon téléphone…,1
Le son des balles frappées ….,4
Dingue !,5
"As pub, c’est bien, mais le produit devrait-être gratuit, tout est payant. On veut de l’anonymat on doit payer, on veut être tranquille, il faut payer, etc…, etc…!!",3
C’est inacceptable !!,1
Le fil rouge sur ta main gauche cest pour  fair beau ou bien ??,2
Moi je laisses souvent mon tel à la maison quand je bouges,3
Si vous pensez vraiment que depuis edward snowden ils n’exportent plus nos  données 🤡🤡🤡 il était le flocon de neige sur l’iceberg,1
"une fois j etait sur facebook sur mon telephone, il y avait. la pub de la derniere ford fiesta bleue qui passait a la TV à se moment.... et je navigue sur facebook, je tombe au meme moment sur une photo de la pub aussi de la derniere ford fiesta et bleue aussi.......",1
Il semble que ce que tu affirmes dans cette vidéo soit faux : https://youtu.be/-nH-iBWWbeg,1
Qui a raison ?,1
Quand c'est gratuit c'est vous le produit,1
La rentre analogique du circuit  n'est  activé que lorsque on lui autorise donc pas d’écoute sur par le téléphone sans qu'on fasse des appelles,2
Du genre quoi,4
"J'ai déjà fait le test de mon côté en parlant à côté de mon téléphone cela ne fonctionne pas a tout les coups, mais cela arrive.",3
"Le seul moyen d'être anonyme c'est de vivre sans téléphone et dans une grotte de nos jours. C'est beau la technologie, mais il y a des limites à ne pas dépasser malheureusement les puissants de ce monde n'ont aucun scrupule ni limite. 😒",4
"""J'accepte et j'ai lu les conditions d'utilisation""",4
La pire arnaque que j'ai jamais lu mdr,1
Google Shit pas Google Sheet,1
Si tout delà étais vrai les criminels serons facile à retrouver sans problème,4
"Je suis totalement conscient de la vie privé divulgué, après, concernant Facebook, Google, Microsoft, etc, je suis personne, un inconnu, un nombre dans leur méta donné.",1
"Je sais ce que j'achète et ce dont j'ai besoin, alors après la question qui peut se poser, est-ce que je suis maître de ce que j'ai besoin, de mes pensées même pour aller plus loin ?",5
"Pour l’anecdote, concernant l'historique de google map,  je m'étais pris une amende de stationnement de 135€, or, ce n'était pas moi du tout, et j'étais carrément à l'autre bout de la ville à ce moment. Comment cela c'était passé, on s'en fou, mais je n'ai pas payé 135€. Merci l'historique googlemap.",1
7:40 Dr Nozman parle d'une conversation que l'on aurait au téléphone ou d'une conversation que l'on aurait avec quelqu'un hors téléphone ???,1
Qui écoute le covid lol,5
"Utiliser un VPN ça ne rend absolument pas anonyme sur internet. Ça change l'IP oui, mais si c'est pour se connecter avec son compte facebook, son compte google ou pour avoir gardé les cookies du navigateur, ça ne sert strictement à rien niveau sécurité.",1
"Et en plus, rediriger tout son traffic vers une entreprise louche qui se situe dans des paradis fiscaux, c'est vraiment pas ultra secure.",1
Écouter sur Netflix: derrière nos écrans de fumée,5
"Je suis le seul qui a désactivé ""ok google"" ?",1
c'est nous qui utilisons la technologie pour qu'elle se serve de nous afin qu'on s'en serve! easy,5
"Regarder le film docu ""terms and condition may appli"" je suis rester sur le cul ^^",3
C'est très regarder  les vue,5
Quand j'ai mes règles les pubs sont en majorité des produits pour hygiène intime. Pourtant je le mentionne a peine et seulement dans la vraie vie. J'suis écoutée lol,3
"Question: est ce que google peut fournir un alibi recevable en justice. Qu'elle est la valeur de l'info qu'ils gardent sur nous? Si je suis détective, est ce que je peux me procurer un mandat pour conaitre les déplacement d'un individue?",1
Mais si m'ont téléphone m'écoute sans que je le sache POURQUOI IL M'ENVOIE PAS LES COURS comme ça pas besoin de les noter 😂,3
"Personnellement, je n'ai jamais eu de pubs qui me visaient sur mes goûts ou autre et pourtant Dieu seul sait à quel point je parle devant mon téléphone.",3
"Du coup, j'ai du mal à visualiser ce que ressentent les gens face à ça ou même à voir le problème.",3
Au pire acheter un Nokia,1
Le google d'un mec dans ma classe s'est allumé pour dire quil ne savait pas la réponse à la question de mon prof de maths mdr,2
"Super vidéo, c'est rassurant quelque part de savoir qu'on prélève nos informations personnelles même si y'en a certaines qui sont gênantes parceque de ce fait les personnes mal intentionnées se font détectés plus rapidement et même avant qu'ils passent a l'acte",4
Si toi aussi ton téléphone a réagi au «Ok Google» de Dr. Nozman,3
Le nombre de fois ou j’ai fait des TikTok et que Google me clash 😫,1
"A 7,23  min google me répond ok super 🤣🤣🤣😅",5
Euh a la fin de la vidéo cest pas Michael Joao ? Wtf quest ce qu'il fou la,1
"Arrete avec tes marques, ça fait pitié",1
Me encantaria ver al hombre que ao asi: despeinado,5
0:48 JE LE VEUX,1
#googletimemap,5
mais nord est VPN ca protège rien xD le vendu XPDR,1
bonjour nozman,1
"Pour moi, c'est aux utilisateurs de faire un peu plus attention au donné qu'ils laisse filtré sur Internet.",3
"La revente de donné, c'est un modèle économique comme un autre. Si il changeais leur modèle économique et passait à un Système à abonnement par exemple, il y aurais encore plus de mécontent que simplement ceux qui ont peur qu'on utilise leur donné.",5
Nozman #jevendestrucs #ineedmoney,1
la liberté n'existe pas mais le choix existe encore,3
Le pull à 70 boules mdrrr 🤣🤣🤣🤣,1
Ta faut une greffe?,1
j'ai pas la géolocalisation donc aucun trajet,1
Comment peuvent-ils savoir mon orientation sexuelle ou ma religion ? Grâce à des infos venant d'autre part ?,3
Heureusement que personne ne me prends en considération,2
moi je me cache pas que je suis fan d'Eva Elfie 🤔,3
Ta allumer mon google home sa ma fait sursauter comme jamais 😂,5
10.08 tiens tiens tiens..,1
Tu captes la 5G avec tes cheveux 😂,5
A quand un nouveau vrai ou faut,3
"Les VPN mdr, on a découvert la vente d information aussi pas les entreprise proposant les services VPN, j espère pour toi que nord VPN n'est pas inclus dans le lot ça serai bête de se faire sponsor par une entreprise qui se dit secure et qui ne l est pas surtout en rapport avec ton thème ....mer i pour Tes vidéos bonne continuation",3
"A partir de 7:26 c’est juste faux. Je comprend pas comment il a pu se tromper autant. Y’a 0 preuves que c’est vrai, et il a entièrement détourner la source du journaliste qui à 700 extraits audio sauvegardé, puisque c’est à chaque fois lorsqu’il dit Ok Google. Et c’est uniquement pour mieux apprendre notre voix. Bref, google sauvegarde pas l’audio lorsqu’il a pas entendu ok google. En plus, on peut simplement désactiver la sauvegarde de ces enregistrements.",1
