Comment,Number
"Merci à NordVPN pour leur soutien, pour toute souscription à l’abonnement 2 ans, obtenez 4 mois supplémentaires gratuits. Profitez-en dès maintenant : 👉 https://nordvpn.com/vilebrequin",5
Un peu lourd toutes ces refs ajoutées. Chouette vidéo sinon,3
Il aurait tellement fallu des plans de drones,2
Super vidéo !,5
Ne pas rouler sur les buissons aussi se sont comme les enfants 😅,1
"Jouer à micro-machines avec des (vraies!) bmw depuis son canapé, le rêve ! Même si j'aurais choisi plutôt des tractions pour la maniabilité",5
😢,5
Le « touc » il m’a fumé 😂😂😂,1
A part joyca c'est que des master classe sur l'humour,3
"Visiblement les français ont un problème avec les voitures allemandes, elles sont trop robustes je pense",2
16:13 pierre! arrête de parler comme un cassos de cité stp…,1
Pov : si nos perso gta avait une conscience,2
Les efforts pour cacher redbull sont incommensurables,2
"jsuis en retard dans les videos, je sais que vous stoppez donc je profite ❤",3
suis-je entrain de me re regarder toute la chaine ? OUI,1
"Incroyable le concept , bravo !!",5
Des invités exceptionnels !,5
Il faut calmer le monteur,3
C'est trop,2
Mais super vidéo merci,5
Concept de fou malade et feat incroyable. Une dinguerie cette vidéo. A refaire absolument 👍 👍👍,5
En fait faudrait mettre une go pro derrière et un casque VR pour avoir une vue 3eme personne,3
Le montage du seigneur,5
WTF la ref de papa Shultz à 31:26 mdr,1
"15:20, 16:38 😂",1
il les ont laminer a leur propre concept,2
Première fois qu'une vidéo de vilebrequin me plaît pas dommage,4
Refaite avec des inviter différents !!! C’est incroyable !!,4
Le Top Gear avec les deux affreux ça promet niveau défi dont un type qui bu du diesel touillé dans le café aurait pensé. Le destruction derby en Tyco échelle 1 ça promet.,4
touc.... xD,1
COMBIEN?,3
J'adore le concept et les guest,5
C'est l'histoire de 4 déjantés en roue-libre.,4
😂🤣❤,5
"exceptionnel, c'est le meilleur concept",5
incroyablement drôle,1
Meilleur concept 🎉,5
On est pas tous noir tous blanc 😂😂😂,2
bonjour l'équipe vilebrequin vous n'auriez pas 2 phares avant de E39 en rab par hasard ??,3
Le talent du monteur bordel !!!,5
"Le monteur, ajoute les transitions audio à chaque cut!",5
Vous revolutionnez le ytb fr les gars,5
11:49 prix Nobel de montage,5
C'était juste hilarant! Merci :D,5
Excellents !!,5
"Enlever la capote à 130km/h, ça fait quoi?",1
joyca est grv pas drole,1
« Je ne peut pas il y a déjà un ESSUIE GLACE » 😂😂,1
Une pensée au grutiers qui est payer à regarder la vidéo 😅😅😅😅😅,1
34:10 le pull golf gti du caméraman est magique :),5
trop marrant MDR !!! bravo a l'équipe qui mets au point les véhicules!,1
refaites des vidéos comme ca c'est super et continuez comme ca vous êtes supers,5
"Incroyable vidéo,  le taff du monteur génial.  Continuez comme ça",5
"VROUUUUUUUUM                         ""touk"" !",5
