Comment,Number
Bonne vidéo à tous !,5
Retrouvez le deal exclusif NordVPN sur mon lien => https://nordvpn.com/amixem,1
Si,3
on peut en parler  de Étienne qui parle de la fonce dalle,3
ouuuuuuuuuuuuuu ?,1
"Etienne à 7:18 : ""Elle est même pas belle la chambre ! """,1
"Moi pensant : ""Une chambre pas belle, est-ce qu'on peut dire qu'elle est même Babbel ? ....""",2
Je rigole comme un phoque  depuis .... 🤣(oui j'ai honte),1
(j'dois préciser que la vidéo est goatesque ou bien ?),1
Est si maxime il y a des jeune ici,3
Maxime me tue il a créé sa propre marque de vêtement mais certain tournage je crois il ouvre l’armoire et appuie sur aléatoire 😂😂,1
Les neon 😅 qui vous ressemble comme deux goûté d’eau,4
"Au début, je croyais que c’était pour faire des étincelles",2
Super vidéo !  À savoir cependant : Un défibrillateur n'est pas efficace si le cœur de la personne est à l'arrêt,5
"Le but, c'est de rendre un rythme cardiaque irrégulier, régulier et non pas de faire repartir le cœur 😊",4
thomas m’a fais extrêmement rire mdrrrr,1
Je trouve qu’elle est moi bien que les autres mais sinon c’est très bien,3
Je trouve pas la machine à pizza 🍕...😢😢😢😢,1
"6:23 ""la bas tout le monde bois des beber smoothie",5
Distributeur Gang of pizza,5
"Je trouve que le duo amixem et Thomas est formidable, mais Yvan et Étienne deviennent lassant",3
De qois moi je vous suis est j' ai 9 ans,1
@Amixem toute la fin de vidéo est sans son ! MERCI DE PENSER À RÉGLER LE PROBLÈME,1
Tu dis que des enfants te regardent pas mais moi j'ai juste 10 ans puis regarde tout tes vidéos,2
Je trouve que Thomas ( T-Deuz ) devrait prendre le contrôle de la chaîne pendant 24h …. Un mélange de costumes et de chauves…,3
Moi je suis en 4ème,5
C’est typique de la bas 😂😂,3
5:26 Petite pensée à Duolingo,5
Tomas tu va trop loin 😂😂,2
C'est quand l'épisode 5 ?,3
Par contre la pub est pas du tout en hollandais/néerlandais 🥴 probablement une langue scandinave,2
"Yvan, il me fait penser à Patrice (je crois que c'était Patrice) le mec qui testait des trucs dans l'émission de Dechavane et qui foirait quasiment à chaque fois 😂",3
16:47 sa s'est la main gauche tu t'est trompé maxime,1
Nan mais amixem c quoi ce pantalon de fou,3
Le machin électrique là c'est sûr il y a moyen de le modifier et de mettre un moteur de moto électrique dessus et là ça bombarde à mon avis😂,2
Thomas il n'est vraiment pas drole limite gênant,2
et si le patient a une pile pour le cœur le défibrillateur vas le tuer ... :),2
Le buste c'est tomas 2 jours,1
Cinco estrellas,5
"J’aurai trop voulu tester le bateau à voile , sa a l’air bien en vrais",3
je pense avoir plus de compétence que thomas en voile,2
"Thomas est vraiment trop drôle, il devrait faire de la scène ce gars là ! :D",2
J'adore vos vidéos 😅😂,5
Le thomas du lundi est pas mal j'aime beaucoup 🫣🤭,4
Ses pas de l’Espagnol mais du portugais que Toma a dit,3
5 étoiles,5
Je viens de te découvrir il y a une semaine ( j'avoue YT c'était pas mon truc avant ^^ ) et j'enchaîne une dizaine de tes vidéos par jour et la.. je suis jaloux du skate de Yvan !!! Continue avec tes vidéos bisous a tous et Thomas je suis fan de tes conneries tu me fais pleurer de rire aux cache-cache 😂😂😂,5
"""Tu lances ta marque de pizza"" non mais en 2024 c'est plutôt une marque de Burger 😂",1
Je vous adore,5
A 79% pour la tete,3
Ça fait 10mn que je rigole..,2
Comment sauver une madeleine...😂😂😂,5
je suis jeune,5
Prout,3
J'adore cette video Thomas enchaine blague sur blague 😭😭,5
Oui il y a des enfants qui regardent J'en fais partie.❤❤j'ai 9ana 😊😊 J'adore tes vidéos. 😊😊❤❤,5
Je lève la main droite *lève la main gauche 🤣🤣,1
