Comment,Number
Profitez de 4 mois offerts sur les abos de 2 ans à NordVPN et recevez jusqu'à 20Go de data sur Saily -> https://nordvpn.com/joueur,1
"L’acteur du contrôleur me fait penser à Tot, le membre de la Gestapo dans le premier Indiana Jones😁 c’est voulu ? 🤔",3
"Cet épisode est vraiment super bon, bravo ! Le collecteur des impôts qui est un démon, le passage sur les jeux érotiques de la 3DO, le moment où Fred surfe sur un vieux PC et lance le fameux jingle ""Japoooooon"" qu'on connaît bien, ou encore le générique de fin en série de diapos très marrante.",5
"Masterclass, bravo les gars ! 😊",5
Pas compris le M2 dans les mahcines à café :),3
Tu payes ta console 700$ et tu te retrouves à jouer à des jeux comme ça c'est une dinguerie,5
On sent bien que le mec qui a fait cette console est aussi le créateur d'EA...,3
Putin cameo d'Éric Ciotti dans JDG,4
2:07 cette séquence me fume de rire 😂😂😂,1
MAis si Putt Putt c'est pouce-pouce !! j'ai adoré les jeux sur PC,3
"Oula... les créateurs de Tomb Raider c'est Core Design, pas Crystal Dynamics.",2
"Pour avoir vecu a mayotte  l'île pas le village, la fonction publique est plus lente est plus incompetentr que celle de la metropole.",2
"""Ils ont laissé que le truc qui ont aucune valeur""",1
Apparition de Benzaie:😂😂😂.,1
Le jeu de Mahjong érotique avec batman je m'y attendait pas mais ça à mon avis personnes s'y attendait😂😂.,3
a 18:45 josephin l'ange gardien du Groland qui arrondi c'est fin de mois en filmant des rave party,3
Un épisode très drôle pour une console très méconnue !,1
Jamais eu cette consol3 je les echaper belle,5
"8:01 L'utilisation du même ""COMBIEN !"" et son remixage juste après est vraiment parfait. 😂 GG pour cette episode er merci pour les barres de rire et l'histoire intéressante de Trip Hawkin et de la 3DO. :)",1
"L'un des meilleurs JDG de ces dernières années, une vibes des anciens comme qui dirait.",5
Oh nan Pouce-Pouce c'était Putt Putt?? xD Mon enfance est anéantie..,1
J'adore les JDG comme celui-ci !!,5
19:18 Sorina 😂😂😂,3
Sa fait plaisir de revoir ce duo majestueux!,5
Vous avex fait comment pour avoir un vrais inspecteur d’impo dans l’episode?,1
D entrée je suis part terre🤣🤣🤣,5
Pour continuer à regarder TF1 depuis un pays étranger ! Quoi il est pas bon mon argument?!,5
🤣🤣🤣🤣,5
"13:35 Même dans le monde du jeu vidéo, Miles Edgeworth continue d'être l'avocat du diable...",5
10:20 Aaaaaah la bonne dose de nostalgie.,5
"Quelle vidéo ! Merci de m’avoir fait autant rire !! Se faire pisser dans la bouche par des bikers bourrés qui ont mangé des asperges, ça c’était à pleurer de rire. Encore merci et bonne continuation à vous, c’est super !!",5
"Peut être une réponse aux croix égyptiennes , on les appelle des croix de vie aussi , voilà voilà 😅",3
"Super vidéo sinon , comme d hab😊",4
20:38,1
Quelqu'un sait d'où vient la musique de fin ?,2
"Cette vanne sur la dignité, je me fais dessus 😅😂",5
Le ''pipi pipi pipi prout... '' j' en ai pleuré de rire 😂. Vous êtes magiques !,1
"j'y crois moyen que les consoles sont vendues ""à perte"" quand on voit leurs prix depuis 2 voir même 3 décennies ...",2
je prefere le sudoku,3
"Génial, merci pour la vidéo. Dans les bons jeux, il y avait aussi Road Rash.",5
La vanne du lavage des vitres a 10:20 j'ai envie de croire que c'est la suite de celle qui avait été faite dans la vidéo dédiée à Jurassic Park. Chapeau bas à vous le running gag est excellent,2
"Le caméraman c'est pas l'un des mecs de "" Vestiaires "" sur France 2 ?",2
Mdr JDG je suis né à Mayotte si tu veux je viens pour toi en personne à la préfecture (oui je sais la vidéo est un peu plus ancienne que quand je ai regardé mais bon ),3
20:26 Je ne m'y attendais pas du tout! xD,1
l'acteur qui joue le contrôleur des impôts est juste INCROYABLE. Une de mes intros préférés tous JDF confondus.,5
13:35 c'est Belgique ?!,1
tanguy bernard me RÉGALE fou rire à chaque fois ptn,5
A 2:27 petite erreur : le reflet de Fred devrait tourner la tête !,1
Et la 3do on en parle?....😢😢😢,1
... un jeu avec des des image fixe et des choix qui sont les 3/4 du temps des game over ont appele ça un visual novel. ensuite un jeu pierre feuille ciseaux de Strip-Tease pour être étonner faut juste pas connaitre School Days. et jeu de mahjong érotique.... wow tellement original.... touriste.,3
1:59 bonjour je suis Eric Ciotti😅,5
20:25,1
la blague est légendaire X),5
"Si la séquence du 20:25 est avec un vrai champion de mahjong, c'est très fort",3
"C'est comme ça que l'on fait sa déclaration d'impôts dans les jeux vidéos tropico, à la fin de la video?",1
21:58 l'OST d'Idol Manager je chialeeee,1
"Moi qui croyais qu'il n'y avait que Road Rash et Fifa sur cette console, j'aurai appris des trucs.",2
"En vrai tu devrais faire une video sur l'odyssée d'Abe, c'est vraiment le type de jeu parfait pour tes vidéos !",5
Moi g  entendu balle de meeeellllde,5
Je veux absolument trouver le nom de la musique à 19:00 pour pouvoir l'écouter en boucle mdrr,5
"J'adore cette foutu intro avec ce mr chauve, une des meilleurs intro simple",5
"bordel mais pk ya plus personne qui mate JDG , les gars réveillez vous !!! a peine 2M vu en 3 mois pour cette qualité c'est triste ! Vraiment tjs aussi incompréhensible ces scores, et ce nombre d'abo qui stagne",1
Comme JDG la dit les hallucinations auditives...,3
Moi je dis message cacher de la part du JDG pour dire qu'il vote extrême droite la preuve il crie ARAAABE plusieurs fois a partir de 13:15,1
24:49 Le JDG a Mayote,1
