Comment,Number
"😅 j’ai tellement ri à te voir galérer, désolé mais vraiment tu m’as fait ma soirée avec ton petouyou saisissoir. Et le montage est fantastique comme d’habitude!!!",5
👍👍😁😂😂🤣,5
Esque nord vpn peux me protéger pour plus voir tes vidéo et ta vielle tête...😂😂🤣🤣🤣 parce que si ses le cas j'installe direct sans ton code bien sur ( ah oui fais moi de la pub sa ferais plaisir à un mec qui regarde tes vidéo et qui te donne de l'argent gratuit bah on regarde ses gratuit les pub aussi ses gratuit),3
Question a quoi sert l'aimant ducoup ?,3
Des que tu as défais le double neus tu avais la réponse .,1
Tu mes le logo nord vpn à l'envers sa fais sud vpn,3
Petite question : l'aimant sur la boule il pouvait pas lever le picot ?,3
"Mais finalement, l'aimant n'a pas ete utilise non ? est-ce qu'il était pas là pour lever le picot ?",2
J'aime votre chaîne et je comprends qu'il faut vous faire payer,5
Mais là  trop c trop,2
2 pubs avant votre vidéo,1
2 interruptions pour placement de produit ( le même) et encore 4 coupures pub en plus tout ça pour 18 minutes de video,1
Même tf1 n ose pas!!!!,1
Dommage je me désabonne,2
Bonne continuation mais sans moi,3
"j""ai adoré !!",5
trouble obsessionnelle Olicard ? on veut pas faire comme tous le monde ? ^^,1
tirte,3
La belle référence de doctor who,5
Les 7 Harry Potter 😰,5
C'est incroyablement frustrant 😅,1
Je kiff tes vidéo et c fou comment tu rends la vidéo aussi passionnante et interrogation t le meilleur,5
Ha ha CODJ DJ  BNOE be 10,5
wow quel patience sa m'aurait vite soulé a ta place mdr,5
Le montage est exceptionnel 😂😂,5
Je vais voir la version sans montage rien que pour avoir l'histoire de trottinette.,3
Mdr le faut que sa se lève bien 🤣 j'adore vos videos grand fan merci a vous 😉,5
"Bonsoir, que fait l'image d'un membre de la famille slitheen ici ?",3
encor une bonne vidéo de casse tete et le montage de loic est à pleurer de rire,4
bientot 2m dabo :  D,2
4K ça serait cool ! :),4
"Le puzzle du millénium, ça serait sympa en vidéo, c'est un puzzle tiré de Yu-gi-oh et Ultimategear l'a reproduit fidèlement par rapport à la série, même si je pense qu'on peut le résoudre en moins de temps que dans la série (8 ans ou 6h en utilisant un ordinateur pour brute force)",4
L aimant t aurais pas aidé à lever le pic sans te faire mal aux doigts ?,2
Ce montage 😂😂😂🙏 énorme,5
"Au moment où tu as levé le ""picot"", j'avais déjà deviné la fin du casse-tête. Ahlala, un jeu d'enfant...",2
"Fou rire a 8:40 sur l’ajout de la tête chelou, je l’ai repassé 3 fois",1
srx la pub en pleine video ?,1
Fabien Olicard une des personnes d'internet que j'adore 😊💪,5
(Je doit être à la page de 30 de l'antiguide .. il est beaucoup intéressant c'est juste j'ai la flemme ..) 😅😅,3
Loic le meilleur monteur de vidéo,5
finis comme bulle et commence par castor!!,5
un pet de castor?,1
J'HURLE dans les commentaires!,1
Loïc il ressemble de ouf a un des flics dans le film bac nord 😂😂,4
15:24 c le but de un casse tête,1
« Il me casse la tête ce casse tête » ba c’est le but,1
Et cette vidéo est sponsorisé par moi-même ah non cette fois pour acheter une petite boîte en bois tu as dû te faire une poé..c'est un peu chelou mais ok je regarde quand meme,3
"Juste, pourquoi t'utilisais pas la boule aimantée pour soulever le ""picot""? Depuis le début ça me démangeait et t'aurais eu tellement plus facile hahah",2
J'éspère n'être pas le seul a avoir rien compris,2
Comment ça la vidéo commence par le début de la vidéo ??? Cela va à l'encontre de toutes mes logiques,1
"""un ptit pitouïou"" Fabien Olicard, 2021",1
Mais du coup on pouvait utiliser l'aimant pour soulever le picot plus facilement non ? 🤔😂,3
"Ho le 24 août c'est mon anniversaire, un bon casse tête le jour de mon anniversaire 🎂",5
Loïc il était super motivé sur ce montage xD,5
Il était en forme Loïc sur le montage😂,2
"donc.... je résume hein... l'aimant, n'a servi a RIEN ?! jsuis pas fou ?",1
12:30 Castul?,1
"salut fabien jai vu une video sur le grand jd avec patricia darré , et jaimerais que tu face une video sur c'est expressions(savoir si elle ment ou pas) as toi de voir...mais je pense que sa peut etre interéssant...a toi de voir",3
Elle date de août parsquon nais en septembre la,2
je crois que ce fils dans la gaine s appel un merlin,5
"""Elle me casse ma tête cette boîte""",1
"C'est un casse tête du coup c'est normal ahah, et pour le peu de fois oi tu galères désolé mais ça fait presque plaisir à voir 😈😁",2
"Salut fabien je te suis depuis longtemps et je kiffe ton boulot, j'aimerais vraiment voir une analyse du débat entre melanchon et zemmour, merciiiiii pour ce que tu fais",5
"4.54 ca mas fumer, putain cette gueule mdr chui mort",1
Le montage du début est magique.,5
Je kiff le montage,5
J'adore les spoilers du montage au début. 😆,5
J'avoue avoir vu la durée de la version longue avant de regarder celle ci et je me dis oulala ça va être compliqué il va y avoir des moments de totale concentration et de découragement.,2
Bon le coup du tournevis j'ai besoin de la version longue j'ai pas compris 😆,3
"La peur avec le ""quelqu'un y a touché avant que je le fasse"" 😅",1
La résolution sans regarder à la fin et ta tête est magique. 🤣,5
"Loïc était inspiré sur les ""scènes de coupe"". Bravo car ça permet de dynamiser les vidéos (oui maintenant je fonce regarder la version longue pour te voir totalement galérer et connaître l'histoire de trotinette. 😇)",3
12:30   Castor-bulle 😅😅😂,5
"Je suis pas fan de casse-têtes, mais j'adore vraiment regarder ces vidéos ! C'est passionnant et satisfaisant XD",5
"Il faudrait fabien sur fort boyard, il serait rendre dingue les invités",3
Le montage était hilarant,4
En Belgique ce mot de 3 lettres n'est pas un gros mot...,1
Loïc s'est éclaté pendant ce montage xD,1
tas un nouveau monteur ou sa se passe comment,5
Sa m as manqué les casses tête je kiffe tellement 💪💪,3
Il l’a dans le castulle ?,1
Enfin. Tu rames enfin. 😆,5
🤩🤩🤩🤩🤩,5
Les montagnes russes au niveau émotion !!! mdr.,5
"Loïc, tu nous as régalés !",5
La musique de SNK <3,3
Désolé Fabien Olicard mais j'ai adoré te voir autant galérer !😈,3
Comment tas pas su que la corde était attachée au picot en ouvrant la boîte avec le tournevis pour retirer le nœud petite incompréhension ...,2
"Attends... fallait juste mettre le picot en face du trou, soulever le picot et tirer sur le fil ??",2
Faut être intelligent pour créer un casse tête ?,2
"Achetée il y a quelques semaines, J'ai failli l'envoyer s ouvrir sur le mur...🤯",1
"Sans l'humour de Lolo, ce serait long et plate 😘",2
Est-ce que ça aurait été possible de remettre le casse-tête dans sa position d'origine ou de le terminer sans tournevis en soulevant le petit bitonio suffisement ou carrément plus possible sans tournevis ? ^^,3
J ai liker rien que pour la prise de tête,5
Magnifique spectacle hier à St Amand. Toutes les minutes on est là « waouh comment il fait ça? » très impressionnant.,5
QUELLE PATIENCE ! on voulait te voir chuter un peu,5
"Passionnant, j’adore les casses têtes, et les titres",5
