Comment,Number
"Merci à NordVPN pour la collab, voici le lien pour les intéressés : https://nordvpn.com/drnozman",4
Musée Nozman le musée de la science ⚗️🔬🧪,5
"Il ne s'arrête en effet jamais (avant son arrêt, assez rapide). Pas clickbait du tout. Juste pour attirer tous les zozos persuadés que le mouvement perpétuel existe mais ""ils"" ne veulent pas que vous le sachiez…",2
"Il n’y a pas forcément de frottement et il peut y en avoir des infimes, donc qui ne sont pas assez importants pour empêcher une projection suffisante…",3
Oui on veut un musée,3
je veux un muser,3
Il est comme toi rien ne l'arrête😂😂😂,5
il  roule ?,1
il tourne dans le vide,1
Salut Doc !,5
Pourquoi il y a un trou sur l'une de ses tranches ?,2
faire des flips😆,5
WAAAAAAAAAAAAAAAA MON ENFANCE,5
Je veux pas sonner méchant ou quoi mais est ce que ta sponso pour NordVPN t'as pris tellement de temps que tu as oublié de parler du Kururin acheté au Japon qui a EXACTEMENT le même principe?,1
Ah et sinon je pense parler au nom de toustes quand je dis que OUI on veut un musée.,3
"sur un plan en pente légère, il ne s'arrête pas et est plus facile à amorcer.",4
"La gravité est une force conservative, s’il n’y avait qu’elle ce n’est pas ça qui arrêterait le mouvement de l’objet. Ce sont les frottements les coupables.",3
Ça n’enlève rien au fait que tes vidéos sont top car on y voit de belles curiosités 😊,5
Le mien a du mal à faire un flip déjà... Ou tu l'a acheter cette objet ?,1
"Je veux une voiture de cette forme, économie d'énergie grave, mal au bidon aussi !",2
C est vraiment bien ces vidéos. Surtout pour les petites expériences pour les enfants. Mais certains objets comment les obtenir.,5
Pourquoi ne pas avoir parler des petits trous ?,1
son utilite est precisé dans titre,4
Bof,2
Okiy,3
Un musé trooooooop cooooooooooooooooooooooooooooool,5
tu es  génial nozman ; sinae,5
ca ressemble a celui en forme de tube avec les bouts en,4
Caoutchouc,3
1:33 le sponso s’arrette,1
Le flipo se retourne infiniment,1
Le flippo c’est pas à peut près le même phénomène qu’avec le phytope ( sorry pour l’orthographe du mot ),2
Mec je sais que nord vpn te paie…mais n importe quel informaticien avec un qi supérieur à deux chiffres pourrait te dire que c est une immense arnaque….donc cesses de promouvoir une arnaque pour tes abonnés et soit plus attentif à l argent que tu prends,1
"Salut, mon frere a l'époque avait fabriquer une toupis en forme de sphere, qui, quand on la fais tourner assez vite ce retourne pour tourner sur la tige, si tu pourrais trouver cette objet et nous la présente ca serait top",5
il filp tellement qu'il devient jaune?,2
Une rotation infinie,3
Je pense que le flipo sa sœur pour jouer à à le faire Tournus,3
J'ai le meme en bois et il marche pas :(,1
c'est trop cute JPP,2
Va ouvrir le Noz Muséum,5
je pense que ca va faire un truck chellou,3
Nikel la vidéo ! Il faudrait que tu test le nouveau bracelet pour faire des rêves lucide.,5
Comme dans le nom il fait des flip,3
4:55 une boule sur un sol plat ! Enfin la vérité apparaît au grand jour !,1
"Prends garde, les Illuminati reptiliens extra terrestre vont chercher à te faire taire !",5
"Attention attention, ce commentaire n’est pas à prendre au premier degré.",2
"le musée du docteur Nozman et ses objets ""contre intuitifs""",2
Si je comprend bien le flipo et l’oloïde ont une source d’énergie qu’asi infinie ?,3
1:39 bah chepa j'ai regardé le titre XD,1
Personne ne s'est demandé pourquoi il y a 2 trou sur les cotés ?,1
Il aimente,5
Ouvre un museeeee !,5
salut nozman tu pourais faire plus de video objet sinon tes video son top !!!!!!!!,5
Un musée d'objets serai génial !,5
L'octogone ne fonctionne pas bien 😓,1
"""qui ne s'arrête jamais"" Bah tient je serais curieux de voir ça...",1
J’en ai acheté un sur internet mais c’est compliqué à lancer sa glisse de ouf,2
"l'énergie s'épuise à cause de la fruiction , pas à cause de la gravité , vous me décevez cher Doc !",2
Comme un cercau,5
Il flip,1
Il toujours du mal avec les mises au point celui-là...,3
"Ce serait cool de les voir glisser / rouler sur des surfaces bcp plus grandes, genre en extérieur",3
"""Chacune des deux surfaces du carré""",2
L’explication scientifique est où?,3
C'est un anti stress,4
tu l'as dis en rigolant mais no joke tu ouvres un musé des objets je paye mon entrée direct,1
ce sont des objet impressionnant de par leur conception mais ont il une utilité réel ? En quoi sont il utilisé ?,3
D’abitude j’ai pas la science mais t'es vidéo me pationent 🤩,2
"continu comme ça avec les objets scientifiques, vraiment !!!!!!!!!!",5
et si tu le rqttrape pas est ce qj'ilcontinu de rouler au sol,1
Ça serait top des fois de tenter des expériences avec ce genre d’objet du style jusqu’où ou combien de temps le flipo peut rouler lol (un peu à la mythe buster),4
Je suis revenu car tu est parti des tendance ! Like moi S'il te plaît Vive la science,1
"Nozman, l'adn est en rupture de stock tu compte en refaire faire ?",2
"Dis moi Dr nozman, est-il possible de créer de l’électricité dans l’espace avec le mouvement d’un objet qui ne s’arrêterait jamais ?",2
Génial cet objet!!! Mais j'aperçois un petit trou vers un coin et je me demande s'il n'aurait pas été lesté avé du plomb ?,5
"Sinon, je crois le mouvement perpétuel n'est pas possible, sur terre en tout cas ... n'est-ce pas? Merci Doc, seb from 🇨🇭",2
Le flipo est un nouveau type de suppositoire bionique à transition quantique de phase.,5
"Ses surfaces sont concaves, pas convexes me semble-t-il",3
Pourrai t il faire rouler une voiture,1
il sert à rien,5
"À 5:00 , c'est le principe du cône de frottement ?",1
Les scientifiques on trouvé le trucs impossible a faire ses avalé 4 fois sa salive,1
"Salut Doc, j'ai une suggestion d'objet satisfaisant à te proposer 🤔",4
"Le boulon à double sens, deux versions possibles.",4
https://youtu.be/cvi8A2XCK94,5
Il saire a rien :D,1
oui pour le musée !!!,5
Un trophée YouTube 🤣,5
dans intention tu prends ca comme totem t'es dans la merde mdrr,5
