Comment,Number
"Merci d'avoir regardé la vidéo, n'oubliez pas de me soutenir avec les pouces bleus car elle n’est pas monétisée celle-ci :(",3
"Merci encore à NordVPN pour avoir sponsorisé cette vidéo, le lien pour en profiter pendant un mois gratuit avec le code ""leo"" : https://NordVPN.org/leo",5
Super vidéo,5
en résumé :,4
surface web : page commune,3
deep web : page personnel,3
dark web : .onion sur tor,3
Ne tapez pas Psycko Duck gore C le deep web on peut vous hacker vous tué et faire une réservation room Sur vpus,1
Le dark web c'est juste les sites non indexés par les moteurs classiques et le deep web c'est juste les sites web qu'on trouve pas directement avec des mots clés,3
""" En fait, toutes les pages dont le contenu principal va être diffèrent en fonction de l’utilisateur font partie du deep web "" j'es[er avoir un 20 avec sa",2
merci jai un expose sur le deep et le dark web tu maide bcp,5
j'ai essayé avec YouTube et les premières lignes c'est ça mdr:,1
# fichier robots.txt pour YouTube,4
# Créé dans un futur lointain (l'an 2000) après,4
# le soulèvement robotique du milieu des années 90 qui a anéanti tous les humains.,5
Omg g peur,1
Énervant le mec. Ok une minute c'est assez. Ouf.,5
Les yeux de Léo en début de vidéo😳,3
c'est moi le hackeur du dimanche😈,1
Who need a best list of darkweb websites legit 100% 🤩🤩,5
Contact me on telegram,5
CehTCH URI,3
Elle fatigue ste vidéo inutile,1
Pauvre laupok xD,1
Fichier # robots.txt pour YouTube,5
# Créé dans un avenir lointain (l'an 2000) après,5
# le soulèvement robotique du milieu des années 90 qui a anéanti tous les humains.,5
User-agent: Mediapartners-Google *,4
Refuser:,1
Agent utilisateur: *,3
Interdire: / channel / * / community,4
Interdire: / commentaire,3
Interdire: / get_video,3
Interdire: / get_video_info,3
Interdire: / live_chat,4
Interdire: / login,3
Interdire: / résultats,3
Interdire: / inscription,3
Interdire: / t / termes,3
Interdire: / timedtext_video,3
Interdire: / utilisateur / * / communauté,3
Interdire: / verify_age,1
Interdire: / watch_ajax,5
Interdire: / watch_fragments_ajax,1
Interdire: / watch_popup,4
Interdire: / watch_queue_ajax,4
Plan du site: https://www.youtube.com/sitemaps/sitemap.xml,3
ps: voila qd on accéde au robot.txt de ytb lol,4
"Trash est mort, vive Trosh",1
Tu serais pas comment voir tout le contenu d internet au monde.,1
Rip trash,1
Trop de grimace..,2
kyu et laupok,5
donc quelle serai le google de la recherche sur les site non referencer,1
Okkkkkkk .... j rien compris . 😔 mais comme sa je c que darkvador,1
Heu... dark weeb ou net c mal poin .,3
"Hello! Interested in darknet, but you can not find working legit sites? deepweblinks2onion(.)com - No thanks;)",5
"Hello! Interested in darknet, but you can not find working legit sites? deepweblinks2onion(.)com - No thanks;)",5
"IL suffis de tor pour accéder au deeb-web. Pour accéder au dark-web, c'est aussi Tor, mais il faut très bien chercher et bien se protéger via un VPN. :)",4
Va t'faire couper les ch'veux l'pouyeux. On dirait que tu t'es peigné avec un 12 criss.,1
OOF,1
"Qu'es qu'il a , a l'oeil ?",3
🍑💨 🤢,5
Je ne dis pas que c'est difficile à comprendre mais il y a pas mal de terme utilisé que je comprends (connais) pas ^^' Pardonnez moi je viens d'arriver sur la chaîne mais par moment j'ai vraiment l'impression que qu'il parle chinois x) Sans vouloir me moquer des chinois ^^,3
