Comment,Number
"j'ai des fois de la surcharge cognitive quand je joue à des jeux vidéos, par contre, faut pas me poser de question trop complexe parce que s'il faut que je réfléchisse, ça coince quelque part (ça pose d'ailleurs problème quand je suis en vocal avec des amis, j'essaie de transmettre une info tout en me concentrant sur mon jeu et je perd mes mots)",3
j'ai jamais essayé de mentir dans cet état par contre,3
J’adore le sous-main John le Rouge,5
"Je pense que Fabien, t'as un petit côté manipulateur 😉 parce que le coup de s'arrêter chaque fois pour répondre, c'est que tu veux absolument contrôler tes réponses non ? 😬 En tout cas super vidéo",2
Euh je suis dans le vrai si ça me fait penser aux différents systèmes de torture utilisée par les différents systèmes de pouvoirs à travers les âges ( dernier en date la seconde guerre mondiale)???,3
Lol excellent,5
Même regarder cette vidéo demande une concentration de fou 😆,1
"Prennez vous un ""juin"" en repos.",1
Histoire de vous calmer cette grosse année.,5
"C'est bien connu un ""juin"" ça détend.",4
Le LSD est sûrement un meilleur sérum de vérité! 😂,5
"JE SUIS SOUFFLEUR DE CERRE ET C'EST PAS "" SOUFFLEUR DE VERRE "" MAIS "" CHALUMISTE ""!!!! 😂😂😂",2
"""Qu'est-ce qui grossit sans prendre de moi?""",2
Moi: J'ai l'esprit un peu trop mal tourné. 🤣🤣🤣,3
J'ai rien compris il ont peur de quoi ? 😅,1
Super drôle et intéressant!!! J'ai adoré!,5
Super intéressant !! J'ai beaucoup aimé ! Le verre soufflé c'est magnifique à voir faire en vrai ! Mais reste dans les vidéos quand même 🤣,5
"Le plus puissant sérum de vérité c'est quand ton bébé pleure, ton cerveau devient 100% focalisé ! 😂",5
Est-ce que cela pourrait expliquer le faite qu'une personne avec un trouble autistique arrivera avec plus de peine à mentir!? Sachant que ces personnes sont souvent en surcharge cognitives ? !,3
A regarder jusqu'à la toute fin la toutes dernière phrase quu va avec le dernier regard a droite 😅😅 elle devait être sympa cette soirée entre VIP🔥👌,3
Pas serin le doc 😅🔥,3
C'est comme parler à un gameur.  😂,5
"La surcharge cognitive est un phénomène qu'on observe aussi parfois en aéronautique lorsque le pilote est concentré sur une tâche complexe et qu'il fait abstraction du reste. On parle là ""d'effet tunnel"", qui font partie des facteurs humains à prendre en compte. Les pilotes s'entraînent afin d'éviter cet effet car lors de manoeuvres complexes la cohésion d'un équipage et la compréhension de la situation sont des facteurs vitaux ! Cette forme de surcharge cognitive à déjà menée à des accidents lors d'atterrissage notamment et elle est étudiée en conséquence afin d'éviter de nouveaux drames. C'est ce pourquoi l'aviation est le moyen de transport le plus sûr qui existe !",3
Je suis exactement dans le même état les rares fois où je conduis à Paris. Merci pour la vidéo. Je sais maintenant que je ne dois pas prendre de passagers. 😅,1
🤦🤦🤦🤦,5
Doc Seven et ses choix de questions 👀 il a pas compris le concept de la vidéo le boug 😭😂,3
j'ai préféré la orange <3,3
Ça ne marchera pas sur moi car je suis incapable de répondre aux questions quand je suis concentré,2
"Ça me fait penser à la conduite quand t'es pas tout seul et qu'on te parle et qu'il y a de la musique et que tu dois gérer un véhicule à boîte manuelle dans des bouchons, entourés par des cyclistes, piétons et motards.",5
Top,5
"J’ai adoré (et tellement ri !), un peu inquiète de savoir que William a menti par contre… 🫣🤞🏻",5
Petit livre avec Michel Mendez en arrière plan haha,3
Je fais de la magie pas des miracles ! 😂😂😂😂😂 fabien  t'es le meilleur !!! 😂😂😂😂,5
Ça aurait été sympa de donner un micro à vos invités non ? Au lieu de monopoliser la parole avec vos conneries.,1
"Superbe vidéo, très bonne idée de sujet, drôle, interessant et bien montée. heureux également de voir Colin et Maëlle partager leur savoir faire. Merci pour cette vidéo 🙏",5
Je n'ai pas aimé cette vidéo,2
Cette vidéo m'a fait pensé à certain jour de travail.... Les jour où t'es tellement surchargé que tu réponds n'importe quoi à la moindre question... en plus avec la fatigue je pense que le cerveau dit FU** tout simplement!,1
GG pour les 2 million 🎉🎉🎉,1
"Je suis autiste , ce que vous venez de faire c'est ce que je vis chaque jours dans n'importe quel situation de la vie",5
"Ça fait plusieurs années que je suis Just Glass It aussi, super surprise de vous voir ensemble ! 🥳",5
Go tester !,5
"Mes parents me posent toujours des questions quand joue ou conduit.. ma mère m'a avoue que c'est parce que je ment très bien, sauf quand je joue ou que je conduis et là je dis même les trucs les plus honteux.",4
A quand l'épisode de matière grise avec Hugo décrypte ? 😜,2
doc 7  c'est le johny test du youtube FR,5
"Merci pour cette vidéo et ce concept c'était cool mais dis moi t'aurais pas ""tricher"" en choisissant du jaune et du bleu par hasard ? ( dans le sens ou ça attire l'oeil )",3
"Doc seven : « c’est original, ça veut dire que c’est beau ? »",3
une fois j’ai sorti ce genre de phrase on m’a répondu : « non mais y’a Original stylé et Original Pourrie »,1
dommage on a meme pas vu les perles de pres,2
C'est intéressant vous avez décrit exactement ce que je ressentais quand je passais mes leçon de conduites. Surcharge cognitive,4
11:50 je confirme je n'ai pas d'enfants,1
Je comprends tellement la panique dû au chalumeau. 😅,5
Franchement pour une première vos œuvres sont top !,5
J'ai connu le travail de Just Glass it par tes stories Fabien avec leur galaxie. C'est magnifique et magique. Leur travail fait rêver.,5
Plus de vidéos avec vous deux la complicité est vraiment le fun,5
une chaine youtube prend grossit sans prendre de poid,1
13:23 L'énigme la plus connue du monde. 😆,5
Félicitations pour les 2 millions d’abonnés tu les mérites vraiment et lets go les 3 millions 🙃🥳,5
Vidéo au top !! Concept génial !! 👍👏🙏🤗🥰,5
J'aimerais trop m'initier au travail du verre... Déjà que j'ai toujours trouvé ça super beau ... 👌,5
Je me demande si ça marche avec d'autres métiers manuels et si avec les années de maîtrise on peut outrepasser la surcharge ?,3
"j espérai un vrai sérum, mais pas déçu pour autant , super video ^^",5
Le concept est hyper intéressant j'ai adoré,5
C’était trop cool comme concept ! :),3
"Ça me fait penser au jeu de société ""stay cool "" qui doit également reposer en partie sur ce principe de surcharge cognitive. Le but étant de répondre à deux questions en même dont une avec des dés tout en surveillant un sablier ^^",4
"J'ai ADORE cette vidéo ! Non seulement ce métier est fascinant mais en plus l'expérience sur la surcharge cognitive me parait concluante ... bon, il faut avouer que je vous suis tous les 2 ( Fabien Olicard et Doc Seven) et que donc, évidemment, ça m'apporte un + indéniable ! ... et le cluedo 3 : rhalala : encore 1 vidéo à ajouter dans ma liste de vidéos à regarder ( elle est exponentielle, c'est horrible :D) Merci beaucoup, belle et douce soirée et nuit =)",5
Je n'ai jamais vu William paniquer autant 😂,1
phénomène que tout les adolescent jouant à des jeux vidéo et devant répondre aux questions de ses parents connait très bien X),5
c express vpn le plus rapide*😅,5
Question 1er degré : comment répondre par la vérité peut-il coûter moins d’énergie que ne rien dire ?,3
C’est stylé de fou ce sérum,5
"Ça m'est déjà arrivé d'en dire plus que ce dont j'avais l'intention en faisant plusieurs choses à la fois! Finalement c'était des choses qui devaient être dites, donc ça va, mais je fais plus attention maintenant!",5
Avec doc 7!! Trop fort!! J’adore 🥰,5
Vous nous caché des choses 🤔😂,5
Wow j'aimerais bien essayer XD,5
Pourquoi il panique ?  ...,1
Salut internet,5
Bienvenue dans la tête d’un dyslexique😁,5
"C'est un métier qui me FACINE, je trouve ça magnifique!",5
"Super avec doc 7, génial !  Et merci pour ces magnifiques planètes de verres. Perso j'aime bien le cvid de William !",5
par contre le son ...,3
6:04,5
Question qui paraît un peu bête mais pourquoi ils n'ont pas eu le droit d'avoir un lavalier aussi les deux souffleur de verre ? 😅,3
C'est mon rêve de devenir chalumiste mais c'est si difficile d'accès.. j'étais souffleuse de verre et même en aillant un lien d'une branche dans le verre ça m'est toujours aussi inaccessible 😅,2
"en voyant le titre, j’ai directement pensé à Divergente… suis-je matrixée ? peut-être un peu.",2
Hahaha il faudrait essayer avec un tour de potier aussi !!! à mon avis les résultats seraient proches !!,3
Tu viens de donner une astuce aux services secrets pour récolter des informations.🙂,5
J'aurais bien voulu voir le résultat de votre travail en gros plan.,4
ViewerDeLOmbre,4
Ahahaha trop drôle j’adore eh fait offrir ta perle un magnifique cadeau 😂,5
Ca marche avec n'importe quelle activité manuelle dangereuse,1
🤛😁👍🏴‍☠,5
Je tape des gros bar 🤣 🤣🤣 Et toi et Doc Seven vous avez une vre complisite,1
Titre putaclick...,1
17:30 vend les sous forme de NFT mdr,1
"Quand vous dites, le pire feat... ca compte les invités de matière grise?  lol",1
Avec un TDAH ça doit être l'enfer ce truc 😂,5
Tu Passe quant à Bordeaux,5
"J’ai adoré ce concept, c’était très intéressant mais j’ai tellement envie de savoir qui a été bipé! 😂😂😂",5
Sete une super video sete incruaiable je adore 🤩 sete hilarent 🤣🤣🤣 Ton contenu et vremant genial continu comsa PS je adore la presenc de Doc Seven Le serom de verite se genial com consept sete tro cool ❤ 😎 je adore 🤩,5
CE FEAT INCROYABLE 😍🔥! FABIEN OLICARD + DOC SEVEN…. Les deux Youtubers qui nous ont le plus donné envie de créer notre chaîne 🙏🏻,5
C'est vraiment fascinant !! Merci beaucoup Fabien ❤️,5
Mais qui est donc celui qui a été bipé ??🤔🤔,3
une notification de Fabien quoi de mieux,3
génial j’adore ce type de concepts,5
continue comme sa,5
Super vidéo,5
ahhhhhhh ! je vais dès que possible venir voir ça : je l'attendais après avoir vu le teaser =),1
"Yo les gens, bonne vidéo",4
Preeeemmmssssss,5
