Comment,Number
Good job 😂,4
Moi je dis ce format sur arcane,5
😂😂😂 ils à flingué la série ça fais du bien de rire un peut merci beaucoup..je ne suis pas fane de squid gamme mais vous êtes trop drôle 🤣🤣,3
2:05 c'est juste excellent 😂 .. reconvertie en touche PlayStation...,5
"J'Avoue que les créateurs auraient pu trouver...mieux... même si on est dans le symbole ""simple"" et enfantin...",2
"JESUS LOVES YOU, REPENT FROM YOUR SINS , HE IS COMING BACK SOON",5
atend atetetetetteend FLUTE ALORS play,5
bon bon...HO PUTAIN tu ma EXEXEXEXEXCITER a la 4min 10 XD,4
Jai nord vpn mais je compren pas leir mail en anglais,3
Merde t'es trop con... Le biscuit du mec jpp 🤣🤣🤣😭,1
tes pret pour la saison 2 en moins mdr,3
2:35 trop bien 😂,5
❤,5
Moi pendant l'introduction: Tu viens de décrire le principe des fanfictions.,3
Toujours aussi drôle,5
"😂😂😂😂la séquence de la forme a détacher,qd il découvre le motif 😂😂😂😂 jpp",3
"9:48, j'adore!",5
2:35 aller voir s'est TRES rigollot,2
Salut Math j’avais une demande à te faire si tu pourrais faire la même chose mais avec les histoires de certains jeux vidéo je trouve sa super vue qu’il y a en plein et certain son très intéressant,5
Tu peux faire back sails😁🏴‍☠️🏴‍☠️,1
Toujours en attente de la saison 2,5
Modif' de deux mois plus tard:,1
Elle est annoncé,3
J'ai une idée de nom pour cette série de vidéos msq Math se questionne,3
"""non je suis mort, oublié moi !"" 🤣",1
Le mec : salut 😏,5
Le garde : au revoir 😄,3
J’en n’est cracher mon jus 😭,1
Moi aussi je suis malheureux atteint de se triste syndromes cette maladies incurables qui touche des dizaine de personnes.😢😢,1
1:30 | Mais en fait le mec au début c'est l'acteur qui a joué le père de la fille dans Last Train to Busan j'viens de tilt,3
C’est que mon avis mais je comprends pas pq ça a autant buzzé c’est naze...battle royale à côté c’est tellement mieux,2
La casa de papel reconverti en touche PlayStation c’est tellement ça 😅,5
LOL,3
"Ce serait bien de faire pareil avec Mercredi, à mon avis il y aurait pleins de trucs à dire :)",3
"La fin alternative est la plus logique, mais bon.",3
Dis math tu pourrais m’être l’es film et série 18 ou 16 que tu fais en plus cours et drôle plus approprié pour les enfants par ce que quelques un de t’as majeur parti de t’es abonné sont des enfants comme moi s’en exeption merci😅,3
j'adore le concept math,5
@pamati_officiel 4:17😂,4
C'est pourri comme série,5
Franchement la meilleure chaîne Youtube 👌❤️🤣,5
"C'qui est partit est partit, il faut respecter le temps de vatance pour partir aux sports divers.",3
Bisous Loulous 🥰,2
IC 🖖,5
Concept pas si différent mais c'est toi qui en perfectionniste obsessionnel te pose trop de questions niveau level...,3
"(Niveau,  level...tout le monde entier l'a? Non? Pffffffffff)je serai au squid si math et matique me cherchent.",2
Compliment: je matte les vidéos de trucs que j'ai pas vu et que je ne verrai jamais,1
ils peus passer sure les barres au milleus des vitre,2
Des fans de la casa des papel reconvertie en logo PlayStation 😂,5
Des fans de la casa des papel reconvertie en logo PlayStation 😂,5
faudrait que tu fasses une parodie de la série the boys !,3
les riades iranniens 🤣🤣,4
Mais pourquoi il clash 😭😭😭🤣💔,3
Un super hero super flinguer,5
On peut faire la série balthazar,4
Non c le carré le chef des formes,3
Super 😀,5
9:49,5
Génial 😂😂😂,5
On est atteint du même syndrôme: j'ai décidé d'en faire des histoires écrites x),2
chocolat !!!!!!! j adore cette chanson a la fin mdr !!!!,5
Tu devrais faire une deuxième chaîne qui s’appellerait « math ce fait des séries »,1
9:49 J'ai rit... Fortement.,1
Faut vraiment faire ça avec arcane 😍 car vraiment en plus d'être extraordinaire et bien ya tellement de moment où tout aurais pu s'arranger.,5
Imagine à ce moment il s'enfile tout le cubi,5
"2:03 ""et ce retrouve au milieux de nulle part entouré de 455 autres coach sportif, surveiller par des fans de la casa de papel reconvertis en touche PlayStation"" je m'y attendait pas, elle est lourdement drôle celle-là !🤣👌",2
🔥 Souille Game 🔥,4
"@MATH pourquoi ne pas faire une rubrique ""Math souilleur en  série""?🤔",1
Ça prouve à quel point c'est une série de merde ! Mdr,1
Ptn qu’est-ce qu’ont ce fait chier,1
carglasse répare carglasse remplace,5
5.06:,1
-salut,5
