Comment,Number
Profitez d'une offre exceptionnelle sur les abonnements de 2 ans à NordVPN et obtenez 4 mois gratuits en suivant le lien  https://nordvpn.com/joueur,5
"Un instant j’ai vraiment cru être dans une autre dimension , c’est incroyable",5
J'aime bien cet épisode un peu décalé. 🙂,3
"Les joueuses de l'univers parallèle font bien le taf, les blagues sont marrantes. (Pour chipoter, il y a quelques blagues qui fonctionnent moins qu'on aurait pu enlever, mais du style 1/5) ""On dirait que notre script a été ecrit mar des mecs"" > j'ai bien rigolé. La joueuse principale t'imitait bien Fred dans les moments où elle s'énerve vénère sur les jeux.",4
Ah et l'espece de machine pour se rendre dans un YouTube parallèle ça rendait trop bien.,5
"Franchement un bon épisode, GG.",4
Toi tu seras casse-couille dépressive,1
- Vendu!!,5
J'adore,5
Sacré vidéo pauvre joueur du grenier version féminine 😂🎉👍,1
"Moins d'un an après, revoir cette vidéo et éprouver l'exact même plaisir, quelle réussite bordel",1
La + fraîche est à droite et ça va decrescendo vers la gauche (le trophée revient à la blg des kaméo) mais qd vous voulez on se fait un plan les filles,2
C'est qu'il est bien entouré le Fred 😏😏😉,4
Fun Fact à 17:52 les sous-titres du jeu sont inversés X) c'est d'abord n'importe quand et ensuite n'importe où qui est chanté X),4
Y'en a une il me semblait que je l'avais deja vu. Et effectivement c'est Camille Fièvez de la chaine Glamouze.,2
je ne vois que ça ; Je suis Pilote,5
C'est incroyable à quel point je trouve les jeux évoqués insultant pour les femmes... alors que je suis un homme.,1
Bordel ! À quel point c'est insultant pour les femmes !?,1
"6:13 je m'attendais trop à voir Seb et qu'il dise ""Ne vous inquiétez pas. Continuez à danser."" comme dans la vidéo sur les FMV.",3
"J'aime bien les persos des quatre filles, ça serait cool de les revoir. Mais je pense que leurs persos pourraient être plus délirants, plus fous. Là je trouve que ça reste encore un peu sage.",4
24:07 normal sur call of y'a l'aim assist (ok je sors). En vrai j'espère qu'on aura un autre épisode avec cette team ^^,3
Excellent :),5
"C’est pas une endive, c’est un chicon !!",5
JDG 0 flop à son actif,1
Vidéo très drôle merci JDG 😄,5
Le concept de l'épisode est excellent et il est porté par le jeu vraiment bon des actrices,5
"Je l'avais loupé, c'était très cool, merci les filles !",5
10:21 😂,5
"Après au moins 10 lectures, je peux dire que cet épisode est dans mon top 3.",5
Il est top❤❤❤,5
💙,5
Alwena crève l'écran 😍,5
C'est moin drôle quand c'est une femme.,5
