Comment,Number
🌎 Merci à NordVPN ! Rendez-vous sur https://nordvpn.com/benjos pour obtenir une grosse réduction sur un abonnement de 2 ans + 1 mois supplémentaire GRATUIT,5
✌🏼Satisfait ou remboursé pendant les 30 premiers jours !,1
"Je ne comprend pas les critiques sur les réactions des ""femmes"" sur Youtube. Gwenn a fait le même format et n'a pas crié autant. Donc il s'agit davantage de personnalité que de genre. Arrêtez de faire des différences qui existent évidemment mais pas là où on pense.",2
Horrible ces Hurlements d'Hystérique. Ca casse le del ...,1
quand tu fait la pub nord vpn tu a la même voie que Cyril.mp4,3
Comment ils auraient fait si lastela avait été en final ? 😂,2
JE suis morte de rire 😂😂,1
Qu'est-ce qu'elle est bonne Alaya 😂,3
elle est insupportable,1
❤️❤️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️🕷️,5
"J'ai eu un prof d'histoire qui se baissait sur moi et je sentais son haleine. Une horreur! Il avait toujours les cheveux gras, et toujours les mêmes fringues. C'étais dans les années 1980",5
"Alaïa est vraiment très courageuse (j'en suis aux blattes) Elle n'est pas partie alors que...beurk. D'ailleurs je vais aller voir ce qu'elle fait et si ça me plait, je m'abonnerais",5
6:08 incontestablement le meilleur moment 😂,5
Gg,5
Les serpents  ils étaient  mignon  quand  même,2
Ça me fume à chaque fois Pierre il sort direct et il passe en commentateur 😂,1
8:44 ptn pierre arête j en pouvais plus,1
6:08 meilleur cri,5
le prof distoire il avait un t-shirt z event,1
"""Rasis mono"" 14:32 ( petite réf pour theobabac)",3
Hâte de voir le 2,5
17m35,5
17m00 nonnnnnnnnnnnnnnnnn,1
11m11 me me suis etoufer avec ma glace,1
jai jamais entendu fred crier et cest lr crie le moins deranganr que jai entendu de ma vie,1
"je viens de la vod d'allaya, 1ère seconde de video elle hurle c'est mort, tu m""'étonne mdr",1
"Par contre, il ne faut pas donner de fromage à un chien.😬",3
J'adore le concept 😂,5
N’écoute pas cette vidéo avec des écouteurs….,1
La  fille  elle  me  fai  rire  je  te  jure   😂😂😂😂😃😃😄😅😅😅😅😀😀,5
Comment ils auraient fait si antho etait en finale ? Mdrr,3
"Autant j'ai kiffé autant les serpents sont en stress énorme. Surtout avec la mongole qui a hurlé, elle aurait pu le blesser.",2
"Ben qui n'a même pas eu un coup de ciseau dans les cheveux, encore du non fair play ça",1
"J'apprécie la fuite d'alaya plutôt rapide car je ne l'aime pas, complètement déconnecter de notre liens avec ce qui nous entoure, je la verrais plus crédible dans les marseillais.",2
quelqu'un peut m expliquer pq le prof d'histoire a un tee-shirt Z-event  😭😂,3
"Normal la fille est belle comme tout, courageuse et gentille. Donc forcement faut la defoncer. Bienvenue dans l'univers éclaté des gens jaloux",3
Le prof d’histoire a un teeshirt Zevent ou c’est moi ?,1
"Super video. Bravo à tous. Pas facile de surmonter nos dégoûts, peurs. Je ne suis pas sûre de faire mieux qu'eux. Bonne continuation pour Alaïa qui débute. Bonne suite à tous. Super hilarant. Ça tient en haleine.",5
Parti 2 les coiffeur commencent en 1er mdr ils sont restés 5 secondes,1
Trop bonne vidéo 😹😭🤣,5
💥💥,5
C'est moi ou Alaïa a des faux-airs de Hilary Duff ? ?,1
👍👍👍,5
J’ai juste retenu que ben avait une meuf mdrrr,1
video exeptionelleeee,1
Plusieurs volumes de ce vidéo !! Trop génial !!!,5
J'ai un serpent,1
Les cheveux dalaia me stressent,3
C'est quoi ça pierre croce !? Le mec 30 seconde et il se barre direct..,5
Merci pour ce bon moment! 🥰🥰,5
Antho qui mange le doigt de pierre a la fin on en parle pas assez,2
"Laya à vraiment des beau cheveux, ça lui va bien au visage cette coupe avec du volume !",5
Trop drôles les gros plans sur chancuns et chacune et super drôle la vidéo où trouvez vous les idées elles sont incroyables et hilarantes....,5
"Le lieu me déplaît à chaque fois y compris dans les vidéos de pierre croce,  c est tchip de fou, vous pouvez pas avoir un studio normal ? 😳",2
Ça c’est bien le truc dont j’aurais rien à cirer xD j’adore toutes ces bestioles xD,5
Jffhkk,3
Mais c’est horrible comment tu peux survivre à cette table là en plus moi J’aurais eu peur,1
Pauvres animaux...,1
Mort de rire ! Excelllent,1
par contre le moment où alaïa part c’était super dangereux,1
Juste 🤣🤣🤣,5
Uiii partie 2 svp,3
alaia est insuportable,1
Non fred😭😭😭😭😭,1
Je préfère large les serpents au blates,3
🤣,5
Chez* le coiffeur...,3
pardon mes le cri de Anthony à 6:07 juste légendaire 🤣🤣,5
Qui a reconnect le t-shirt zevent,5
Incroyable mdr,5
15:00 mais ou tu fait les blatte serpents etc et tu part sur le prof genre mdr c'est scripté rassurer moi la,2
Benjamin a pris sa revanche 😂😂😂😂😂,5
Mon chien s'appelle Melba,5
"J’aime trop elle est trop bien la vidéo( j’ai une question, pk vous faite pas une chaîne tout les deux en commun avec Benjamin donc toi et pierre crosse )",4
J'adore tes vidéos mais la... Ça crie ça casse la tête j'ai même pas tout regardé... Faut couper 🙄🙄🙄,3
Je serais déjà partie à peine avoir vu les blattes .. Bravo les gars et Alaia,5
c moi ou le prof d'histoire a un t-shirt du Zevent,1
"Super vidéo ! Par contre ce serais cool de remettre un cadeau aux gagnants ,pour qui est plus d’enjeu et un réel plaisir de victoire",5
ouaaah Benjamin tu nous as fais quoi laaaa dinguerie!!! on veut un volume 2 (ou 1 pour pierre) mdrrr,1
"le prof d'histoire , ça me rappelle des mauvais souvenirs de collège",3
"""Enlève laaaaa""",1
Le fou rire 🤣,1
ca fait un moment on n'a pas vu guigui dans les concepts mg,3
super concept signé mg,5
bravo,5
18:41,3
ca mon verech je te crois sincere,5
je sais que tu es tres attaché a la cause animale,5
le coiffeur aurait coupé quoi a lastella?,1
14:28 le pere fouras a oublié de se laver les dents,1
11:19 Alaia en crise panique,1
"Jordie Boillereau, elle tient la caisse a blattes",3
lastella a pris cher sur la tete,2
y en avait qui courrait,3
4:56,4
on se croirait dans fort boyard la,2
Trop beau conseppte,5
Il sont pathétique a crier comme sa sérieux 😂,1
"Franchement je trouve que le premier est le pire 😖, les autre sa va, sa ne m'aurait pas trop déranger , le dernier si ils coupe comme il faut sa va, si ils coupe n'importe comment..... J'aurai fais un meurtre 😅",2
Wow longtemps que j'avais pas eu un  aussi gros fou rire devant une vidéo😂😂,5
Franchement à la base ça avait l'air bof.. Mais bordel not at all!!! Je me suis marré de ouf ! 🤣🤣🤣,1
"Sinon, le jingle entre les manches, j'me goure ou bien ça sent le JDG.. 🤔",3
Ben pas assez de vidéo 10 jour toujours rien pas de contenu,1
Pierre Croce et la vidéo = 1 seconde wow,1
Cette vidéo est top et alaïa est géniale vraiment ça fait plaisir de la voir sur la chaîne de ben pour une vidéo comme celle ci ❤️,5
