Comment,Number
Je suis jumeau monozygotes et j'aimerais savoir si il y a des particularités dans le cerveau en lien ou non avec mon frère,4
"Bon sang, merci de donner un sens à mes monologues perpétuels hahaha, je pourrai sortir l'excuse de la mémoire et de la conscientisation des actes maintenant <3 X)",5
Likez si vous aussi vous avez commencer la vidéo par la partie 5🤣🤣🤣,3
👇,5
le fameux sumnambulisme.,5
Qui est parti vérifier que sa porte est bien fermée à clef après la vidéo ?,1
"J'ai déjà eu plusieurs fois l'impression de déjà vue et pourtant j'ai une très bonne mémoire. Concernant les oublies, c'est plutôt rare car je parle très souvent toute seule en décrivant ce que je fait, vais faire ou doit faire, pourtant il arrive que je me répète tellement que ça peut arriver que je me dise ""attend, je suis pas sûr d'avoir pris ça, je vérifie vite fait"" En Soit j'arrive à rien oublié en général, mais des fois j'oublie car je me le suis trop répété.",5
0:04 j'étais pas sur mais j'ai bien fait car je l'avais déjà vu (j'avais laissé un pouce bleu),3
C'est une vidéo très intéressante. Merci ( ͡° ͜ʖ ͡°)✧,5
Je me suis rendue compte que j'ai vraiment déjà regardé cette vidéo quand tu l'as dit au début 😭,3
Tu veux rencontrer des lumières chaudes dans ta région 🤣🤣🤣🤣,5
Mon Horloge interne est totalement déréglé. Il serait d'ailleurs temps que j'aille faire du Camping pour tout remettre en ordre.,1
Top super vidéo mais tu as oublié de dire que les sensations de déjà vu/ déjà vécu peuvent révéler une forme d’épilepsie,4
"J’ai une très bonne imagination j’arrive à bien visionner les lieux , objet … mais alors un visage c’est tellement duurrrr !!! D’ailleurs j’ai du mal à reconnaître les gens en général 😂",3
"J'ai très souvent l'envie d'être SUR que j'ai bien compris ce qu'une personne m'a dit mais même dans les secondes qui suivent (alors que je sais ce qu'elle m'a dit ou demandée de faire mais j'ai besoin d'en être sûr et ça peut se répéter pour la même chose, au maximum trois à quatre fois)...",3
"Selon la vidéo, il se pourrait que se soit un toc..?",2
"..Vu l'intro, je peux vous assurer que je n'ai jamais vu cette vidéo!",1
XD,5
"Vraiment, je n'ai jamais vu cette intro!",1
XD,5
"Pour les oublis de la mort, je suis dans la mouise alors... Remarque dans un sens, je préfère.",3
"Bonjour ""Toujours Fabien Olicard""",3
Oui un lapin plutôt,3
"j'entre pas dans la catégorie circadien, j'aimes me coucher entre 9h du matin et 12h pour me lever entre 20h et 0h",2
Et si on a des sensations de déja vu dans un endroit qui ne ressemble à absolument aucun endroit ou on a etait avant avec des gens qu'on a jamais vu avant c'est normal ??,2
j’effrite du shit,1
alors le coup du deja vu il mets arriver une dinguerie genre tt le long de une soirée en extérieur javais l'impression d'avoir deja fais tt la soirée tt se que je faisait me donner cette impression sa me la jamais fais,1
Oui je suis sûre de ne pas avoir vu cette vidéo parce que quand c'est le cas youtube s'en souvient pour moi :D :D :D,3
"Bonjour Fabien, Merci pour cette vidéo ! Je n'arrive pas à visualiser les vidéos de ""e-penser"" sur youtube. Quand je vais sur la chaine, aucune vidéo n'apparait. C'est normal ?",5
Merci les recommandations pour la phase des petit oublis ✌,4
Les noms de parties 🤣,4
Des études montrent un lien potentiel entre la consommation gluten et les TOCs.,4
"Si on souffre de ce genre de comportements, ça vaut le coup de tester quelques semaines.",3
"pour le déjà-vu, petite je pensais que c'était un super pouvoir ou un don que j'avais...",3
Je suis atteinte d'épileptise partiel complexe et avant de le savoir j'ai compris pourquoi Jeanne D'arc a été brulée......,2
Enfin presque ! J'ai cru être folle durant 20 ans ! horrible !!!!!,5
"Je trouve que ce que tu dis par rapport au sorte de mode auto du cerveaux c'est hyper intéressant, je joue a un jeux de voiture depuis une quinzaine d'années j'ai un bon niveaux dessus ( gran turismo ) et quand je passe des heures desfois a faire des courses ou des tours chrono pas importants et tout seul desfois j'ai l'impression de vraiment decrocher et de penser a autre chose et apres genre re crocher ( c est bizarre je sais ) mais je ne fait aucune sortie de route et je joue bien j'ai jamais compris, mais par contre quand je fait des courses en ligne ca n'arrive jamais ! Trop chelou ! Et que je sache je n'ai aucun trouble et je suis adulte !",4
Mais les noms de chapitres svppppp ToT,3
"Les oublis de la muerte : ""Mais c'est pour ça que je dis tout le temps ce que je fais XD!""",3
10:20 144p perso,1
"C'est pour ça que je like presque tout ce que je vois, au moins je sais si je l'ai déjà vu ou pas XD",4
Putain ce titre digne de Julien Chièze,3
Moi je n'ai pas d'hippocampe... Je n'ai qu'un chat :p,2
"Je viens de me rendre compte que je n'avais pas vu cette vidéo, fort intéressante au demeurant ! Merci, surtout pour les conseils !",5
"je pensais pas que des gens devaient prendre consciemment la décision de ne rien faire pour stimuler leur imagination, j'ai toujours fait ça et passe entre 1 et 4h par jour à juste fixer le vide en me barrant dans mon cerveau",2
Et le fait de parler pendant la nuit c’est quoi ? Car ça m’arrive tous les soirs presque,5
Perso j'ai des déjà vu presque tous les jours c'est grave ?,2
Ce déconnage de l'espagnol dans les catégories et la musique XD Signé Loic,5
moi qui me demande si il est pas en train de se servir de techniques de mentalisme pendant le placement de produit nord vpn 🤨,2
"le déjà vu, c'est assez fréquent chez moi et en plus d'avoir l'impression d'avoir déjà vu la scène je me rappelle d'un moment où j'ai penser a cette scène.",3
Le déjà vu ça m’arrive souvent des fois 3 fois sur la même chose,3
"le déjà vu, a ce que je lis, on doit pas être nombreux, mais j'ai déjà tenter de le contrer, en mode (je vais predire exactement ce qui vas arriver) et puis en fait non, comme quoi c'est réellement un joli petit bug",2
Moi a chaque fois je fais des scène dans des rêves puis elles deviennent réel ou j'ai déjà eu l'impression de l'avoir vécu dans un rêve,5
"J’ai été directement faire le fameux test et je suis intermédiaire, j’ai beaucoup ri quand j’ai vu le résultat pour lire un « vous n’êtes ni l’un, ni l’autre » 😂",5
"Wow, je viens de découvrir que je suis Aphantasique, j’ai jamais réussi a m’imaginer un objet, une odeur, ou quoi que ce soit, mais je me suis jamais trop poser la question du pourquoi",1
"Je viens de comprendre a 26 ans, je suis choquée",1
Dislike juste pour le titre,2
J'ai déjà eu une impression de déjà vu tellement forte que j'ai eu très mal à la tête juste après et des vertiges,2
L'impression de déjà vu j adore ça j ai l'impression de connaître le futur après,5
"Perso des que je lis la première ligne d'une hostoire, mon cerveau créer tellement d'image que c'est impossible de lire et j'ai jamais pu aimer la lecture à cause de ça",1
Fabien : une obscurité SANS ÉCRANS le soir,5
Moi comptant me coucher à la fin de cette vidéo : 😳,3
Qu'es ce que trouble alimentaire,1
"Bonsoir Fabien, pourrais-tu faire une vidéo sur des choses que l'on pense avoir faites alors que c'était juste des rêves ? Je ne sais pas si je suis claire : en gros parfois je rêve que, par exemple, je prépare mes affaires avec tels vêtements pour le lendemain, sac prêt etc, je dors, je me réveille, je suis persuadé que c'est arrivé, sauf que non, rien est prêt. Je crois que tu en as parlé dans la vidéo avec Emy.",3
"Si tu le fais, je te remercie, parce que ça commence à être chiant au quotidien haha ! (en espérant que tu voies ce message)",5
Je viens de regarder matrix et j'ai une impression de déjà-vu 😅,5
"Mais pour le déjà vu, comment tu expliques que des fois, j'ai l'impression d'avoir déjà vécu le moment non pas 1 fois, mais 2 ou 3 ? Ce qui fait que j'ai l'impression que c'est la 3e voire la 4e fois que je vis ce moment, exactement à cet endroit, habillée pareil avec les mêmes objets à la main si j'en ai, avec les mêmes personnes habillées pareil au même endroit, qui disent la même chose, que je fais les mêmes choses et dit les mêmes choses, et que même, comme je ressens cette impression de déjà vu, je me rappelle la ou les autre(s) fois où j'ai vécu le moment et je me dis ""tiens à partir de cet instant j'ai fait telle chose dans mon souvenir, je fais pareil pour continuer normalement ou je fais autre chose pour sortir de l'impression de déjà vu et voir une autre issue à ce moment pour voir ce que ça change 🤔 ?""",3
Sorry jsp si c'est hyper clair le pavé que je raconte mais bon,3
"Alors non, désolé. Mais le déjà-vu, c'est un pouvoir qu'on a de voir l'avenir dans nos rêves. Donc l'explication scientifique, j'en veux pas. Laisse moi être un super héro aussi 😊",1
"Il y a des semaines ou j'enchaîne pleins de trucs, je penses à tout ça se passe super bien et d'autres ou je suis juste perturbé par une personne qui me parle et j'oublie pleins de trucs majeurs et tellement ridicule... 😅",1
"Je suis sûr de ne pas avoir like la vidéo, donc je suis sûr de ne pas l'avoir regardé 😉",1
"10:59 moi je suis clairement pas aphantasique car je me sert bcp de mon imagination pour crée sorte de représentation réel imaginaire pour me projeté genre pour peindre un mur installé un meuble etc... pour imaginé le rendu final sans possédé la couleur ou le meuble, je sais pas si c'était clair mais voilà ;)",4
"Je crois que le meme ""DEJA VU"" nous a traumatisé 😂",1
"Aphantasique, merci de mettre un mot sur mon questionnement du : Pourquoi je n'ai pas d'imagination :)",5
Bon je vais aller voir un TOC-teur alors,4
"Non, les tournesols ne suivent pas toujours le soleil !!!",1
"Sentir le contact des clefs, se rendre compte de l'action de fermer la porte, de prendre la clef, de la mettre dans la poche au lieu de faire cela machinalement cela aide beaucoup. Je sais que je suis capable d'ouvrir ma boîte à lettre de prendre le courrier et de m'apercevoir en arrivant devant la porte de mon appartement que j'ai laissé les clefs sur la serrure de ma boîte à lettres. Je l'ai fait. Maintenant je suis moins souvent en mode automatique dans ce cas là. Et oui répéter ce que l'on fait ça aide aussi à être plus conscient .",4
C facile : pas like =pas encore vue,3
Oui je suis sur,3
Il faut que tu résous l’énigme de inoxtag par rapport à ces boîtes !!!,3
Moi ça va paraître bizarre mais de temps en temps je fais des rêve qui ce réalise a l’identique comme si je voyais dans l’avenir.,3
Bonjour fabien suite aux multiples reports du spectacle singularité. Comment fait on pour se faire rembourser svp,5
"A cause du changement d'heure, je suis terriblement décalé avec mon horloge interne. 2h00 de décalage par rapport à l'heure solaire en été font des terrible ravage pour la qualité de mon sommeil.",2
Donc comme quoi c'est n'importe quoi l'heure artificiel.,3
"Pour le déjà vu je suis sujet aux rêves prémonitoires, et j'ai déjà eu cette sensation au final, mais en disant la conversation qu'on allait avoir, en me retrouvant dans des endroits que je n'ai jamais vu, même en photo, jamais entendu parlé ni rien quoi",1
"pour l’imagination je suis cadré, toute ma primmaire c'est passé dans les rêves et l'ennui XDDDD.",5
j'arrive même a créer des flammes vraiment réalistes sur des champs de blées quand on roule......c bon signe par contre ça mdr XDDDDDDDDDD,3
un gros chassé dans le bidou et tk ton somnonbule de présentera plus de probleme mdr X),5
Ce qui m’es déjà arrivé c’est que mon ami a commencé le mouvement pour jeter un manteau sur la route mais ne l’a pas jeté,1
Mais je me souviens avoir vu le manteau être jeté sur la route et juste après j’ai vue ce qu’il c’est vraiment passé,3
J’ai donc le faux souvenirs et le déjà vu,5
Un autre de mes amis a vu la même chose en même temps que moi,5
J'ai jamais eu de Deva vu :/,1
"Une fois ma soeur a été témoin d'une de mes crise de somnambulisme, je combattais un dragon, avec la couette sur le dos et un balai dans la main....",5
"4:49 un chat avec des grandes oreilles et qui mange une carotte 🥕, mais bien sûre 👏👏👏😂🤣",4
J'ai eu 26 au test (Moins de 30 : Vous êtes tout à fait du soir). Tous les matins j'ai du mal à me réveiller. Je suis obligé de mettre un réveil ou tu dois résoudre un problème. Les alarmes classiques ça ne me sert à rien je les éteint dans mon subconscient. J'envie les gens qui se réveillent sans alarme...,2
"Une fois lors d’un déjà vu, j’ai été capable d’anticiper la suite, parce que j’étais sur de l’avoir déjà vécu",5
Bah je crois que j'ai un problème avec le déjà vu ça m'arrive genre 2x par semaine,2
Je ne penses pas que cela soit normal,3
j'en ai h24 des déjà vu mais c'est souvent des trucs qui se passe dans mes rêves donc c'est encore pire😂,3
Je suis sur car a chaque fois que je regarde ta vidéo je mets un like,3
Perso g des t.o.c.: team on regarde 50fois dans le frigo,1
Tu veux rencontrer des lumières chaudes dans ta région???,2
🤣,5
Mais une fois g u un déjà vu et juste après g prédis ce qui allait se passer sur les 5 prochaines secondes,2
3:02 Il a donc rêvé qu'il tuait ses beau parents ils devaient vraiment les détester,3
"Moi, concernant Fabien, comme je sais qu’à chacune de ses vidéos je mets un like, je sais que si il y a déjà un like c’est déjà visionné ,et que si il n’y en a pas, c’est je n’ai pas encore vu la vidéo 😉",3
"Les déjà-vu que j'ai sont un peu différents. Je rêve d'une scène, je me réveille, je me souviens de la scène et elle se passe à peu près entre 1 mois et 4 mois plus tard. Une fois c'est une scène qui m'avait marquée dans mon rêve et elle s'est passée, ça m'a fait flipper vraiment BEAUCOUP... Une explication?",3
"tiens, c'est pas une sensation de déjà-vu cette pub nord-vpn ?",2
....,3
pourquoi une musique de noel à 3:20 ? loïc ?,1
Stress Anxiété Dépression SAD 🧐,1
