Comment,Number
"© Pour seulement 799 000 €, offrez-vous des vacances inoubliables sur la Lune avec l'ami de votre choix ! 2 semaines, pension complète.",5
(Les risques d'irradiation et de perte dans le vide spatial sont à prendre en compte. Parlez-en avec votre médecin avant de vous engager.),3
La Ilaha Ila Allah Mohamed Rassoul Allah ❤️,5
لا اله الا الله محمد رسول الله ❤️,5
Free Palestine 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸❤️,5
J ai trouvé mes prochaines vacances 🇺🇸😂🛩️🛫,5
On est en 2023,3
Musique très bien choisie. L'un de mes titres préférés de God is an Astronaut.,5
Aller sur la lune sans combinaison ça fait quoi,4
C'est bizarre la fameuse cavité de 50 km de long me dit quelque chose... 🌘⚡🌙,2
Le Havre est un lieu où il fait beau et charmant,5
Pour une fois j'ai pas vu une présentation sur les poissons,2
J'aime beaucoup tes vidéos c'est un passe temps pour moi et j'apprends des choses que je connaissais pas,5
wow moi je  passerai cette aventures,5
4:54 qui aura de valises dans l'espace?,4
Sa serai Génial!! Un voyage sur une autre planète pour voir ce que cela sa ferai.,5
il faut faire attention quand même pour aller voir la lune il faut avoir de l experience et de l entrenement et avoir des expériences en qu à de danger et il faut savoir si on peut respirer et de l air pour respirer sans combinaison spaciale et faire des expériences pour savoir si on peut vivre sur la lune et des maisons et des jardins et des espaces verts pour planter des arbres et des fleurs et des lacs et des légumes dans les lieux comme les jardins,3
Tu vas pas me croire mais j'ai la meme image sur le fond d'ecran de mon pc la quelle tu a mis au debut de ton video,3
Personne n'est jamais allé sur la lune seul les idiots et les moutons croient en ça..,1
Quel crétin aurait envie d'aller sur... Hum ça ?,1
Comment vas t'on respirer sur la lune si nous sommes nombreux ?,3
Aller sur la lune pour faire quoi bouffer du sable lunaire?,5
"Toi qui lit ce commentaire, je te souhaite de vivre une vie pleine de promesses, bisous 😊💕",5
Combien d enfants meurent de faim. Combien de sdf dans le monde.,5
Serait peut être plus intelligent et humain d'investir pour aider l'humanité au lieu d'envoyer des riches sur la lune.,3
Nord VPN fonctionne sur la lune ?,1
Trop de publicités 🤪,1
Mdrrr moi je saute sur la Lune bah je flippe imagine tu Sautes dans l'espace,1
Je pense qu'ont a déjà assez pourri la terre donc pas besoin d'aller foutre le zbeul ailleurs hein...,2
4:30 c des igloo 😑,5
Les vacances sur le soleil 😎,5
"est si la terre sorter de son orbite solaire , et s enfoncer dans l espace que ce passerait-il ??",2
Il faut offrir un billet 🎫 à un platiste pour lui cloué le bec 😂,3
"Génial, nous allons pouvoir pollué la lune, on va pouvoir y faire la guerre, pomper ces resources, trop cool, vivement 2050,👏👏👏😞😞😞😞",5
Et si la lune se décrocher de notre planète,3
Salut j’ai une question comment on ferait pour se reproduire sur la lune?,5
Pour moi des vacances dans la lune sa sera de la dégrader,4
no a pas encore fini de niquer la planet que on veux deja niquer la lune,1
"Il faut savoir que le sol lunaire est radioactifs que la poussière lunaire est un grave allergène ( les micros grains sont ultra coupants ) c'est comme respirer du verre pillé. aussi fine que du talc et dont chaque grain ne comporte que des arêtes vives et présente des aspérités comme des crochets, elle a partiellement percé les gants externes des combinaisons et un super irritant pour les yeux et le nez. Une vraie merde il paraît que la poussière martienne est similaire. Les astronautes ont notés que leurs combinaison était plus usée après 8 heures d'utilisation sur la lune que 100 heures sur Terre.",2
En 2055 on verra de la trottinette electrique sur la lune ou de la voiture,3
Franchement Ces que mon avis mais les humains en on pas marre de polluer et détruire tous ce qu’il trouve 🤦🏼‍♀️,3
