Comment,Number
"Cette vidéo est sponsorisée par NordVPN : -70 % sur NordVPN à 3,10€/mois, un mois supplémentaire gratuit sur : https://nordvpn.com/djilsivpn ou avec le code promo « djilsiVPN »",1
vous êtes chauds êtes chauds pour d’autres vidéos dans ce style ?,2
on est d’accord benji est éclaté ?,1
🩵🩵🩵🩵✌,5
"""les gens qui campent vous etes pas dans des campings""",2
L'une des meilleures des vidéos il en faudrais une autre de ce genre,5
Je n'ai vu aucun kill de Sid de toute la vidéo mdr,1
J'ai l'impression qu'ya un p'tit homme qui me fait un câlin 😂😂,1
En 7min de vidéos 1 placement de produit et 3 pubs… c’est relou,1
Soldat   fait   d erreur,1
ne parlez pas mal (si vous l'avez fait),5
ne soyez pas injuste (si vous l'avez fait),1
ne parlez pas mal (si vous l'avez fait),5
ne soyez pas injuste (si vous l'avez fait),1
Les pubs chrome book sont redondantes,2
Yoyoyoyooy,1
Mdr quand tu prends la voix du mec chiant qui fait la grimace 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1
Si moi je connaissais déjà NordVPN 😒😂,5
18.41 ça m'a fini,1
Tu me stress le dare 😭😭,3
Il y a moi qui rush les 40 kill en pillage et eux qui rush les scene de mort . Trés bonne vidéo,1
Refait cache la cam 🙏🙏🙏🙏🙏🙏🙏,1
Tu mérite le millions  dilsi,5
Le jeux du moment c un peux valorant,3
Et on dit bravoooo le montage,5
Encore !,5
Tu joue beaucoup ou pas,3
même quand il explique l'op c'est drole,1
Bg,3
C la première fois je rigole pas quand quelqu’un casse son clavier la sa,1
m’a donner envie de le frapper jsp pk,5
Plus de vidéo anecdote,3
T video sont simplement extraordinairement drole,1
Djilsi Oe,1
*j’ai que un truc a dir...*,1
*tes le meilleur 🤣🤣*,5
#l’introdure6minfindelavanne,5
A tu copier le concept de locklear ????,2
Déjà trop bien la vidéo gaming fait en plus elle sont trop bien,5
sayé ta grandit tu fait des placement de produit  ( qui marche avec ton humour ),5
"""T'as fait quoi Benji ?""",1
"""J'ai peté mon clavier frère""",5
J'suis mooort,5
Si jamais y a quelqu'un pour pillage j'suis a 37 top 1 mais seul c'est chaud..,3
Lrd le khoo,3
Le seul mec sur YouTube qui me fait rogoler,1
Merci à NordVPN d'avoir rembourser les 187 claviers de Benji de ce dernier moi de confinement. 👍🙃,1
Je trouve qu'on en parle pas assez mais il a un bon niveau le benjos!,3
Toi aussi ton Marshal il est ECLATER  et réparer au SCOTCH,5
17:00 ahhhhhhhhhh 😂😂😂😂😂😂😂😂😂😂😂😂,1
Sa ma tué quand il a casser le clavier il c complètement plier 😂😂😂😂😂,1
T le mec le plus drôle du YouTube game avec Mc Fly et Carlito 🔥🔥,5
hey je me présente  j'ai 13 ANS ET J'AI FAIT MA TT PREMIÈRE MUSIQUE DE MA VIE QUI EST UN REMIX C'EST AUJOURD'HUI QUE J'AI INSTALLEZ FL STUDIO C'EST SUR MA CHAINE,5
tu joue bouclier t'a pas honte,5
Quand j’ai vu tu pompes dans le titre j’ai pensé  autre chose 😅,1
Tu perd tu pompe moi dans ma tête 🍆😮,1
🤣🤣🤣,5
Sa ce voit il a casser son clavier pour la vidéo,2
je suis mort benji qui fracasse son clavier 😭😭,1
Mais ça sort d'ou ce goumage de clavier la ? xD J'était sincèrement pas prêt,3
t’es bo,3
"14:00 ""j'ai pas le temps de jouer !!""",1
2 sec avant on voit PKM lvl 57,3
Benji on dirait le fou bruiteur,1
Même sur le placement de produits j’ai rie 😂😂,1
16:50 oh le shoot,1
14:18 🤣,1
Enfin ça fait plaisir de voir des gens qui ont mon niveau sur ma zone et pas que des vidéos de pro gamer lol,5
Il a exploser son clavier jsuis mort,1
1:22 nous on est 7 enfants 😂,1
tout les gameurs/euses peuvent liker mon commentaires et marquer a quoi ils jouent comme jeux? perso je joue a Rocket League,5
16:50 putin je m'y attendais tellement pas 😂,1
Après le confinement refait des cache la cam stp,3
Benji henni,5
j'adore,5
Il a dit « ni*** ta mère » tellement sereinement 😂,1
Faites d'autres jeux que des jeux de tires c'est marrant ça mais se serait délire genre un jeu d' horreur par exemple,3
J vise comme ma petite soeur,5
"J’espère que Nord VPN t’as bien payé parce que ta PUB ai grave drôle, première fois que je passe pas une OP",1
« On dirai j ai un ptit homme qui me fait un callin»  😂😭,1
Joue pas la mp7 elle est nul joue la m4a1 tu vas tous les fumés,1
Même si je suis pas gameuse j'ai aimer regarder la vidéo 😂,3
j'ai tellement pleuré de rire quand il brisé son clavier en deux 😂😂😂,1
Mais ducou faudra que tu dise à benji de paramétrer son logiciel de stream sur sa carte graphique au lieu de son process ( sauf si sa carte graphique est peu puissante bien sûr ),3
Je m’attendais tellement pas à l’explosion du clavier c’est sur il est parti au goulag là mdr 😂,1
Nest pas bachelor qui veut mais toi tu l'es (cravate semi sorti),2
Je veut te racheter ta clio faut la mettre dans un musée elle a tellement vécu de chose,5
Y A LES HENDECK QU ARRIVE,2
"En fait tout ce que tu fait tu le rend drole, t'es juste un génie",5
Partie 2 directe 👊,5
tu fais tellemnt rire mec  ouesh,5
La plus longue intro du monde,5
"Moi qui entend NordVPN : MAIS C'ÉTAIT SÛR EN FAIT, MAIS C'ÉTAIT SÛR !! *Bruit de clavier qui casse*.",3
Djilsi aussi utile que sakura,5
Petite pensée pour le clavier de benji ...,3
« Je suis dégoûté » 😂😭,1
Moi je suis pas fan de ce genre de video tellement mieux quand tu part à l'aventure avec tes potes et tous les aleas de la vie les délires les imprévus.. la je kiff à fond! 😁,2
Faut le ps+ pour jouer à warzone,3
Putain mais il mérite bien plus d'abandonner,3
Djisli premier Homme à superposer des écouteurs avec un casque😂,5
Je suis le seul à avoir l'impression que Benji ressemble au foubruiteur😂👍,4
On est 7😔😔😔😂😅,5
HAHAHAHAHA Je t‘aime frero,5
Quel bg ce djilsi,1
C qwa warzoneeeee,3
C quoi Nord VPN!!.,5
T’es quand même un peu nul 😂 juste un peu,3
Tu va être muscle à la fin avec toute les fois où tu meurt 😂,3
on t'attend sur le BR sildji !,3
14:17 le ''ouais'' m'a tuer,1
Mais qui joue en pillage 😂😂😂😂,2
Ça serais cool que tu joue avec les abonnés et tu fais une vidéo. 🙂,5
« C’est pas grave j’en ai un autre » 😂 😂 😂,1
Vous êtes des boulets la vie de ma mère 😂😂😂 des barres je vous aimes putain😂😂,5
Le jeu du moment c’est farming simulator,5
Les vrais comprendront,5
Ct bien le montage 😂,4
Je peut jouer avec vous mdrrrrr,5
Ça fait plus d’un an que je te suis le temps passe vite,3
"À un moment j'étais persuadé qu'il allait rager mais il a lâché un "" oh je vais twerker ""😂😂",2
Trop bien mdr il a péter son  clavier,5
jai hacker nordvpn,5
J'aimerais tellement une vidéo avec Benjos le Rogolos et Djisil qui découvrent Minecraft xD,5
wow quelle aim mdr,5
9:55 oui je sécure😂😂,1
T’a un shoot de briquet jaune,1
11:48 on dirait benji il fait du rap quand il parle😂,3
Haaaaaaa un joueur manette 😱😱😱😱😱,1
J'te prend sur warzone (si si j'te jure),3
Djilsi stv je joue avec vous je suis level 155 je suis pas degeux et je pourrais vous suivre j’ai 17 ans mais je suis pas un gamin ne t’inquiète pas je ne crie pas partout on pourrait faire top 1 en tout cas essayer pour ta prochaine vidéo,5
liker pour qu il refasse une video,4
qui a deja immaginé la famille de djilsi,5
Qui est rester jusqu'à la fin 🖐,4
Prochaine Warzone enmmène Sacha !,5
D'habitude j'aime pas les vidéos gaming mais la 😂,3
Trop bien ces vidéos!,5
Le clavier jpp 😂😂😭,5
mdrr djilsi il joue bouclier,3
8:57 😂😂😂,1
Faut plus de vidéo comme ça 😂😂😂🤣🤣,3
Mdrrrrrr ta tenue on dirait un stagiaire d'un politicien mais claque au sol ptdr,1
Je vous rapelle que la vidéo a été tourné a 2h00 du mat .... Regardez l'énérgie que Djilsi a bordel!,1
T trop nul😂,2
D autre video comme ca tu regale,5
Si vous voulez son psn 15:19,1
Seul les vrai l’ont vu en stream sur Benjos,3
« Laisser moi vous parler de Nordvpn » ⏭⏭⏭,1
Meilleur video gaming de l’année 😂😂,5
Mec c'est trop bien👍🏼 mais fait pluss de vidéo 🙏🏻,3
Ho ptn jai rigolé  toutes la vidéo jpp Frenchement ca change cest vidéo commet ca avec benjous il régale,5
😂😂😂😂😂😂😂 rien a dire de plus,5
quelqu'un veut jouer avec moi à warzone,5
Rip le clavier de Benji 🙏🙏❤,1
Ah mec je te promets que ça faisait longtemps que j avais pas rigoler comme ça 😭😭,5
L’écran de benji beug a mort,5
RIP MON CLAVIER !!! 13:30 (ADMIREZ LE SKILL),1
continue tes le boss bg norage bb,5
On en parle du niveau de Djilsi 😅,3
Tu es le seul YouTuber ou je regarde les placements de produit en entier,5
Pk tu stream pas avec le boute « Share » de ta manette de ps4,1
Aller follow legrandmendes_16 sur insta il rend les abo,1
Toujours aussi drôle  ce pelo 😂👏🏽,5
"""Mathias tu sécurise à l'accueil s'il te plaît""",1
Mais on veut du beau jeu merde quoi😂😂👍🏼en vrais j'aurais pas fait mieux,3
Djilsi tu veux pas faire des lives genre tranquille sans prise de tête ?,2
j' éspère que même le jours ou tu auras le budget tu garderas la mythique clito 😉,3
Tu es mauvais,1
Ptn tes le meilleur 😂😂,5
Ptn tes le meilleur 😂😂,5
Je clique sur la vidéo et la je vois ça vieille degene la 😂,1
J'adore mec j'adore tout ce que tu fais t'es le meilleur wola te3 les fou,5
même le placement de produit je l’ai regardé tellement c’est drôle,5
ENFIN CETTE FAMEUSE VIDÉO !!!,5
DJILSI et les jeux vidéos ça fait 2 mdrr,3
16:58 je m y attender tellement pas xD,1
"Il a éclaté son clavier et il dit "" frère j'suis dégoûté"" mdrrr il me fume",1
tu rates beaucoup de balles,1
Quoi de beau ??😘 bah moi j'ai fini mon stage il y a 2 semaines et je viens de recommencer un stage😂❤ alors bon pas netflix,5
Ça se voit benji il a pété un vieux clavier mdr,3
Tu peux faire un on va où 4 en confinement,3
Djilsi c’est le seule mec que peut importe la vidéo qu’il fait c’est quand même drôle,3
Il a parlé de sponsor obligé c t nordvpn,1
j'ai une question j'ai sûrement raté qq chose mais djilsi est plus avec sa meuf ??,2
je dis ca car je la vois plus du tout,3
super vidéo mais évite de trop faire de montage stp c abuse,4
Djilsi je te kiff et je t'es envoyer des messages insta depuis un bon bon bout de temps mais jamais de réponse 😂😂 mon insta thms.blrd si tu veux bien me répondre ps je t'aime,2
Les dislike ces les rageux de warzone,2
Benji à éclaté le clavier d'une facilité 😂😂,1
Si tu refais une vidéo met ta cam plus petite,2
j adore vous etes les best,5
T rincer 😂😂,1
15:34 c'est la réaction de Benji quand il meurt mdrrr,1
T'as quand même une sale gueule,2
Euh... touche down alors que tu as shooté dans ton cerveau ?,1
Djilsi c’est chaud là... faut qu’on fasse une Game ensemble que je t’apprenne à shoot,3
😭😂😂 t'es nul,1
😂😂😂,5
16:52 🤣🤣🤣,4
Tu c pas faire d pompe,2
Et c’est partie pour rigoler pendant 20min😂😂,4
On veut des placements de produits plus souvent c tellement cool avec toi 😂,5
La soirée à coûté cher un clavier pour le benjos 😂 en vrai il l'a déglingue et peut-être une télé pour le sidjil 😂,2
Djilsi:,3
Surnom: goulaga,3
Point fort : trop nul,1
Point faible: trop nul,1
ENCORE !!!!!!!!!!!!!!!!!!!!!!!!!,5
"Le sidjil est une espèce particulièrement divertissante dans certaines situations, en particulier lorsqu'il joue à un jeu vidéo.",4
Achetez un pc pour Benji le pauvre🙏😂,5
La notiffff,5
Sidjil envoi ton psn,5
Jsuis mort le clavier de benji😂😂,1
« Une balle mal tiré elle ne touche pas »,1
Djilsi 2020,3
Jtm,3
mais en fait t'es vraiment claquer au sol de fou mdrr,2
Rip le clavier😂😂,1
gros gamer le djilsou !!!,5
Rip le clavier,1
Moi qui croyais que j'étais nul,1
PROUT,3
La vidéo m'a tendu de ouf. Tu fffffffffous la haine à viser à côté des mecs,2
Fait des lives twitch stp !,5
—> (likez pour qu’il voit),4
Tu compte jouer avec tes abonnés ?,3
Incroyable la video😂😂,5
16:55 c pour moi,5
Super vidéo toujours morte de rire ! Continue comme ça djilsou 😂,5
T’es clairement le roi de YouTube 🤩❤️,5
