Comment,Number
Un immense merci à NordVPN pour leur soutien et la liberté qu'ils laissent aux créateurs,5
Promo exceptionelle pour les soldes d'été 👉 https://nordvpn.com/vilebrequin,5
J'ai maté la serie Senna de Netflix et je viens voir si les loulous aussi,3
En regardant la vidéo 2 ans apres je me rend compte à qu’elle point il on était irrespectueux et désobligeant en vers la légende qui était ayrton Senna ! J’estime qu’on peut pas ce dire passionner de course auto quand on manque de respect a un pilote à ce point ( n’importe le qu’elle) encore pire quand on ce moque de ca mort !,2
Peut être que les F1 a 6 roue 4roues motrice aurai pu rivaliser avec les F1 ventilateur 😂,3
"En F1, tant que c'est pas interdit c'est autorisé",3
32:33 Mais quel chauvinisme! C'était bien joué de la part de Senna non? 😁,1
PS humour je précise,3
Moi jdit 5 secondes de pénalités pour Esteban Ocon,1
C'est vrai qu'il servait à rien Pierre dans la présentation de l'émission. 😁,1
Mon cœur a lâcher à l’accident de Barichello,1
"Le ventilateur censé refroidir le moteur, à l'arrêt la voiture s'enfonçait au sol quand on démarrait..😂",2
vilebrequin a 5:50 : la video risque d etre trop longue,2
vilebrequin les 6minutes precedentes : course d'escargots absurde,1
Ah le carma !,5
"Putain, c'est du lourd cette vidéo.",2
Un grand Bravo.,5
Plus d’inspiration pour la formule à 3 roues 😅,5
"J'ai adoré cette histoire (que j'aurais adoré pouvoir vivre[car j'étais trop jeune, malheureusement]",5
"01/05/2024 : il y a pile 30 ans, le ""Professeur"" perdait son rival et ami 😢🙏",1
😂,5
Pas un mot sur la mort de Jules Bianchi.... C'est moche,1
Félicitations pour votre prise de recul. :),5
Quid du chapitre avec Jean Alesi ?,3
Je t'adore mais j'ai trouvé gênant la façon dont tu parles de la mort de senna,3
"Merci ! Je comprends mieux la référence de Franquin dans Spirou et Fantasio du coup. ""Fansio"".",5
Senna a eut le karma 🎉,5
"Mais du coup Ayrton Senna, c'est le frère de John?",3
32:28 masterclass de Gaëtan Vigneron en voix off,5
Tututu Max verstappen 😂,5
Masterclass cette video 👏👏🤣,5
30:18 c’était aussi un gros naze,1
Un livre rangé dans une bibliothèque,5
Personne n'ira le corriger et un jour quelqu'un va le ressortir.,1
Combien de livre sacré religieux se balade dans la nature .,5
Ils me manquent 😢,2
18:10,1
Max et RedBull sont en train d'écrire,4
Ils n'ont jamais parlé de l'ESP,1
Comme dis dans la vidéo la f1 interdit les innovations pour garder tout le monde à arme égal et laisser du suspense et pas lasser les gens donc go virer max Verstappen qui nous spoil chaque GP depuis la saison 2023 🤣,5
Vous nous manquez les gars,1
"TU TU TULU, MAX VERSTAPPEN",5
Et maintenant Hamilton a signé chez Ferrari,5
"J'ai une viper gtsr de 2000cv , ça vous intéresse un essais ?",3
Je crois que vous avez oublié de préciser que Hamilton était chez Ferrari,3
Ptdr l’intro de génie je suis plier,5
02:30 le gosse derrière le Grillage mdrrrrrrr,1
"Avec le recul ce qui a fait l’aura de Senna c’est que c’était un illuminé. Il a 1000 fois mis en danger les autres pilotes, sa mort est bien méritée, les fous de dieu ne sont pas un exemple à aduler.",5
MERCI beaucoup pour tous ces informations 😎✌️,5
Dite vous il ont arrêter YouTube,1
meilleure video pour moi vivement top gear,5
"Qui est chaud pour peter à nouveau une plateforme de financement participatif ? Motif officiel financer la retraite de Pierre et Sylvain, motif officieux vous savez 💪🏽",3
"je me rematte les episodes de vilebrequin après leur fin annoncée, c'était bien quand même",3
Une énigme : Pourquoi le 1er GP de France de Formule 1 s'est disputé le 7 juillet 1968 alors que la F1 serait née en 1950 à Silverstone !? 🤔,1
Vous avez une heure ! 😁,5
"La Brabham, en aspirant l'air sous la voiture, cette dernière est collée à la route, comme l'aspirateur !",5
Avec la fin de la chaîne c'est sûrement aussi la fin de ces placement de produit avec tant d'engagement 💔,5
Lintro de ouf🤣,1
Le commentaire 😘,4
"En vrai, cette vidéo est énorme, j’espère sincèrement une partie deux",5
Une partie 2 sur la F1 ? :))),3
Rip 🕊️ jules,1
Senna on t'aime! Repose en paix! Forca Brasil! 🇧🇷💪🏼🏁,3
Le côté sale c'est l'intérieur 😊,3
J’adore ! L’intro et les anecdotes… Excellent scénario….,5
Hollywood a besoin de vous mais ils ne le savent pas encore !,3
Hamilton est le goat de ce sport,5
Que de bon souvenirs 😊,5
"Très bonne émission, bravo",5
L'introduction de la vidéo et juste exceptionnel. 😂😂,5
Il y a un peu de patriotisme dans cette vidéo… haha 100% d’accord avec le fait que ballestre favorisait Prost!… Team Senna 👍🏻,4
J'étais entrain de regarder des vidéos sur la F1 je ne sais pas comment j'ai fais pour attérir ici 😂😂 mais j'adore la F5.,5
Voila ce qui arrive quand on a 6 ans et qu'on veux prendre la direction,5
Ayrton senna n'a pas besoin de boire du rosé pour sentir la barre traverser son front,3
Franchement les années 60 c'est la violence combinée avec de la folie pure,5
J’aurais voulu en apprendre sur le duel entre James Hunt et Niki Lauda… sinon superbe vidéo ! 😃,4
un like juste pour l'intro incroyable,5
"Att est ce que quelqu'un peut m'expliquer, quand Ayrton Senna a disqualifié Prost pour devenir le Champion, ils étaient plus dans la même écurie ? Car perso je vosi deux écuries différentes qui se rentrent dedans",3
Juan Manuel FANGIO ? C'est pour ça que les Italiens traitent les inconscients de FANGIO ? Ou ça n'a rien à voir ??,1
C'est plu ou moin la smg2? la boîte de la m3 e46?,1
Boîte manuelle piloté par un pc?,3
Jme remets pas des 2 manches!!🤣🤣🤣,1
En 93 il y avait la radio sauf qu’il ne l’a diffusait pas Senna il rentre dans les stands parce que son équipe l’appel mais puisqu’elle n’était pas prête il repart et bat le record du monde sur piste fun fact le premier tour de cette course qui est le gp d’Europe a donnington sera considéré comme le meilleur tour de l’histoire de la f1 surnommé The lap of the gods et c’est Senna qui l’a fait,5
Non non non Schumacher ne se bat pas pour le plaisir le moment que t’a montré c Belgique 1998 ou lui et coulthard ont eu un accident de fou les deux étaient fautifs mais Schumi affirmera que coulthard voulait le tuer,1
J’aime l’erreur que le commentateur fait à imola c’est pas villeneuve le dernier mort mais Riccardo paletti au Gp de canada 1982,4
Et vous dites que Prost c un bon gars qui dit ce qu’il a sur le cœur c la spécialité de Senna ça 😂,5
Enfaite Senna n’est pas vrm l’opposer c’était lui aussi un genre de super ordinateur il était capable de te dire que la voiture a par exemple eu un comportement bizarre à ce moment à ce tour exact ça c’était une de ses plus grande force combiné avec sa rapidité il devenait le dieu de la f1 il était un très grand atout pour toute les equipes où il a été (du moins quand il a pris de l’expérience) Prost aussi était comme ça et il y en a d’autre comme ça aujourd’hui comme Hamilton et surtout El padre ou El Niño seul les vrais seront de qui je parle c’est quand même assez facile,5
Le gars il a vraiment demandé à Julien Fébreau de commenter une course de karting pour enfants 😂😂,5
Oeoeoeo,3
18:13 un peu comme verstapen,3
"21:23 nouveau ce rire, je l'avais jamais entendu tiens, tout ça pour un genou",1
"5:40 de pub, c'est des cracks x)))",1
"Pour Schumacher, j'ai vu le grand prix quand j'étais môme où il gagne...avec le moteur cassé. Oui môssieur, pas de moteur ? Balek ! Premier !",2
''Ah bah c'est une bonne technique d'être bon !'',4
😂😂😂,5
merci!,5
Dinguerie l'intro 🤣🔥,4
"Finalement, Senna, moralement, c'était un trouduc, on dirait...",1
La 6 roues le cauchemars de Ferrari 🤭🤭,5
Merciiiiiiii !!!,5
Tres cool .,5
"44:43 ""Vieux con"" illustré par Georges Brassens, pas sur que tout le monde ait la référence mais c'est ce qu'il la rend encore plus belle",4
La fameuse soufflète royale passé en stoumeling ^^,1
J’ai bien aimer le musé de gille villeneuve un champion lui aussi,5
good good,4
Best intro ever ! Et Julien Febreau quel talent. J'ai senti toute la tension de la course grâce à ces commentaires 😂,5
31:16 Ayrton a dit en interview que je cite : “ on se casse les couilles pour faire une pole position et la FIA nous la mets à l’envers en nous foutant du mauvais côté” donc un poils plus vulgaire 😂😂,1
Épisode 2 ?,2
🤩🤩🤩🤩🤩🤩,5
"Trop cool cette video ! (Un peu court), tes interuption sont toujours cool, ça ne gache en rien l'histoire que tu nous compte !",5
formula drift svp,5
"La F1 à toujours été une course Sprint, c'edt pour cela je comprend pas le mot Sprint pour la mini course du samedi ( super Sprint à la rigueur mais bon , incompréhensible 😂 ) les course c'est ou une endurance ou une course Sprint , y a pas d'entre deux",3
"Si vous parlez du génie de Prost, il vous faut évoquer Mexico 90 où parti 12 où 13ème, je ne me souviens plus, il termine premier   😀",3
cccccccccccc,3
Comment fonctionne un boîtier de vitesse,5
"La williams n'a pas été la première F1 à quatre roues motrices, il y a eu la Fergusson P99 vers 1961, puis Lotus et Matra entre autre dans les années 60. C'est dommage que sur des infos facilement disponibles , vous alliez trop vite sur la vérification des infos et dites des conneries. ça ne remet pas en cause la qualité d'ensemble de ce que vous faites, mais pourquoi se contenter d'une connerie qui fait planer le doute sur la fiabilité du reste? Allez, gardez la déconne pour le ton mais pas pour les infos.",3
Les 6 roues étaient une façon de contourner le règlement : les dimensions des pneus étaient limitées dans le règlement mais... aucune indication sur le nombre de roues.,3
A quand l épisode 2,3
J’ai travaillé en écurie de compétition et oui je confirme le scotch c’est la base avec son petit frère le colson,5
Exceptionnellement kiffant votre vidéos les gars. Vous m'avez convaincu. Je m'abonne 😂,5
"Merci pour cette masterclass encore une fois, que je découvre tardivement après cette dinguerie :",5
(P:S : L'algo de Youtube veut vraiment détruire psychologiquement les gens :,1
"J'ai regardé 4 ou 5 documentaires internationaux sur l'horreur du week end du GP d'Imola 1994 à la suite, et la vidéo que me propose l'algo après ça est disponible ci-dessus, no comment.)",4
Cette image à 16:39 mdr,1
Encore un montage INCROYABLE !!!!🎉,5
désolé de casser l'ambiance mais où avez vous péché que les courses de f1 des années 50 atteignaient 24heures ?,2
la plus longue course de f1 de l'époque faisait dans les 800 km seulement et en moyenne c'était plutôt 400 ou 500 !,5
à par ça c'est excellent comme d'habitude,5
"Toujours géniaux vos vidéos, bravo les gars!",5
"On se demande pourquoi il y a un vultech rouler sans pneu du coup, merci hamilton pour l'inspi ;)",3
Tant de moyens pour cette intro,5
Sa serait incroyable une course avec toute les pépites d'ingénierie qui ont été interdits,5
la radio de Sylvain à la fin de la sponso est parfaite ahahah,5
Magique,5
14:36 moi qui lis les sous titres en essayant de comprendre ce que dis le pilote... Mdrr g obéis,1
Trop bien ! Par contre schumi s’est pas peter la jambe chez lui en 99 il s’est mis dans le mur a silverstone il avait plus de freins lol,5
Super Vulteck :manque Alonzo dedans,5
"Sur l'incident de Suzuka 89, techniquement j'ai envie de dire que c'était le virage de Senna car il arrive au sidepod de Prost avant que Prost ne commence à tourner...",3
des grands malades😂 j’adore,5
😂😂😂😂😂😂😂,5
Il a oublié la remontada d’hamilton 2021 Brésil,1
La classe internationale ! Juju qui fait votre intro ! bravo les gars !,5
Le passage sur Senna est à gerber. Cette vidéo est pathétique et surtout truffée d’erreurs grotesques qui démontrent à quel point vous ne connaissez rien à la F1. J’imagine qu’il y a de la souffrance derrière tout ça … j’espère du moins.,2
Pierre qui disparaît à 20:23 m'a tué,1
"Senna c'est Végéta et Prost, Goku",5
42:16 Non c'est du Max Verstappen,1
11:32 Et aujourd'hui en Max Verstappen mais 16 seconde alors qui par en mauvaise position mais nonnnnnnnnnnnnnnnnnnnnnnnnnn les Red bull son pas cheat,1
"Un peu limite sur la mort de Senna, quand même, que j'ai vu en direct😮",3
22:10 vilebrequin : nous parle d'un des meilleurs pilote et de sa méthode pour gagner,5
2022 vilebrequin : font la même chose et gagne le gp explorer,5
Mais... mais... c'est une pépite cette sponso!!!,3
destruction derby .... inconnu en europe pk,1
"""Ah bé c'est une bonne technique d'être bon !..."" Tu m'as tué.",4
Des extraits Canal plus pour parler de Netflix c'est top 😃,5
Koenigsegg svp,5
Koenigsegg svp,5
ces bagnoles a 6 roues ça fait penser a ce vieux animé japonais grand prix qui était completement pêter sur la mecanique,4
Vultech Koenigsegg svp,3
❤❤❤,5
"pourriez vous faire un épisode sur la Formule E svp, merci",3
Continuez les gars franchement vous êtes top,5
Beaucoup de bêtises sorties quand même.,2
"17:42 ""l'idée c'est qu'on reste un peu égaux"".  Red Bull en 2023 😶",3
"Le truc de la crevaison, tout droit tiré de Cars KATCHAWWWWWWWWWWW",1
Wooa comment les commentateur  français sont complètement péter ça me tue!!!😂,1
charles 💪🏼💪🏼,5
12:01 les moteur auxiliaire de motoneige sur la chaparral 2J 70's interdit aprs seulement une année faudrai fair un vultech sur les pièce insolite,1
"la dedicace a cyberpunk fait tellement plaisir , cette caisse est magnifique",5
Cool,5
incroyable,5
ca me pertubre a 6:35 d'avoir le son de la champ select de lol en fond xD,1
Comment Senna ne c'est pas pris une enquête de police je comprends pas.,1
"alors pour la f1 a ventilateur , j'y t'y expique",3
l'air extraite a l'arriere est forcement aspiree quelque part !!!!!,2
sous le bas de caisse a fond plat ..........,2
"resultat , voiture collee au sol",3
et aderence accrue,5
"Merci beaucoup pour vos vidéos! Mon père était Méga fan de F1 et de rallye, grâce à vous je comprends un peu mieux son obsession ^^",5
Qulequ un sait c est quand que senna passe à fond dans les stand?,1
Je retrouve plus la séquence,3
incroyable la vidéo,5
J'ai eu la chance de suivre la F1 dès le début des années 80. Alain Prost s'est fait DEMONTE par le Brésilien.,5
Merci pour cette vidéo (et rip Leclerc qui est sur la miniature mais pas dans la vidéo mdr),3
abcdefghijklmnopqrstuvwxyz lalakzjakzjajakz,1
Très bon épisode hormis les passages prost/senna ou il y a pas mal d inexactitudes. Pour le reste 50mn passées en 1 éclair,4
Et l'épisode 2 c'est quand ?,3
"Question qui me taraude, mais je crois avoir raté un épisode. En 1990 à Suzuka, Senna et Prost ne sont plus dans la meme écurie c'est ça ? Prost est chez Ferrari, et Senna chez McLaren ? (Cétait bien McLaren les F1 rouge et blanches ? Je suis vieux je m'en rappelle plus ... Et j'avais trois mois aussi. Hein. Bon. Voila quoi.)",1
le ventilo deriere la voiture etait en fait un aspirateur qui plaquait la voiture au sol.   et les autres pilotes recevais tous les debrits qui étaient sur la piste,2
Incr l'histoire d'ayrton ! je conaissais pas tt sr le crash,5
Senna c'est le meilleur dans tout les cas,5
"Rho comment vous lustrez le chibre de prost 😂 le nombre de fake news sur les saisons 89/90 est pas top. J’aime bien les videos mais je trouve que la recherche de celle ci est trop biaisée vers la france, avec pas mal d’erreurs.",2
"Pour lewis 8, désolé mais a mes yeux sa huitième étai a lui si triche il n'y avait pas eu",2
Le temps parfait !,5
"C'est la toute première vidéo de v vous que je regarde, je ne vous connaissais pas, et bien j'ai ADORE votre contenu ! l'humour, la forme, tout était super. Un vrai plaisir. Merci et je vous souhaites le meilleure pour la suite. Et félicitation a sylvain pour sa course absolument incroyable au GP explorer.",5
Je vous aime. Vraiment. Mais les approximations historiques sont bien trop nombreuses dans cet épisode. ❤,5
"Bonjour les gars,",3
"J’adore la F1, je devrais dire je l’aimais a l’époque de Senna ´Prost.",5
"Par contre on vous aimes bien , mais essayez de respecter un peu plus les morts c’est degueulasse de blaguer là dessus",3
"Le monteur qui a mis le pti son de star Wars , masterclass 🤣🤣🤣🤣",5
Le karma et la sélection naturelle 🐲,5
22:27 Chocolatine !,1
"Course initiale : Sylvain, je viens de votre futur, et vous ferez premier, un jour, dans une vraie course !",5
"Le ventilateur de la Brabham boostait en fait le concept des jupes, c'était une sorte d'aspirateur ventouse grâce à auquel la voiture était complètement collée au sol, ce qui permettait de prendre les virages à des vitesses insolentes, en ayant moins de risques de décrocher brutalement tel Gilles Villeneuve",5
"Mon papa à toujours détester Senna.  Je comprends mieux pourquoi,  mais comme lui, je suis d'avis que personne et même lui ne mérite de mourrir ainsi, même s'il est mort dans sa passion.",5
"La blague à 41:20, franchement t’aurais put éviter. Vilebrequin j’aime beaucoup vos vidéos mais là franchement c’est décevant. La mort d’une personne ( et surtout celle d’une légende comme Senna ) c’est pas un sujet drôle",1
BAHAHAHAAHHA l’autre jour j’ai fait du karting aussi là bas,1
g pas compris Senna il est mort ou pas ?,1
Senna etait un woke avant l'heure en fait...,1
"Conseil aux ""nouveaux fans"" comme tu dis,",4
"Plutôt que de regarder une trentaine d'heures de série docu mal ficelée et bourrée d'incohérences, regardez plutôt les résumés ""rétro f1"" de canal sur leur chaîne Youtube. En plus vous pourrez remonter bcp plus loin que 2018 si ça vous chante",2
Meilleur vidéo d'intro de tout les temps 👍👍,5
J'ai un souvenir incroyable de patrese en 92 au Portugal qui percute la roue arrière d'une McLaren et s'envole... Et sors sans une égratignure,5
Putain c'est un cauchemar à 46:15 on voit un des mécanos en feu partir du stand :s,1
Une partie 2 ?,3
