Comment,Number
"Rendez-vous sur https://NordVPN.com/DrNozman pour obtenir un abonnement de 2 ans + un cadeau bonus, le tout avec une énorme réduction. C’est sans risque car satisfait ou remboursé pendant les 30 premiers jours.",5
6:29 🤣🤣🤣🤣🤣🤣🤣🤣,5
L'examen veut entrer en toxe durant un commentaire beaucoup moins comme news plus que news a été bâti et si maman est vraiment en tout cas oui t'as été baptique c'est vraiment oh non C'est possible d'avoir 18 ans a été base sur news et a été bâti pendant un an et demi Qui connaissent pas😮😮😊😊😊😊😊😊😊😊😊😮😮😮,2
Il est doué le premier gémi je à faire un réacteur nucléaire,5
2:05 un réacteur a fusion ?,1
Félicitations pour les + 10 ans 🎉,5
"je suis la depuis tes débuts alors que je ne commente pas, mais continu, t'es génial, ça nous instruit tous",5
J'ai fait l'expérience chez moi et je suis mort.🙁,5
😉👍(+1),5
Bravo pour tes 10 ans tu nous apprend pleins de choses (refais dès ouverture de géode en feat Pls),5
as-tu déjà essayé de faire une FUSEE ? pas encore?? on attend lol,1
"La tsar-bomb quand ils l'ont fait péter, l'onde de choc a fait trois fois le tour de la planète",1
C'est quoi le site de nord vpn svp? Merci,1
Je kiiiiifffe à mort☠️☠️☠️,5
Lui a ne pas reproduire je vous fais confiance moi tkt je vais pas le faire🤥🤥,1
"Joyeux anniversaire, Nozman!",5
"tiens parlons-en de Bill Gates celui qui n'a rien inventé :) , allez demandé a l'étudiant Indien à qui il a acheté le brevet de l'ossature de windows, demandé lui ce que sa lui a fait de vendre son bébé pour 50000 dollars afin de pouvoir finir de payer ces études, bref  les cons régneront encore un bon bout de temps avec les supporters qu'ils ont",1
T es le meilleur,5
Incroyable Continu et Fait un episode sur elon musk non xd,5
"Salut, ptet que tu verras jamais ce commentaire c'est pas grave. L'une des premières voitures(ou machines qui se deplace) c'est fardier un lorrain, d un departement si pauvre aujourdhui.. J'y connais rien mais ça devait être cool pour l'époque aussi quand meme. Merci pour ces vidéo que je regarde avec du retard (c'est tjrs super cool a lheure ou je regaarde).",1
BRAVO POUR LES 10 DE LA CHAINE,5
Attend comment il ce recharge le peacemaker,5
plus tu apprend jeune plus tu va loin.,2
les harcèleur c'est tous des jaloux.,1
"Quand j'étais parti visiter la maison de da Vinci, y'avais un mec environ 200m plus loin qui construisait un avion (une place hein) dans son garage",3
"7,29 minutes",1
Dommage que vous soyez si approximatif (trop) sur l'invention de l'automobile. Ford n'a rien inventé du tout si ce n'est la fabrication à la chaine. La première automobile date de 1769 et elle était autopropulsée. Benz lui brevette seulement la voiture à moteur à explosion. Ensuite la première Peugeot sort en 1891. Suivra la première Renault en 1898. Ford ne sortira sa célèbre Fort T qu'en 1908 bien après les français.,3
Félicitations pour les 10 ans,5
"Tu voulais dire ""j'espère que je me trompe pas"" non??? Parce que sinon c'est espérer que tu te trompe sur le fait que peu de personnes ont essayer de faire leur propre réacteur dans leur garage 😂🤣",1
👍👍👍👍,5
17:29,1
".. Henri ford et édisson ont pillés les secrets et brevets du TRÈS GRAND NICOLAS TESLA,... Bah quand même !!",1
Un peu Connu lol KARL BENZ ;),4
Wouaaah la fin m'a trop donner envie de me retaper les premières vidéo 😭,3
Ah tous ceux qui inventent des choses dès l'adolescence. Comme si on venait seulement de se rendre compte soudainement que l'intelligence était largement innée...,5
C'est trop bien,5
Gros je vais pas te mentir j'ai une étoile a fabriquer. Mdr 🤣,1
J’aimerais bien avoir mon propre réacteur nucléaire. Oui je sais je suis bizarre.,5
les titre a chaque fois ils sont fait pour que lon clic dessu et a chaque foi je me fai avoir,5
7:29 t'avais pas vu hein?,1
Quand je suis a coter de ma mère et que tu commence a parler sérieusement je me sens trop intelligent 😂,5
Super sujet,5
Bon anniv à ta chaîne et à ton talent,5
4 00 005 000 Abonnés juste waow,1
Moi aussi je veux créé un réacteur à fusion chez moi comme sa on paye plus l'électricité 🤣🤣🤣🤣,5
MDR j'habite a 15 min d'iter,1
"0:12 ""Je me trompe ? J'espère que je me trompe"" Bah j''espère que tu te trompe PAS surtout ;)",1
J'me trompe ? J'espère que j'me trompe 🤣🤣🤣🤣,2
"T'es un bon de ouf , j'kiff t'es vidéos ! De la science et de la Passion 💎",3
Quel escroc cet edison,1
7:30 Première pro 🤔,5
J'ai envie de le faire,4
10 pige déjà,5
7:29 pk y'a une image subliminale de ce qu'on dirait les séquences de montage ^^ un bug de montage ? ^^,2
Merci tu ma donner envie de faire une tête nucléaire,5
"ha ce petit ""excellent"" m'avait manqué. 10 ans déjà merci pour le coup de vieux ;)",3
Merci a toi😍😘,5
❤❤❤,5
bientot 4M,5
Je suis le 1m eme vue la vie de oim,5
"Ford n'est pas vraiment un bon inventeur mais un incroyable entrepreneur qui a su mettre en place la production en série pour les ottos réduisant le prix. Sans les frères Dodge qui ont conçu le moteur à deux temps en ligne de sa première voiture, il n'aurait pas pu la fabriquer ou alors il aurait pris un autre moteur que qqn d'autres aurait créé. Il aurait mieux fallu parler de Rudolf Diesel ou de Otto, qui ont, tous les deux, inventé les ancêtres de nos moteurs modernes (essence et diesel).",4
Genre t’es profs de science ou quoi ? Parceque tu t’y connais tellement,3
Le 4 millions arrive vite,3
Tu vas trop vite ! Et oui on a idée de à quel point tu kiff ce que tu fais car ça se voit !,5
"Tu mérite largement ton succes Nozman :D depuis 10 ans comme tu dis si bien, tout se temps nous as envoyé des vidéo de qualité",5
Excellent,5
La première voiture est française c’est le fardier,1
GO 4M,5
"Comment être aussi érudit, et pourtant quand même trouver normal de dire ""un espèce"" ?!",3
"(dire ""un espèce de tabouret"" c'est comme dire ""une genre de chaise""..)",1
"Lui : ne refaite pas ces expériences, surtout la premiè-",2
"Mon cerveau : refaîte absolument toutes ces expérience inofensives, surtout la première",5
Hmmmm,3
Autre sujet la fusion non explosive fonctionne elle sert pour produire des neutrons utile aux analyses non destructives. ce bidule souffre d'une puissance ridicule MAIS ça fonctionne et c'est utilisé.,3
Un tube dans lequel on fait le vide est équipé à une extremité d'un injecteur sous tension et l'on y injecte (secret de fabrication tritium puis deutérium). A l'autre extrèmité bouchée par une mince lentille d'aluminium la première vague de T reçoit les deutons accélérés par la tension d'un van der val et on récupère les neutrons qui se rient de l'aluminium. une simplification consiste à n'utiliser qu'un injecteur à deutérium. sur l'opercule d'alu on a/,5
D+D=>He+N  Il  y a un truc: on récupère de l'hélium 3 au lieu d'hélium normal de masse quatre. Le neutron manquant est déjà parti hors du tube.,3
La fusion a aussi l'avantage que les explosifs à fusion ne possèdent pas de masse critique. Aussi quand nous fabriquons des bombes H il n'existe aucune limite à l'accumulation de leurs énergie.la limite est le prix du [CD2]n et l'inanité à créer une bombe capable de détruire dix terres alors qu'une seule suffit.,4
Eu comment ça le 28 mai 2021 😂,1
Les illustrations ❤❤❤❤❤❤,4
"J'ai adoré ta vidéo, t'as pris du level en 10ans. J'aimerais d'autres vidéos sur ce sujet, mais le format est bien trop court. Je suis tellement sur ma fin qu'on pourrait appeler ça un début. Il doit pourtant yen avoir bien plus à dire, non ?",5
Déjà 10 ans wow ça passe vite ! Force à toi !  C’est une super aventure que t’as fait t’arrêtes pas et profite.,5
Ps: Petit souvenir de l’épisode où on se demandait si l’univers était une simulation informatique j’étais en mode « pooowaaa » 🤣,3
Ça serait sympa un épisode sur Rudolph Diesel,3
Originale l'image subliminale à 7:29 :-) Je pense qu'il y a un mauvais copier/coller :-D,3
Mon gars sa fait 10ans je te suis & tant que tu feras des vidéos on regardera 🤜🏾🤛🏾,5
7:29 on voit une petite coupure,3
"""ne refaites pas ces expériences""",1
"""première experience : construire un réacteur à fusion nucléaire dans son garage""",4
( =.=) so tempting...,5
Bon anniversaire,4
Une vidéo évoquant l'impact du lobbying de la Standard Oil (devenue eSsO) sur le choix final de l'essence comme carburant pour les automobiles pourrait-elle être envisagée ?,3
"Quand on pense qu'en 1899, une voiture électrique atteignait la vitesse de 105km/h, imaginez les progrès que nous aurions fait dans ce domaine si le moteur à essence n'avait pas eu les faveurs de sociétés d'exploitation du pétrole.",3
On est là parce que tu es là ♥,5
"Je me rends compte par la même occasion que ça fait 10 ans que je squatte YouTube, t'a été l'un des premiers et je suis toujours là, continu tu ne fais que t'améliorer 👌",5
des titres toujours aussi putaclic,3
"Je sais pas si tu te rends compte, mais tu es sûrement le nouveau Jamy Gourmaud pour toute une génération",5
"ba moi je fais pas des expériences chez moi  je fais des maths (mais je fais des truc méga dure : Conjecture de Riemann , Fonction Gamma , etc.....",2
tu t'es trompée c'est pas nm mais nim,2
"Et dire que j'ai connus dr Nozman avant qu'il est 1000 abonnés, ca a bien changé, mais j'adore toujours autant, on apprend tellement de chose avec lui",5
nan mais mdr c'est quoi ces gosses qui jouent avec de l'uranium . Déja d'ou il en a et d'ou il a une machine qui balance des neutrons Xd,3
Nozma l’automobile est née en France 😉,1
Ta chaîne est tellement intéressante 🔥🤯💯  tu mérites tes 4M d'abo ✌🏼,5
"N’empêche, il va quand même y avoir des débiles qui vont le faire! 😒",2
Joyeux anniversaire mais j'ai 12 ans !!,4
Je te suis depuis ta vidéo sur comment faire un chewing gum,5
Mdr 7:29 t'as mis ce que le mec regarde dans le magasine x) ou ça ce passe comment ?,1
"La musique vers 9:15 fait penser (en vitesse x1,25 ou normale) à une musique des Sims",3
Commentaire pour référencement,3
Montréal,5
J'ai 14 ans et je vais bientôt faire une fusée avec du kerosene et de l'acide nitrique fumant,5
Ce mec il m’apprend plus de trucs que mon prod d’ES,5
Mon prénom Taylor 🔥,5
"Super vidéo ! C’est vraiment génial toutes ces petites histoires franchement ! Vivement la prochaine, dommage que sa n’est pas plus long ahah",5
La fin 🥺🥺❤️❤️❤️❤️❤️,5
Oof j’ai pris un coup de vieux XD,1
"Ford à abattu le mur de sa cuisine pour sortir la Quadricycle, il ne l'avez pas assemblé dans un hangar à charbon.",1
J'ai appris ça dans un documentaire sur l'automobile américaine. On y apprend aussi que Walter.P.Chrisler était un enfoiré très opportuniste...,5
Merci pour tes super vidéos.,5
J’adore les petites illustrations que tu utilises pour illustrer cette vidéo. Tu devrais faire une BD ça serait vraiment cool,5
Wah vous avez vu la nouvelle  option ytb acoté du like en haut sur la video en peut partager un extrait,5
"Hey Dr Nozman, écoute ça : Le Réacteur thermonucléaire expérimental international, ITER , est un projet international de réacteur nucléaire de recherche civil à fusion nucléaire. Et c'est en France alors si tu peux aller jeter un coup d’œil ça peut être cool !",5
"Les DESSINS sont incroyables quand même, rappelons-le 🔥✨",3
@astronogeek 😅,5
"7:29 metez en ralentie 25 vous allez ,voir les rush^^",1
Ce serait intéressant de voir l'histoire de Bohr.,3
"L'ado avais du avoir comme devoir de faire un réacteur a fusion a l'école , mais je crois qu'il a pas compris qu'il devais faire une maquette en papier mâché comme pour les volcans en chimie xD",3
1 mot : encore 😁,5
Jpp des pubs sur ce site de merde.... sinon ya une bonne video entre les pubs,3
"TEAM DES 10 ANS !! Qui étaient là depuis le début ? :') (la musique de fin et son ""excellent"" m'ont fait un coup de nostalgie de dingue)",5
Ce n'est pas Joseph Cugnot qui inventa un premier véhicule en 1769?,1
Tu as aussi le stimulateur du nerf vague,5
3:27 donc toi tu connais dragon ball Nozman 😂,3
Petit soucis sur ta vidéo à 7:29 ! Bonne vidéo,1
Gg,5
Moi j aime trop les vidéo des savent fou 😁,5
J’ai pensé à steingate pour ceux qui ont la ref,3
C'est trop bien fait d'autres vidéo comme ça stp😭,5
Karl Bent c'est pas le mec qui a fait la Marc Bentley 🤔🤔🤔,3
Une petite question…comment fais tu pour te débarrasser de tes expériences avec de l’acide 😶?,4
"Si tu refais une vidéo, parle de Ferry Porsche, qui a créé l'une des premières voitures hybrides (essence-électrique) dans son jeune âge en 1899, et qui construisait, à la base, ses voitures dans une scierie.",3
E = mc2  petite référence à Dr. Stone 😁😁😁,4
petit soucis a 7mins 29 ? ;),1
De rien !!! ; ),1
"10 ans ToT, je pensais pas vivre cette manière de m'annoncer que je vieillis '-'",1
C'est quoi une voiture ?,1
Petite erreur de montage à 7:29,1
c'est Carl Benz l'inventeur de la premiere voiture pas ford,5
5:00 Le gamin ne voulais pas qu'on le traite de nerd alors il a fait le truc le plus nerd du monde en se fabricant un taser de toute pièces ... Comme disais l'autre : il faut cultiver ses contradictions.,1
Merci à toi poto ;),5
Une prochaine vidéo sur la supraconductivité ??,3
Bonne anniversaire à ta chaîne !,5
on t'aime aussi ! <3,5
A quand un prochain vrai ou faux,1
Nous aussi on t'aime docteur nozman,5
"le collègue Astronogeek a également fait une vidéo sur un jeune ayant construit un réacteur, ca s’est pas très bien fini aha si ça en intéresse certains! 😏",3
moi qui lis le titre :,1
refaite toute ces expérience (surtout la première),5
7:29 ereur de montage vidéo 😜,1
Merci Dr Nozman ! Cette façon de  vulgariser la science est parfaite. Et je valide à 200% cette revue d'inventeurs. On en veut encore !,5
J’ai seulement lu le titre c’est la premiere experience que jvais refaire,3
