Comment,Number
"Bonne vidéo ! NordVPN qui régale, soutenez la chaîne en accédant au deal exclusif NordVPN sur mon lien : https://nordvpn.com/amixem Merci à ceux qui check c’est vraiment ce qui fait vivre ce contenu ✌️🙏",5
Il faut recommencer monsieur Macron va partir,1
bon bah je vais faire du 41,4
Je suis venu pour Elisa et je ne suis pas déçu,5
"Bravo pour cette vidéo étude immense big up aux acteurs,  engagez en certains!!❤",5
"tout les pays du monde contrôle leur immigration c'est juste logique, c'est la base...en France c'est considérer comme raciste!",5
voyager les gens! vraiment!,5
C'est fou le nombre de gens qui ont cru au parti mitoyen 😂,5
"C'est trop drôle 😂,  carrément mon darron a fait une intervention",1
Il faudrait largement + de vidéo comme ça,3
C'est exceptionnel,5
"Je rappelle que Coluche, grand humoriste, a sérieusement failli être élu Président. A quand une vraie campagne Amixem ou Thomas ? 😂",3
Mdr j'adore mais les gens se prennent trop au sérieux au marché,3
"Placid, le ministre des petits métiers là, il est trop drole",3
Ça aurait été incroyable que Macron écrive un commentaire pour dire:,1
-NON. C’est pas comme ca,1
L’un des ministres c’est le mec de Clear bord sur la vidéo des entreprises,5
ho plaside c'est le mec dans le tribunal des bannis de squeezie,5
Toma le nouveau h!tler,5
pas mal,3
L'interview présidentielle... merci pour ce moment,5
Ça me tue comment ils ont rien payé ?,1
Ci vous êtes président aller voir les agriculteurs qui vous nourri bande de pette riche,5
"salut à tous, tristement réaliste dans le fond. bisous à tous.",5
Concept a refaire la vidéo est géniale,4
je fais 50 50 eau gazeuse eau plate parce que c'est meilleur l'eau gazeuse mais j'aime pas quand ça pique trop par contre je me la sers moi même,3
"Deuxième fois que je regarde cette vidéo, l'actrice qui joue Elisa est incroyable 😂👍💪",5
19:19 « c’est tres moyen jeanine »,2
Qui as reconnu jean placide ? Il etais pas dans la video de squeezie le tribunal des bannis,1
a 8:50 de la video 🤣🤣🤣🤣,1
Chirac étais un amie a mon arrière grand père qui étais maraicher c est peut être pour sa qu'il aimer allez dans les marche haha,3
Qui peut me dire si l homme en  début de vidéo 13:18 es ce que cet homme en colère était un comédien ? Svp,1
Mon père s'appelle Stéphane 💀,5
Qui a reconnut Jean Placide????? 😂😂😂😂,1
"Vs faites trop sérieux en costard,ça va pas là😂😂😂😂😂",1
depuis quand un président se présente avec un costume froissé de ouf???,1
"j'adore le concept, merci",5
"""ON VIT 24H COMME DES YOUTUBERS""  aurait pu marcher aussi !",1
Amixem président de la république prochaine élection :😂,5
À 100 % sûr que ça se passe comme ça en vrai ! Ça expliquerait au moins le bordel dans lequel la France est actuellement... 😅,5
J’ai adoré la vidéo c’est une masterclass,5
😂😂😂bande de cons😂😂😂,5
😂😂😂bande de cons😂😂😂,5
incroyable,5
le passage avec placidelitz je my attendais pas,2
Je regarde toute les vidéos mais cette humour me mets bien trop mal à l'aise mdrrr,2
J'ai 80 ans 😅,5
Vous avez la réf,3
"Les personnes responsables , et leurs colibégérants  seront jugée haut et cour, quand le pays repassera  a la main du peuple .",1
o-ups,3
13:24 c un veux d'acteur ou c'ettais vraiment quel qu'un qui aime pas la politique ou non,1
L'épisode était légendaire 😂 j'espère que y en aura un deuxième,3
Plus de garde du corps que macron mdrr,5
IL EST MARI2 IL EST EN BOITE DE NUIT,3
24h dans la vie un gendarme 👮‍♀️,5
24h dans la vie d’un homme affaire 🎉,5
Wow terrain bcp trop glissant de faire ça mtn,2
I have suitcase,4
Je l'appelle Stéphane et je m'insurge ! je demande un droit de réponse ! à l'antenne ! Avec Amélie...,1
Une augmentation pour Élisa JPP 😂❤,3
Amixem en sueur quand Thomas essaie de déboucher la bouteille de Champagne dans l'hôtel ! Nan nan nan nan... T'imagines même pas le prix de la caution ! Juste pour la moquette XD,5
36:53 ha ba voilà ma suitcase que je cherchais partout,1
"c est ""placide"" dans la vidéo unban de squezzie 😂😂😂😂😂😂😂😂😂😂 tu envoie un message 😂😂😂 21:34",1
mdr il n'est dispo pour mon aniv,1
19:45 Tu viens d'être promue ministre du ministère des bonnes nouvelles.,5
"Pourquoi il y a le mec de "" la cour des banis "" dans les ministres 😂 ?",1
Perso j'adore votre délire,5
10:45 le dérapage j’ai cru que on était dans une vidéo drift d’Étienne,1
faite rentré elisa dans le crew XD,3
Force au dessinateurs de code bars 💔,1
Amixem Thomas présidents,5
Un président peut être roux ?,1
desolée mais Elisa ... Dans léequipe XD elle est incroyable !,3
"7:25 Je la reconnais, c'est Brigitte 🤣",5
"3:47 J'ai une anecdote à propos de Brégançon: Y a pas mal d'années, y a 20 ans au moins, j'étais en vacances sur la Côte d'Azur avec quelques proches, nous avions une maison en location et tous les jours, nous faisions un tour de la côte et un jour, nous sommes allés sur la plage devant le fort, que je ne connaissais pas à l'époque sauf que je l'avais vu peu de temps avant aux infos, parce que le président y était en vacances.",3
"Avec mon beau frère, on a longé la plage sur la gauche et on a atterrit sur une petite plage isolée où il n'y avait personne, jusqu'au moment où deux mecs en short, avec une arme, assez costauds sont arrivés et nous ont demandé de faire demi-tour car c'était interdit.",3
"C'était sûrement la sécurité du président qui surveillait les alentours à ce moment là sauf que sur le coup, on s'est demandé ce qu'il se passait, pourquoi ces types costauds, un peu bizarres avec tatouage...(on aurait dit limite des mafieux) nous avaient dit de faire demi-tour...",2
"Et c'est là que j'ai repensé aux infos, que j'ai compris que c'était l'endroit où le président passait ses vacances et qu'il devait sûrement y être, à ce moment là.",5
"Un président n'a pas de baskets avec son smoking, pas de casquette et pas non plus de smoking froissé.",1
Bon ben désolé Lola Thomas voulait des kebabs,3
"Suis je le seuls à 21:34 à avoir reconnu le type avec les chemise rayée blanche et bleu? Il a passé dans une vidéo de squeezie tribunal des banni IRL avec Kameto et gotaga au time code 18:01, il est même sur la miniature de squeezie 🤔🤔",1
12:16 l’enchaînement est fou,1
c'est trop drôle! c'est presque comme dans la vrai vie! mdr,2
On veut plus de Elisa !! 😍😍,5
"Costard avec des chaussures de sport, c'est très moyen.",3
"28:36 C'est un plan ""Mars Attack""!",1
Les gens vous prennent au premier degré!,5
😂😂 veste froissé 😂 garde du corps en carton 😂,5
"Assez drôle, mais peu crédible, je pensais que j'allais découvrir des choses, en fait pas du tout, ils ne ""connaissent pas"" la vraie vie du président... dommage de pas avoir fait passé la vraie vie avant l'humour à mon goût !",3
Une masterclass sur le plateau tv,5
"Un petit 24H dans une pizzeria, je vous invite pour la découvrir :)",5
22:53,1
La banane soufre énormément 😂😂,1
À quel moment ils se mettent a enculer les français,3
"Merci pour votre HUMOUR !!!!!  (présidents Mitoyen, j'ai du fric et alors !!!!) .....  j'ai passé un EXCELLENT moment !!!!!",5
je baisse le SMIC ahhahhahahahahah🤣🤣🤣,2
Excellent les chaussures de maxime 🤣,5
Fais des concepts sur 48h histoire que ce soit plus « immersif » (oui je sais ça fais un plus gros budget à prévoir lol) mais genre 24h c’est un peu court en vrai pour certains concept,3
22:45  ce mec il était dans le tournage du tribunal des bannis sur la chaîne de squeez les vrais auront la ref 😂,1
Les tenues catastrophiques,1
Tu mec❤,5
3:31 bug sons ?,1
"13:51, 14:00 plaque d'immatriculation visible",1
13:51 plaque d'immatriculation visible,1
C’est possible une vidéo 24h en cité avec des gauchos stp ?,1
21:35 c’est Placide de la vidéo tribunal des banis irl de squeezie,1
Cette vidéo est incroyable!!!!,5
21:36 y a le gars du tribunal des bannis IRL 😂😂,1
mais 21:35 c'est Nawk nan?,2
jean placide faut la ref,3
"Merci pour la mixité, ça fait du bieeeen",4
T es le Bosse continue comme ça ❤,5
17:27 meilleur moment de la vidéo XD,5
Ah je suis fier de voir du contenu français de cette qualité !!!,5
C'est du très beau travail,5
une masterclasse :p surtout l'interview xD,5
Putain de droitard... Désespérant tout ça,1
Il faut intégré Elisa dans le crew je pense que ça peut être drôle :),3
"J'ai la tour Eiffel 3D chez moi, je suis un président ! 😂",5
On sent que Maxime était pas très à l’aise Quand le papy s’est exprimé sur son bord politique😂,2
whs ta viré 3 personne en 10 secoude,1
"""Jean placide"" 😅",4
"Honnêtement pas fan de la vidéo, trop long...",1
"Raid ""Love from France ❤🇫🇷"" pour Pokimane 🤩",5
ta fait une erreur c'est survie a la place de sur vit bg !,1
Trop drole,1
merci ptn j’ai pas rigolé autant depuis un moment vous régalez 🤣🤣,5
Il a résumé la politique en France 🇫🇷,4
Elisa le S des S,5
Un T70 🤣🤣😆,5
Fait une vidéo 24 h comme un riche,5
Vive le PM 😅,5
Une partie 2 svp j'ai trop rigoler 😂😂,3
"Une vidéo extraordinaire (comme d’habitude 🤫), super concept malgré que la parodie soit très tendu dû aux actualités. Amixem et Thomas restent apolitiques et ça conserve le charme du divertissement de la vidéo.",4
mais naaaan ya placide,3
🎉 La TVmixaim 🎉,5
Le côté de fou rires 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1
"Amixem,",5
Je t'écris aujourd'hui pour te supplier de refaire une vidéo avec CyrilMP4. J'essaie de te faire le message le plus sincère possible au nom de ta communauté la plus ancienne.,3
"Si tu vois ce message, je t'en serai très reconnaissant.",5
"Passe une agréable journée, toi et toute l'équipe.",4
"Un petit like pour de la visibilité, s'il vous plaît. 😭",3
vous les avez trouvé à l'école vos gardes du corps !?...,5
"""je suis pour l'immigration",1
"- ah merci""",5
On voit que tu ne vis pas avec.,2
Magnifique vidéo,5
MDRRRRRRR,3
I have a suitcase 🎉,5
Force a toi Maxim pour ta femme ❤,5
C’est assez kiffant de bosser avec amixem 😅!,3
"À y penser, vous pourriez techniquement légalement vous présenter et mine de rien, même remporté une bonne quantité de vote..assument que les valeurs véhiculées par vos vidéos sont vos réels valeurs (On l'espère) votre ""parti"" pourrait être que bon",2
Amixem t’es au courant que si demain tu te présente tu deviendras vraiment le président no joke,1
banger les JO a sochaux,1
Mois bien aimé cette vidéo. Un peu trop de scénarisation . mas le reste est cool,4
Dans le Conseil des ministres il y a pas le gars qui et dans la vidéo squeezie ou il rencontre leur viewveur qui on était ban❤😂,3
Mais Att le mec a la table c celui du tribunal des bannies de squeezie,3
"terrain glissant, les migrants qui plantent et viole faut pas le dire 🤡",2
Imaginer des gens qui y crois et qu'il cherche le partie mitoyen sur le truc des vote,4
"mdr il y a ""placidlitz"" seul les vrai on la ref",3
"Petite question comme ça le ministre en bleu qui montre des images il était pas dans le tribunal de banis irl de squeezie ??? (Qui s'appelle Jean ""placide"" qui veut dire calme en français)",3
le papi rasitse heeeeeee,1
Quand j'ai vue Placide c'est a ce moment la que je me suis dit que la France vas mal 😂😂😂,1
"""Jean Placid, Ministre du Travail [...]"" ; C'est celui dans le tribunal des bannis IRL de @Squeezie ?",1
En tant qu'ancien président je trouve ça nul.,1
"La vidéo est cool mais dommage la casquette pour Thomas, ça gâche pas mal le « RP »",3
"29:00 Le ""T'imagines la caution d'la moquette, juste la moquette"" était TELLEMENT instinctif, et ce regard... on a vraiment quitté le rôle play de temps d'un instant XD",1
"Déjà les présidents sont rasés, et ont des cravates 🤣",1
Si vous vous présenter a élection présidentielle je voterez pour vous amixen je fais un cap agent de sécurité je pourrais vous protéger,1
Slt je voudrais que tu face 24h dans la POS d un officier supérieur de arme un général de division stp ou si tu ne peut pas general d armee dans la gendarmerie nationale stp amixen ps t'es le meilleur YouTubeur du monde toi est ton équipe vous me remonte le moral quand je suis triste,5
Placid litz ❤,5
Dame Elisa est géniale !!!! Elle m’a tué de rire XD😂,5
Ceux qui ont reconnu placidlitz du tribunal des bannis de Squeezie ✋,1
@emanuel macron officiel,5
Elisa c’est la star de la vidéo 😂 vraiment,5
Des délires de nouveaux riches qui gaspillent leur argent 💰.  Vous avez du talent pour le divertissement mais vous l'utilisé à de bien mauvaises choses !,5
Est-ce que vous êtes au courant de ce que gagne les gens qui vous regarde ?,3
"Savez-vous encore comment ces gens vivent et ce qu'il sont obligés de faire pour finir le mois avec leur salaire ? Pendant que vous , vous en dépensé 3, 4 ou 5 fois plus pour vous amuser !!!",3
"Amixem, je vais te donner un bon concept  (que sûrement tu ne liras jamais)",5
pour ta chaîne.,5
Aides les autres !!! Que les milliers/millions d'euros qui rentrent dans les caisses de ta boîte de production servent   à  ceux à qui tu doit tout : ton public !!!,5
Prends exemple sur la boiserie qui offre 20 voitures !,5
