Comment,Number
Ton premier essai étais beaucoup plus long,3
Les lettres viennent du grecque,3
rιρ l'αlραβετ grεc...,1
"J'ai pas encore fini la vidéo mais déjà la partie pub était géniale ! Continue comme ça, tu arrives à rendre intéressante et amusante un moment qu'on skip souvent",4
Bonjour ta vidéo est très bien mais quand tu fais des gros casse tête qui te prennent du temps se serait cool si tu pouvais nous mettre dans la description la vidéo sans montage .,3
Si pas j'aime vraiment tes vidéos .,3
Stp,5
Salut Fabien j’aimerais ça que tu fasses un casse-tête les yeux bandés,5
"Les lettres du casse tête sont les lettres grecs , cette année en troisième j'ai fait du grec ducoup bah je connais un peu l'alphabet grec donc voilà , j'ai pas fini de regarder la vidéo mais comme toutes les vidéos de Fabien et Loïc , je suis sûre qu'elle est très cool 😊❤️",5
"très beau casse tête, merci pour ces super vidéo à toutes l'équipes.",5
Bonjour! J'ai un petit casse tête en bois qui est dans ma famille depuis des dixaines d'années mais personne n'arrive a le résoudre,5
Peut on l'envoyer à Fabien pour qu'il le résolve?,3
Merci d'avance pour vos retours !!,5
"Chiche ton prochain livre audio tu le commences par ""Bonjour, je suis Nicolas Sarkozy et j'ai le grand plaisir de lire <ton livre ici> pour Audible"" ? (après tu lis avec ta propre voix à toi qu'on aime bien)",1
Merci,5
"I wish I had learned how to speak French, when I was young!",4
"I hope to make the trip across the pond some day, for a visit!",4
Les symboles que tu vois ce sont des lettres grecques 🙈,3
Il faut que tu teste les casses têtes de GIFI!,3
une petite compil des casses tetes ouvert en 15secondes? X),2
Très jolie casse tête. Et si vous avez les rush des casse tête rapide faudrait faire des compiles avec plusieurs casse tête que tu ouvres en 30 secondes 😄🤣,1
Bonh c'est une très bonne vidéo,5
Fabien Post-it master est en vacances?,3
"Fabien, n'arrête jamais les casses tête",1
"Non, jure, il a pas reconnu le beta de l'alphabet grec ???",1
"""3 bateaux comme même"" ?",1
😬,5
1:15,1
0:44 Meilleure pub ever,5
"Au final, il suffit de faire un casse-tête où il faut réconscillier l'alphabet grec et latin pour complètement perdre Fabien vu sa connaissance du premier.",3
Jamais plus je n'oublierai les noms des 3 bateaux de Christophe. 🤣,1
La vision de Fabien dans un cercle en haut à gauche est plus agréable dans la vidéo c’est une bonne idée,3
nouveau sur la chaîne ! très content 😊 et accessoirement commentaires numéro 100 😁,5
Ou alors prendre un bout de papier et noter les combinaisons,3
Je dirais même casse tête cubiquement mené !,1
La petite compil' des résolutions en 1sec12 ferait extrêmement plaisir,5
Les lettres bizarres ce sont des lettres grecques a l'envers,2
Coucou Fabien est-ce que tu vas m’être en vente t’on livre CEREBRUM en version broche ?,1
Ça serait cool que tu fasses une vidéo compilation des famaux casse tête que tu a ouvert très rapidement ( si tu a encore les rush 😬),3
alpha beta gama teta sigma .....,5
c'est l'aphabet grec à l'envers (ou bien tu tient la boite a l'envers),2
2400 euros bon ba on va ce contentée de regardé la vidéo hein,5
Les lettres c’est des lettres grecques,3
Difficulté pour daltonien : 100/100 (en gros impossible quoi),2
"Difficulté: 2/5, les manipulations sont triviaux dès qu'on remarque qu'on doit aligner chaque alphabet grec avec sa couleur, et c'est évident de remarquer ça.",2
"Mais vidéo amusante mdr, surtout quand Fabien était entrain de découvrir les alphabet grec de sa manière",3
Siper video comme dhabitude,5
J'aimerais bien retrouver une vidéo thread elle étant incroyable 🙏☺️☺️☺️,5
Putain mais il est trop fort Christophe Colomb,3
"Fabien, tu m'as tué à ne pas (re)connaitre les lettres grecques XD",1
"""en bonne et difforme""",5
nan en vrais il était pas dure celui là. Mais il est beau et niveau ingénierie il est cali !,2
"En faite, je pense pas que les casses têtes soit très simple, je pense juste que c'est devenu un génie des casses têtes",3
"Aïe, ça fait mal qu'il ne sache pas que ce sont des lettres grecques à l'envers",3
"Les lettres grecques bon sang 😂 pas des u, ...",1
Top cette vidéo casse tête 🔥🔥✌️,5
En vrai faites une compilation des classes-tête faits en 1 seconde ça peut être drôle !,5
Oh mais que de fous rire lors du jeu avec Loïc et effectivement les boobs avec des jambes iconiques les descriptions. 😂,3
