Comment,Number
"Bonjour,Je m'étonne et m'agace toujours quand les influenceurs mettent en avant l'argument des VPN de contournement de la chronologie des médias. En France, si le cinéma se porte si bien par rapport au reste du monde, c'est grâce à cette chronologie. De plus c'est illégal... comme le piratage, c'est facile, c'est possible, mais c'est du vol et illégal.",3
Laisser les bras tendu pour se fatiguer au minimum,3
ce n’est pas plus tu montes plus les prises sont difficiles d’accès,1
bonjour moi je m'apelle Laura et dans mon collège on peut faire de l'escalade et moi j'en fait c'est que je suis un peu conne j'ai le vertige mais en vrais sa passe j'y arrive. apart sa je vous adore et j'adore vos vidéos,3
L'escalade c'est ma viiiiiiiiiiiiiiie           Sinon Pierre t'es génial continue comme ça 💙,4
"Elle m'a soûler cette vidéo, tu prends aucun plaisir à la regarder avec leur pub à chaque monter",1
"On sais ce que c'est north vpn à force, pas besoin de l'expliquer 😂😂",5
j'aime bien pierre croce,4
mais la pas terrible,3
Quelqu'un aurait la musique d'outro svp ?,1
Super vidéo bon quand on fait de l escalde le mur est beaucoup plus simple,4
Comme dabitude génial 👏👏🤣,5
"morgan qui gagne alors que c'est le seul à n'avoir eu aucune pause et qui était tétanisé de peur dès le début, bravo !!",5
"C'est quoi ""anus""? Vous l'avez dit peut-etre 2987 fois! 👩‍🦲",2
anthony est vraiment drole,2
"Super énervant , ils crient tt le temps :'(",5
Nord VPN ils sont toujours en mode solde à -70% j’ai jms vu qu’ils facturaient le prix global ... que ce soit avec ou sans code de réduction !? Qqn peux expliquer ?,2
Et bien j'aurais jamais parié sur Morgan 😉😁,4
A 1:12 regardez le pantalon mdr,1
trop cool cette année,5
Bravo  à morgan,5
Mais en vrai les cadreurs sont incroyables ! Ils sont embarqués dans des trucs avec vous,3
C'est tellement drôle ce genre de format et franchement ramène plus souvent anthony lastella sur ta chaîne car il est troooop drôle 😁,5
Je fais de  l'escalade mon niveau est le 6a,5
Dommage qu'elle soit gâché par la pub vpn au bout de 5min obligé de quitté..,2
Il mérite pas de gagner...,2
La pub vpn tue la vidéo je trouve….,1
Vidéo top rentabilité pour Nord VPN 🤣🤣🤣. Défi bien pensé !,5
Non y a pas que les bacs L qui font de l’escalade 😠 on est plein en fac de biologie à en faire d’abord !!,3
Morgan VS stop trash tallk l'escalade ptdr,1
Gag,4
g pas compris la vidéo,1
Est-ce @vincentgrimpe qui assure Pierre?,3
Morgan qui gagne alors que c etait le premier a vouloir abandonner 😂💟,4
Trop de nord vpn tue la vidéo,1
.....,3
est ce que si tu pars en voyage en amoureux c’est une escale à deux ?,3
Le cou des assureurs en susu,4
Pour Pierre vous pouvez faire rester le plus longtemps sur un escalator en marche ça peut être trop sinon continue comme t'es incroyable,3
3:54 Benjamin qui cite du spiderman oklm 😭😭,5
Je passe mon bac d escalade se matin 😂,5
je suis grave contente pour Morgan 1er degrès mdrrrr il mérite,5
"Rhooo 😆 la dream team à la salle de Pantin, on aurait pu se croiser 😁",4
Si t'avais rajouter une somme d'argent à la fin du titre la vidéo aurait explosé,2
"Dès l'intro  j'en pouvais plus ""1-0 pour l'équipe de France"" 😂😂",3
Mais on peut dire que Anthony a perdu pas gourmanprise,3
Je suis sur que pierre prepare une transformation physique!,5
"Si vous aimez l'escalade, je vous conseille vraiment le reportage ""The alpinist"". C'est à couper le souffle",4
En vrai Netflix bloque toutes les IP de servers VPN donc même pas tu arrives à la page d’accueil...,1
Je fais de l escalade,5
Tu peu refaire une vidéo dans un manoir hanté,3
Jai la même peluche mais pas le même poid je crois,2
J'ai l'impression que vous avez déjà oublié ce que Pierre croce a fait...,3
"J'ai fais un bac L et j'ai fais de l'escalade, je me sens blessée dans mon égo Morgan...",2
J'ai sué pendant toute la vidéo tellement que l'escalade me fout la trouille 😂,1
abusé la pub de partout c'est beaucoup trop lourd,2
Un super moment …. Merci !!!!,5
fils dep,5
"Les assureurs qui assurent sec tout le long, réduisant ainsi largement l'effort sur les bras... C'est d'ailleurs ce qui explique que Morgan ait gagné car cela aurait été surement été le premier à lâcher sans le soutien de l'assureur.",4
trop de nord vpn la c'est chaud on dirait un téléachat,1
Le plus grand Défi: c'est ne pas avoir le Vertige !,5
Salut a tous la vidéo est trop bien ❤️❤️❤️,5
concept super mais tu gache tt avec tes placement de produit tt les 15 secondes c'est la pire manière de me gaver de la video fais le simplement au début stp,1
C'est moi où Anthony est très souvent assis dans son baudrier ? 🤣,3
On veut une vidéo avec Kate !!!,5
A 9.40 qui a compris la blague sur Kaaris je bloque dessus mdr,1
Y a Léna et Seb qui rigolent bien devant cette vidéo XD,5
Je vous en supplie régler les micros correctement ou il faudrait arrêter de gueuler dans les micros ça gâche la qualité de la vidéo c’est dommage…,2
Trop bonne vidéo ! Mais jpp de Nord VPN,5
Une pensée pour le(s) caméraman(s) qui sont monté(s) tt en haut avec eux 😉,5
Merci 😊,5
Je suis fière de Morgan il a pas lâché prise,5
"Le ""Après on joue Benjamin"" de Morgan jsp pk mais j'ai ris pdts 5min mdrrr",3
Morgan vs qui casse l'ambiance,2
Prochain challenge de l’équipe et de Pierre :,5
-Le Squid Game Challenge,4
Je me languis 🙏😇🤩,2
Là c'est même plus une vidéo sponso.,1
C'est une pub de 19min :/,5
J'ai une blague pour toi quel et le meilleur basketteur qui retient  sais le son  sais tonie ( pas coeur),1
"Je déteste le concept de parler du sponsor toute la video et d’essayer de l’intégrer au jeux , si tu veux te faire sponsoriser je comprends mais met le au debut de video pour que nous on puisse le passer si ca ne nous intéresse pas surtout nord vpn tu dois être le 1000 ieme youtubeur a te faire sponsoriser la video c’est bon on a compris a quoi ca servait,  on se fais bourré le crane toute la journée par les pubs on lance une video on a deux pubs en debut une au milieu et en plus on t’entends parler de  nord vpn toute la video",2
Personne n’a réussi à escalader le petit mur d’escalade dans la vidéo de la maison et ils essaient celui là!😅😅,1
Peter Parkrosse,4
Je vous adore,5
Chaque fois qu'ils bougaient la main ct une prise de risque,1
GG au gagnant ! T'es trop fort,1
