Comment,Number
"Ici on remercie NordVPN 👉 https://nordvpn.com/vilebrequin qui jusqu'au 2 mai 2023, pour toute souscription à l’abonnement 2 ans, vous donne la chance de remporter une Tesla modèle Y + 4 mois supplémentaires gratuits.",1
- LA BILLETERIE du Merguez Tuning Show 👉https://sites.weezevent.com/mergueztuningshow/,3
- La billetterie pour les participants de la cagnotte 👉 https://sites.weezevent.com/mergueztuningshow-preinscrits/,4
Et surtout merci à TOUTES et TOUS pour votre fidélité ( et votre connerie ) ça nous permet des projets fous comme celui la.,5
"faudrai que quelqu'un m'explique pourquoi s'encombrer d'une marche arrière , caméra de recul , etc , sur une VOITURE DE COURSE ?",3
Putain ce gâchis parmentier 😭,5
Rend le multipla Sylvain 🥹 steuplé,5
"il ont quand même battue le record de vitesse de Lamborghini, Ferrari, Paganie et Aston martine soit plus de 370km/h",5
Sylvain le multipla tu la fourave compère,5
C'est triste de voir ce qu'est devenue ce projet et votre amitié.... Comme quoi il faut profité  de chaque jour car on ne sait pas de quoi demain sera fait...,5
12:20,1
Qui aurait cru que ça finirait comme ça …,3
Rip,1
"c la fin du multiplat triste surtout pour les loulous qui ont investis ,sylvain a trahi sa commu et a enlever le covering",5
Et depuis Sylvain a fait installer l’option couteau dans le dos dans le multipla en plus de la peinture blanche….,5
L'algorithme de youtube est quand même vachement drôle,2
Merci Pierre ❤,5
Merci Pierre ❤,5
34:12 c’est vraiment bête d’avoir tout gâché,5
Ceux qui revoient ce moment après la vidéo de notre pierrot vous aussi vous avez pleurais,5
Y’en a un qui a le don de briser des rêves,5
Elle était mieux en rouge hein,2
Sylvain rend le multiplat!!!!!!!!!!!,5
Vous parlez trop!!!,5
Vous êtes statelliser,5
"Quand  ous dites que vous avez plus d'un million, c'est vous qui l'avez sur vous où un compte appart?",1
Magnifique projet!,5
En revanche le language racaille fait vraiment de la peine à notre magnifique langue Française!,4
"J'ai like votre video par contre gros loose de votre part pour nord vpn. C'est une arnaque monumentale, c'est prendre ses abonnés pour des pigeons. Croyez-le moi ou pas je suis expert en sécurité IT depuis 12 ans et je vous confirme que ces VPN sont une grosse arnaque.",3
Alors pour info il y a meme un jeux qui s’appelle car dealership tycoon roblox ils vous ont fait une Fiat 1000 typla 😂,1
J'ai retenue un truc  les vérin du coffre sont d'origine .,2
alors je viens de reregarder la vidéo je sais pas pourquoi j' ai eu encore des larmes mais je crois que c' est juste cette passion,3
En regardant la vidéo j'ai moi aussi envie d'appuyer sur la pédale de droite,4
"J'attend et j'y croit de le revoir rouler, MTS me manque.",3
this car is finally added to the Roblox game called: Car Dealership Tycoon,5
Faîtes un multipla de groupe B😂😂😂,5
Faite les 24h du mans avec😂😂😂,5
j'aimerais top qu'il y ai le 1000tipla dans gran turismo 7 ou forza motorsport,5
Deja 1 ans 😢 et 3 j,1
La meilleure publicité possible pour un atelier de préparation.,5
vous le verrez dans beaucoup d'autres videos ! ... non !,5
il a eut une carriere aussi  FMR que l'Espace F1! 😂😂😂,5
Comment on peux arrêter une chaine qui marche a mort et avec un tel engin dans les mains ? 🤷‍♂️🤷‍♂️,1
J'aurais tellement aimé que vous le montriez à Jean Mario 😢,5
Pub de merde ⚡ mettez la où je pense 💥,1
28:18 pierre pleure ?,1
"Je ne vous ai découvert que très récemment mais j'ai déjà visionné une bonne partie des vidéos, incroyable cette voiture que vous nous proposez merci pour tout",5
""" Ils ont créé l'enfant Jésus. Rouge avec un  aileron. Et il hurle si fort "" 🎉 😅😅😅",5
niveau aérodynamisme c est juste au dessus de la lada mais c est marrant a voir merci,3
Le multidrift du qgdt est sortie 🎉,5
Alors c'est pas possible de la mêtre sur gran turismo serieux ? Vilebrequin est fini pour le moment mais je veux le 1000tipla sur gran turismo,2
27:33 le superchargeur 😍😍😍,5
Ceux qui sont là par nostalgie 🫡👇,5
Oui sa place est dans le plus jolies des musés la plus belle création . ❤,5
Merci en tout cas. J'adore vos vidéo. Ça fait rêver. Et merci à votre duo tellement sincère,5
nice car bro !,5
J'ai kiffé cette vidéo !!! J'ai adoré de voir les émotions chez chacun de vous et on voit clairement l'amitié indestructible.,5
Bravo à vous,5
Ils ont vraiment demandé à Macron ou c'est un montage ?😂,1
Mais je le veut sur BeamNG celui la!!!!,3
Belle vidéo mes le molgrab avec le skate sa 😢😅,4
Magnifique félicitations +🎉,5
Lol les soudures,3
il est rouge et blanc l'engin suffit de l'utiliser pour faire une pub pour les services médicaux et leur rapidité et à coté petite pointe sur le périph dans une video,4
Moi je vous propose vous l'habiller en lgbt...,5
Le 1000tipla est le faucon millénium.,5
on veut le voir sur le nurb,4
Pour la valorisation....pourquoi ne pas utiliser le 1000tipla afin de promouvoir les carburants synthétiques renouvelables?,3
tester le au nurburgring!!!!,5
Tu rajoutes deux ailes et ca décolle cest sur xD,2
"Ce monstre, quel plaisir à entendre et voir même en vidéo. Une dinguerie votre projet",5
M. P.CHABRIER  comment on peut on être ADOSSÉE sur une bouteille de N.O.S. 🫢🤔??? Deso pour la vanne pourrie mais faudrais peut être faire tourné un peu le cailloux la haut !!!! 🤣 ps merci pour votre travail changer rien vous êtes géniaux !!!!❤,4
quelle belle auto !,5
"Bravo à vous mais attention, c’est un cercueil roulant 😱",3
400 000 € c'est 50 000 de plus que ce que Fiat a dépensé en R&D pour concevoir le Multipla.,5
"Au bout de 9 minutes tu comprend qu'ils ne savent pas de quoi ils parlent, et la récup de tva c'est fais pour les chiens ?",1
Encore une fois ça veut surfer sur les donts et ça prend les gens qui donnent pour des pigeons.,5
Moi j'ai une suggestion: inviter Michelle Mouton pour essayer le 1000tipla :),4
"Merci déjà de nouveau,",5
Mais imaginez s’il y a un GP 3 que le multiplat soit présent 😳 ce serait iconic,3
28:25 c cadeau,5
Pov moi qui passe d’une golf à une ferrari 😂,5
Énorme video !,5
"Je suis absolument pas voiture. Mais vous deux, vous me mettez dedans fort! Je pleure avec vous je suis joie pour vous bordel vous êtes si passionné je suis en admiration",1
"Bravo les loulous, c'est exceptionnel. Le travail paye si bien, c'est merveilleux ! Votre proto est top, et diablement efficace pour un premier roulage. MAGNIFIQUE",5
20 minute d'intro pour juste entendre le moteur cest grave faut arreter,1
vous pouvez le dodanne a 300km/h xD,5
Comment ça que sur les roues arrière ?,3
Sur le banc les 4 roues tournaient non ?,1
Juste énorme,5
"Moi je dis que quand on commence à avoir des commentaires, entre autre, d astronogeek  (que je salut au passage)on commence à avoir de la BONNE notoriété.",3
"En tout cas merci à vous deux et à toute l'équipe, et je suis très content que vous puissiez avoir ,après moult galères, enfin un métier de cœur et de passion.",5
