Comment,Number
"Petite coquille de la ""farce contrôlée"" dans ce beau poème si jamais mais belle vidéo !",4
"Très intéressant, je ne savais pas pour l’affaire des jeux de 36…",4
une rue à montréal qui se nomme comme lui mdr,5
"""Plus vite, plus haut, plus fort, totalement inspiré d'un ami de longue date... Olivier Mine""",5
*Et vous savez ce qui n'a pas de face caché ? Nord vpn,1
Pov:micode -I disagree,3
"""Un homme de son époque"" certes mais ça n'excuse pas tout! (je fais référence aux réponses des commentaires). Les gens n'ont pas attendus 2024 pour être féministe, républicain et anti-raciste : c'est juste pas l'Histoire qui est raconté à l'école. A l'époque déjà, il y avait des gens qui allaient à l'encontre de la doxa, Alice Milliat comme mentionné par exemple, ils n'étaient pas plus visionnaire jadis que les gens qui défendent les droits humains aujourd'hui. C'est un peu facile de foutre le vieux papy Coubertin dans la case ""réac mais c'est pas sa faute, c'était l'époque"", les politiques ont bien eu raison de ne pas le célébrer. Leur seul tort a été de rester dans le flou (m'enfin il faut se lever tôt pour obtenir de la transparence de leur part de toute manière --'). Il n'aura de nom et de mémoire que la fondation du CIO et c'est bien suffisant. S'il avait voulu être célébré autrement après sa mort, il n'avait qu'à briller humainement de son vivant.",3
Belle découverte cette chaîne !!!,5
nord VPN. voleur.,5
Tu dégages,1
ALICE MILLAT MENTIONED 👏👏💪,4
"T’es génial mec sache le ! Continue tu nous régales,",5
partager un savoir avec une manière simple et humilité,5
MERCI !,5
Un peu claqué le poème de coubertin non ?,3
6:10 Wait j'ai tilté mais Jean-Baptiste Guégan c'est pas le mec qui a la voix de Johnny Hallyday ? 😅,3
Les bien-pensants d'aujourd'hui seront  considérés comme des autoritaires demain.,5
7:50 Les cinq Zanos? Les Cinzanos (tchin tchin 🎶🥂)? Les seins xanos 🌖🌖? Ahhh! J'y suis! Les saints canaux! 😇,1
Et dire que son arrière petit neveu est mon patron 😅,5
c'est fou de se dire que c'est probablement un des plus grands architectes de l'anti-intelectualisme :O,5
