Comment,Number
Du coup c cool de faire de la pub pour vpn c nickel pour les pervers,5
pauvres souries,1
Si un jour vous vous faites empoisonner buvez un seau de lait 🗿,1
"Il faut souffrir pour être belle ou beau , bande d'idiot. Ils veulent sauver l'humanité, mais fabriquent des bombes pour l'a détruire. Chercher l'erreur !..",2
"Ils l'ont pas testé sur l'homme, mais ils fabriquent tout de même des bombes qui peuvent détruire toutes Vies sur terre",4
"Bonbons, sucettes et barba à papa.",5
J en ai mangé de l huile de ricin. Je ne suis pas morte,2
Merci pour cette vidéo le poisson qui le poisson ballon il trouve ça très spécial moi je ne ferai jamais injecter de l'acide botulique😅😅,5
se sont des bacterie du foie  qui fabrique le poisson  wtf,1
J’aime ce contenue mais Voyez vous la dl50 est nécessaire si vous voulez avoir des médicaments sur pour l’usage humain merci au revoir 👋,3
"cette semaine en algerie, deux cas, de botulisme, a cause d'une marque de boite de ton maratun, dont un lot est contaminé",1
Ce serait cool une vidéo sur les produits de coupe qu'il y a dans les drogues et leurs effet,4
DL44,3
Jai aite sauvrer pa uprrofesenur e ndomie sianure.apeetitedose.n😮,1
NordVPN poison numéro 1,5
Les soviétiques avaient inventé un des pires poisons artificiels : le novitchok,1
"Tu n'as pas parlé des agents Novitchok, qui en plus d'être bien vénères ont des caractéristiques qui les rendent difficile à détecter et dont les infections sont aussi mystérieuses que compliquées à traiter. Moins dangereux mais tout à fait atroces, les vésicants utilisés pendant les guerres mondiales, lewisite, ypérite (gaz moutarde), etc.",2
"Moi dans les poisons,je suis ecolo: aconit,digitale,baie d'if,amanite phalloïdeetcetc.Merci pour cet enseignement.",5
Tik Tok. C'est tik tok le poison le plus puissant. Ce truc ramolit ton cerveau en 2 spi et tu deviens un mort vivant débile. Ca fait flipper,3
Je vais manger des insectes maintenant,5
Moi perso c'est l'agent novytchok je sais plus comment ça s'écrit mais c'est vener,1
Le botox?? Il,1
Y’a du poison dans l’acide hyluraunique waw,1
J’ai lu « les pires poissons » 💀,1
Comme j'suis connectée à un V PN maintenant :,5
"_serveur, un JB coke svp. Thanks_",5
Bisous Loulous 🥰,2
"IC 🖖  ~ Coucou chouchou 👋. Elle sont un peu cheloues tes manches léopard mais sinon, j'suis très contente de réentendre ta voix 😘 ~",3
Merci pour ces infos,5
Il y a une vidéo sur Youtube qui s'appelle 7 molécules les plus dangereuses... Pas mal non plus,3
Arrêtes un peu avec tes placement de produit qui durent une plombe,2
le premier poison c'est pas le truc de breaking bad??,1
Ça te va bien la barbe,4
Il manque plus que la chemise à carreaux rouge et noir et aller couper du bois pour l'hiver tabarnak,2
"Salut Doc,",5
Quel est ton Doctorat ? Ou tes doctorats ?,3
