Comment,Number
J'espère vraiment que vous allez kiffer cette vidéo les amis !,5
Merci pour votre soutien et la force que vous m'avez donné pour arriver jusqu'ici. Vous êtes les meilleurs ❤,5
"Si vous deviez liker ou partager une seule vidéo de cette chaîne, c'est bien celle-ci 💪",4
Et merci aussi à NordVPN qui soutien la chaîne depuis tant d'épisodes. N'hésitez pas à aller l'essayer si vous ne l'avez jamais fait : https://nordvpn.com/math (satisfait ou remboursé pendant les 30 premiers jours).,5
"ce sera la première fois de ma vie que je poste un com pour m'adresser à un youtuber.... first, bravo, tes vidéos sont hilarentes et je prends plaisir à chaque fois.... J'avoue garder espoir de te faire rire si nos chemins venaient à se croiser dans bxl..... J'admire sincèrement ton parcours et ton humour, tu as su prendre les choses en main(sans mauvais jeu de mots;-)))    force à toi et bonnes fêtes.     j'ajouterais que je serait heureux de te rencontrer, je serais fiere de pouvoir te compter dans mon entourage. je te souhaite le meilleur.      je me rend compte que tu pourrais mal interprèter, juste ami hein, je joue pas avec les concombre, comme ca pas de doute, deso, j prefere etre sur.......... :-)))))))) mais j peu mettre une jupe si ca te dis;-)))))))))))))))))))",5
"Je te suis depuis … attend je compte … ah bas je crois 10 ans ! Et bon sang cette vidéo je me demandais où tu allais, mais bravo c’était beau ❤ et on repart pour 10 ans 😂",5
Ou est Brad Pitt,5
Longue vie !!!!,5
"Merci Math et l'équipe pour votre travail exceptionnel, génial la scène du parrain !!",5
C’est pas la voix de john wick ?? Mdrrr j’ai l’impression,1
"Première fois de toute ma vie que je commente une vidéo youtube, Math, Merci🫶 C'est peut-être un peu cucu de dire ça mais tu m'as vraiment fait rire dans des moments très compliqué pour moi. Un humour et une sincérité comme ils n'en existent très peu, Bravo🎉",5
ah un monent il resenble a  hitler,5
il est ou brad,3
"J'ai beaucoup aimé le montage, très bien faite cette vidéo 👏🏼👏🏼",5
❤,5
J'avoue que je n'ai pas tout compris mais c'était une très belle vidéo <3,3
🥲,5
"Bellisimo, mozarela galbani de la machina",5
3:57 je m'attendais a un méga pet!😂,3
Continue comme ça math t'es le meilleur tu es adorable et formidable 😂😂😂,5
J'ai rien compris à ce qu'il se passait... Mais c'était beau,3
Du génie !,5
"La production est belle, le son est propre. C’est vrai que le rythme ne m’a pas transporté, mais en tout cas les images étaient super.",4
"Le problème qu’il y a (En tout cas je l’ai ressenti personnellement) c’est que tu mettes en titre ""Feat Brad pitt"" alors que c’est la voix française que tu as eu en guest (ce qui est fou, soit dit en passant en plus de Donald Reignoux) mais j’ai ressenti un aspect déceptif je pense car si tu n’avais pas mis ce feat dans ton titre j’aurais trouvé ça fou. Le souci c’est qu’il n’y a pas Brad Pitt dans ta vidéo il y a la voix française de Brad Pitt ! Cette nuance et dommage car super taff autrement !",2
Tu es super continue tes vidéos !,5
"J’ai kiffé ton jeu d’acteur, la qualité du mini film et la voix off juste magique et immersive de ouf ! Tu m’as fait pensé à Jean Dujardin. Du coup comme j’ai tout kiffé de A à Z j’ai juste une attente un remake ou un film complet ? En tout cas bravo 🎉",5
"Sa fait super plaisir ce feat avec Jean-Pierre Mickaël, et d'ailleurs cette voix dans la tête qui te parle avec ce doubleur de talent ça me rappelle Keanu Reeves dans cyberpunk 2077 ❤️",5
Salut math j'ai vue toute tes vidéo je suis fan,5
"La scène de Vito comment elle fume, le regard le langage corporelle la voix sans oublié décors costumes coiffures photographie les plans large ou vous êtes face à face crédibilité vraiment la scène même la scène avec la petite tape sur la tête qui crédibilise encore plus, digne des cadrages de Legend avec Hardy",5
Il y a même des Haïtiens dans ta communauté math😊❤ puisque j'en suis un......merci d'avoir penser à nous,5
Et notre chocolat dans tout ça ?!,5
WOW c la voix de johnny silverhand,5
🙌🏻🙌🏻🙌🏻,5
"Merci Math ! Bravo pour la 200e et belle continuation, on sera toujours là !",5
"Magnifique 200e épisode ! Merci beaucoup, tu nous gâte !",5
Merci Math❤,5
Tkt pas on est là,1
On ne peut mettre qu'un like dommage,3
C'était génial ! Bravo !! 😁😁👏👏,5
Fiere de suivre un génie ds son domaine comme toi tu es juste admirant,5
7:25 MDR de la part d'un mec qui est la version française d'un autre. 😂,1
