Comment,Number
Merci à NordVPN d’avoir sponsorisé cette vidéo ! 4 mois d’abonnements supplémentaires sur les abonnements NordVPN de 2 ans. Satisfait ou remboursé pendant 30 jours ! Offre uniquement dispo via le lien https://nordvpn.com/drnozman,5
"Dans une société malheureuse, on n'est jamais à court d'idées et on cherche tous les moyens pour s'évader et s'amuser 😑🤦🏾‍♀️",5
Salut une idee me vient pourquoi ne pas faire video sur dautre adiction moin connu comme le coca la monster ou meme le sexe ...,1
Et ses potentiels effets sur la santé,5
Ça fait peur de savoir que des gamin peuvent prendre ça,3
"Non mais enfaite c’est une drogue à partir du moment où des gens sont assez teube pour en abuse, comme l’alcool, le sucre ext.. mais c’est pas avec 1-2 ballons par an que ça va changer la face du monde",3
"A ce point là , se prendre des produits dopant c’est mieux 8:41",3
Écologiquement toutes ces capsules sont une catastrophe... En Croatie il y en a pleins dans l'eau autour des clubs touristique... Honteux et ignoble...,1
ta vidéo devrait être diffusée dans les écoles et lors des réunions de parents d'élèves,4
Il a maxer,3
Tu peux faire l’ecstasy/mdma,5
"T'es un peu en retard bg, c'est plu nouveau le proto",3
D'ailleurs c'est simple pour savoir si quelque chose est nouveau il suffit de regarder si l'état est zu courant et a pris des mesures contre,3
Si oui : c'est plu nouveau,3
Si non : bravo c'est nouveau ca viens d'arriver et personne sait ce que c'est,5
Point bonus : si un youtubeur en parle : c'est deja hasbeen,3
"Pour rigoler il y a des choses légales, ou d'autres moins dangereuses et non adictives comme les champis.",3
Parle de la 3mmc que tout le monde tape sans savoir ce qu’il y a dedans,5
Bravo @DrNozman 🙏,5
"Merci d'avoir fait cette vidéo, je dois en ramasser au moins une 10zaine par semaine dans mon travail.",1
OMG j'ai vu des bombonnes comme ça dans la rue mais je pensais que c'était un truc anti rats ou autre...,2
Nouvelle drogue 🤣,5
Merci pour l’info,5
Ce qui est dommage c’est que les gens qui regardent cette vidéo n’ont jamais pensé à prendre de ce gaz,3
"j'avais un collègue qui avait un bon job bien payé (du genre je paye déjà pas mal d'impots) qui est devenu tétraplégique (les neurones de controle du bas du corps ont été grillés) et en plus il n'a pas su s'arrêter et il a continué et ça a foiré sa vie, maintenant il doit être SDF (aux dernières news) ou mort...",5
"""nouvelle drogue ?"" J'ai essayé ça en 2010.",1
Un jour ils vont se défoncer avec du w40 😅,2
« Nouvelle drogue » t’es en retard les gens sont déjà passer à la 3mmc et j’en passe,1
Ce qui est marc'est que l'etat laisse cela en vente sachant sa dangeureusité,3
Est ce que tu pourais faire une vidéo sur le canabis s'il te plaît ? Merci pour tes vidéos enrichissante 😊,3
La dopamine est l'hormone du plaisir et non du bonheur 😉,5
La sélection sera naturelle et sans conservateurs 😂,5
merci,5
"Merci pour cette vidéo d'utilité publique ! Je suis orthophoniste et je travaille en centre de rééducation. En l'espace de 3 mois, on a vu arriver 2 jeunes patients à cause du Protoxyde d'Azote. L'un était paralysé, l'autre avait de sérieux troubles cognitifs et la poursuite de ses études étaient compromises... Dans les deux cas, leur avenir a été chamboulé , je ne souhaite ça à personne...",5
Oh mais ça me rappelle . UNE CONNERIE D' ado .....,3
"Avec les copines on respirer le Gaz de nos Déodorants , a l'aide d'un tissu et puis on après on été littéralement morte de rire + une voie a l' hélium 😂😂😂😂. L'effet  dure 5 min même pas , pas d'effet secondaire physique direct mais je pense que les neurones sont en psl !",5
MDR,3
C'est dangereux je sais !   Mais TELLEMENT DE SENSATIONS c'est fou !,1
"il y a des produits qui ne devraient être utilisés et accessibles aux particuliers mais que par des industriels comme ça l'était auparavant. Pas besoin de faire de la chantilly sous pression chez soi ,, il y a des bombes chantilly déjà dans le commerce et sinon tu fais ta chantilly avec un batteur ,, point barre.",3
"les bombonnes bleues , j'en vois tous les jours dans mon quartier à côté des poubelles, sans compter celles qui sont dans les poubelles, donc beaucoup de consommateurs  !! je ne comprend pas ces gens qui se détruisent la santé.",5
"Merci d’en parler ! Les gens se rendent pas compte j’ai fais des ballons pendant presque 5 ans et aujourd’hui je regrette j’ai des moments d’absence cérébral difficulté à réfléchir par moment , certains souvenir effacer de ma mémoire , au tout début j’étais même incapable de retenir quoi que ce soit donc je notais tout , aujourd’hui y’a quand même une amélioration et j’espère que d’ici quelques années ça ira mieux car ici ça fais 2 ans j’ai stopper cette merde j’ai eu de la chance de ne pas être paralyser mais bon j’ai déjà l’impression la d’être dans le pire avec ses absences cérébral … je prenais de la vitamine b12 et ici je prend encore un complexe de vitamine B , je suis bien seulement quand mon cerveau fonctionne bien quand c’est pas le cas je me sens comme un légume donc si je peux donner un conseil ne toucher pas à cette merde et si vous avez toucher à cette merde arrêtez tant que vous avez encore la possibilité",5
thx,5
9:53 sans pression 💀😆,1
Nozman 8 ans de retard par rapport à la rue...,1
À Montpellier on en retrouve de partout de ces bonbonnes c’est une dinguerie… 😢,5
Les dessins qui illustrent sont incroyableeees!!!!!!!!,5
a quand la dmt,3
Et moi qui pensait que les gens s'étaient tous mis à l'airsoft😂,2
C'est pas nouveau en fait,1
C une vidéo de promotion ou de prévision ?!,3
Ça serait à diffuser dans les écoles ça...,3
"Merci pour cette vidéo, ça aidera peut être les jeunes à éviter c’est bêtises",5
Très intuitif !,5
"Ce qui me fait le plus peur, et c'est un sujet évoqué dans la vidéo... Ce sont le mec qui conduisent avec un ballon à la bouche. Peur et colère en fait...",5
Franchement connaissant les parasites qui avalent cette merde allez y vous manquerez juste a votre darone invertebrée,5
C’est quasiment le même effet que les solvants !,2
La vidéo est cool franchement tôt je trouve juste que le concept viens de poisson fécond non genre expliquer un truc interessant avec un montage d’un exemple sous forme de dessin ou d’animation,3
C’est plus un tuto qu’une dissuasion,1
"Eh ouais les golmons! Génération de faibles,crevez vous rendrez service à la planète 😂",1
La nitro pour les voitures c'est pas plutôt de l'oxyde nitreux de formule NO2 ?,3
"Le savoir c'est le pouvoir, face aux drogues également. A mon sens on peut consommer une drogue lorsque l'on en connait les effets, les risques et la manière de minimiser les conséquences de cette consommation pour la rendre la moins dangereuse ou grave possible, et bien plus de moyens devraient être mis dans l'éducation et le traitement des addictions plutôt que dans des baratins de ministres qui se contentent de dire que c'est de la merde en envoyant des flics courir partout comme des poulets sans tête dans des opérations de communications inutiles saufs pour faire plaisir à l'électorat conservateur... Un ensemble d'émissions d'utilité publique donc, merci et continue.",5
"""ces dernières années"" mec il y a 15 ans on faisait déjà ça tu faisais quoi au lycée",5
Hyper polluant,1
Nouvelle drogue XD,5
Comment peut-on les différencier de bonbonnes de CO2 utilisées entre autres pour l'airsoft?,3
la sélection naturelle,5
Les gars ils se droguent avec un truc qu'on fout dans les dragsters,2
Ohlala fo pété un coup et se décoincer le balais du troufignon bientôt on aura plus le droit de rien faire,1
"Sa serait genial de faire un episode ou d'ajouter dans les videos les ""drogues"" de parler des regles de reduction des risque et de fournire des resource web pour s'informer, poser des questions (trip sit, psychonautwiki ou encore le forum psychoactif) parler uniquement les mauvais effets c'est bien mais se n'est pas sa qui empeche les gens de consommer.",3
"Merci d'en parler, j'ai 25 ans et ado j'en ai bcp consommé, ajd j'ai un nerf abîmé dans le bras avec des symptômes à type de fourmillements, perte de force, etc. Je ne sais pas si c'est en lien mais ça peut. J'ai arrêté depuis longtemps et je ne recommande vraiment pas aux jeunes d'ajd. Quelque soit la drogue, il y a d'autres moyens de s'amuser. Petit message aux jeunes qui vont peut être lire mon message : ""Si vous vous ennuyez en soirée ou que vous vous sentez obligés de prendre ces drogues pour rentrer dans le groupe c'est que ce ne sont pas vos amis. Changez d'environnement et d'amis, ne vous bousillez pas la santé"".",2
"faudrait que tu fasses une vidéo sur la 3mmc : c'est une ""nouvelle substance psychoactive"" qui existe depuis peu de temps ou alors sur la désomorphine plus connue sous le nom de ""Krokodil""",2
A Quand le tramadol ?,3
"La grande question vu qu'on en voit trainer partout par terre de ces bonbonnes,",5
C'est : est ce la gaz qui les rend débiles au point qu'ils sont pas foutu de trouver une poubelle ou est ce qu'ils étaient déjà comme ça avant ?,2
"J'ai une boîte de 25 cartouches, j'ignorais garder de la drogue... Merci de m'en informer.",3
Et l'hélium ? Quels sont ses effets sur le corps humain ?,2
Merci pour cette vidéo très claire avec les animations !! Le sujet est top ! Il faut prévenir les jeunes qui ne réalisent pas les risquent qu'ils prennent.,5
Thank you,5
Le proto c’est vraiment une merde,1
Ce n est pas une nouvelle drogue. Ça fait plus de vingt ans que ça existe. Mais une piqûre de rappel est toujours bien venue.,1
Une vidéo sur les snus svp,4
10 minutes avec 2 minutes de publicité (sans compter les personnes sur youtube normal). Environ 20 a 30% de contenus rémunérés.. le youtube game Français devient 😳🥴🤢🤮,1
Prochaine vidéo le PTC,3
