Comment,Number
Un grand merci à NordVPN le sang qui nous permet de faire des sponsos à notre sauce ❤,5
Le lien 👉 https://nordvpn.com/vilebrequin pour accéder à notre offre exclusive ⚠ +1 mois supplémentaire GRATUIT ⚠,5
Essayez NordVPN sans risque : c'est satisfait ou remboursé pendant les 30 premiers jours !,5
Le père chabrinul 😂,5
"8:15 la petite 308 1,2 purtech derrière ahhhhh🤬🤬",1
La j'adore le vôtre logo ph sais pour enculer les voitures 😂😂😂,5
Vous êtes fous !!!,1
j'ai regardé cette video 4 fois juste pour le pere chabrier qui me fait trop rire,1
"@9:45 mais je m'en fout je vais dans le futur et je vois le résultat, puisque j'ai 10 ans de retard sur vos publications. donc tu ne peux pas me faire marroner là.",3
@2:55 mais ce sont des vrais commentaires ? ils ont fumé quoi dans le chat ? xD,3
edit : ah c'était une mise en scène vous n'êtes pas sur twitch : j'y avais cru !,1
A quand le 1000tipla sur need for speed !!!,3
"1:53 ""Le permis de Sylvain"" rejoint la paroisse",1
Je suis mort 🤣,1
"please avec ce milletipla je voudrais voir des vidéos drag race (contre une bugatti, ferrari, n'importe quoi tant que sa peut rouler)",5
Commentaire,3
"Un moment c'est plus un projet, c'est Need for Speed bordel XD",2
Cette vidéo est insolente !,1
Je me dois de la report pour mise en danger d'autrui.,1
C'est dit !,5
Vous êtes des ...,1
GRANDS,5
MALADES,1
!!!,5
Ça fait du bien ce genre de vidéo.,4
Ps: rip le siège,1
God damnit!,1
"Now, I have to learn French...",3
De retour bientôt.,3
Encore une vidéo sponso par une marque d'haricots rouges 🤦‍♂️,5
Oubliez pas d'ouvrir au moins une fenêtre les gars. 🤣,1
Le boulot investi dans les intros en +... C'est juste magnifique,5
3min15 avant le démarrage de la vidéo…,1
Hm hm 🤨🤔,3
Le multiplat sera en traction ou en propulsion ? car 1000cv en traction ça peut patiner même avec le TCS sur quelques mètres :D,3
Beau boulot les gars et surtout à WD AUTO! 👏🏻👏🏻,5
Je suis hypé DE OUF. !!!!,1
Y'a des 350z derrière elles sont magnifiques,5
A quand des vrais lives du pere chabrier,5
"ptdr comment ca Nevers, je pensais que personne ne connaissais ma ville",1
Vous êtes les meilleurs et ce projet est ouf !!! #1000tipla,5
On va retrouver le 1000tipla dans Forza et gran Turismo,5
mètre un klaxon de train ses trop drôles la réactions des gens,2
Ssssssatelisé,3
Faudra aller jusqu'au siège de fiat avec le 1000tipla pour leur montrer quand ce sera fini,3
une semaine de boulot pour faire une croix au porte 🤣🤣🤣🤣 ca se voit que vous avez jamais posé un arceau vous. il faut quoi 2 ou 3h.. à tous peter. en faisant les grujage et tous.,1
Je veux voir cette caisse sur un rallye 😂,5
12:31 sous la bâche on dirait pas une Lamborghini Veneno ?,1
1000tipla de villebrequin ou multipla drift du QGDT qui sera en piste en premier ? En vrai moi je dis qu'on va les voirs en même temps quelque part sur une piste,3
"Le look du Multipla est top, car unique, si vous enlevez tout pour y mettre du standard quel est l'intérêt de prendre le Multipla !? L'intérieur est vraiment typique, comme peut l'être les intérieurs des anciennes Citroën. Pour moi vous êtes en train de passer à côté du projet. Il aurait fallu garder le look extérieur et intérieur presque original et que l'on ne voit que très peu les modifs. Surement le fait que vous avez eu trop de budget et la frénésie d'acheter pour acheter et vous allez faire une addition d'objet sans ligne directrice.. Je pense que le designeur Japonais aura gardé l'esprit, car ils ont la finesse de comprendre, de faire du neuf tout en gardant les racines. Par contre l'intérieur va dépareiller.  A voir...",5
👍👍👍,5
Eeeeeennnnffffiiiiiiinnnnnnnnn vous êtes trop cool on l'attendait depuis tellement longtemps wow,5
"Vous imaginez au premier virage qu'elle fait, elle trace tout droit dans un buisson et elle prend feu? Le seum ? XD",1
C'est marrant le blasphème (non),1
Franchement bravo félicitations un super projet peut être SUPER long mais vraiment bravo d aller au bout depuis déjà 2 ans 😍✅✅✅ force à vous qu un maximum de vue arrive et vous donne l argent de continuer toute vos vidéos je suis absolument pas une passionné de voitures mais vos vidéos me font kiffer et des fois même me donne envie de voitures un peut sportive 🤣🤣🤣🤣 mais je vais rester avec mon 4x4 😛❤❤,5
17:33 le saviez-vous ? 1 096 111 correspond au montant récolté pour la cagnotte,1
Je vous adore merci de faire tout sa pour nous,5
Tellement hâte de la suite !,5
J’ai hâte de voir le résultat 🤩,5
C’est pas pour dire mais l’ingénierie des tubes… c’est intéressant 🤨 !,3
Qui leur dit qu'ils se sont fait arnaquer ? 😂,1
Anne Hidalgo en sueur devant ce projet 😂,5
Des nouvelles de la 1000tipla ?,3
faudra prévoir une prise ODB pour mettre un Powerbox et gagner des chevaux et du couple,3
Je pense qu'ils vont mourir en conduisant la multipla. C'est dommage elles étaient cool les vidéos,2
