Comment,Number
"💥 Merci à NordVPN pour le soutien à la chaîne, pour bénéficier de 4 mois offerts sur les abonnements de 2 ans c'est par ici : https://nordvpn.com/poissonfecond",5
Bien hormis ta pub qui casse les couilles,3
Quelle vie ce Gustave ! Une chouette vidéo. Juste une confusion entre comètes et étoiles filantes (météorites).,5
Rien de grave. Je continue d'explorer cette chaîne très sympa et instructive.,1
Merci Poisson Fécond.,5
2024 je te re re regarde encore encore et encore 🤣😂 Gustave,5
Tes avec tibo,5
J'aurais bien voulu savoir ce qui se serait passé s'il n'avait pas eu de parachute... 🤔,3
Eh Inox mate cette vidéo et écoute bien frérot,5
il va voir le roi de la montagne (qui a la ref)?,3
En fait lui c'est tout moi,5
"Je n'ai que 30 % de fonction respiratoire et je vis normalement.  Un pneumologue m'a dit que normalement je ne devrais pas pouvoir marcher mais mon docteur traitant m'a dit que mon corps s'est habitué : je marche beaucoup mais je ne cours pas, j'ai travaillé normalement, je crois que notre organisme peut s'adapter à beaucoup de chose.",2
Faut montrer cette vidéo à Inox,1
Quoicoubeh 😂,3
Faire un manège ( très puissant) : ça fait quoi ?,5
moi oui le record du monde de la connerie LOL,5
Gustave Pesquet,4
15 min en chute libre ? Eh seigneur,1
"Les gens rigole pour inox, mais les gars, ce n'est pas drôle, il a une chance de mourir...",2
6:19 tien tien made in Abyss,1
"Enfin le risque d'avalanche ou de ravin peut exister  au niveau 0, si a 0 est au niveau de la mer, la preuve a Bejaia un bout de montagne au bord de la mer en Algerie, donc le risque 0 existe pas",1
Quel courage ce Gustave !,5
"gu gus a une nouvelle coiffure, wahou",3
Super vidéo comme d'habitude!!,5
"j'ai une suggestion pour le prochain ""ça fait quoi"" avoir L'algie vasculaire de la face (Avf) c'est une maladie pas très connue, je pense que cela pourrait être interessant",3
Êtes inoxtag ça fais quoi ?,1
Les habitants de Valtho a 2400m en PLS,3
"Trop fort Gustave, gravir l’Everest en mocassins noire, même Chuck Norris ne l’avait pas fait.",2
Bah je savais pas qui fallait pas à avoir dasmthe donc c'était pas mon rêve mais l'altitude joublie,2
Nord VPN c’est nul Ça te protège pas 👎🏼🤮,1
"Par ""courbure de la Terre"" tu veux dire la circonférence du disque?",3
Le mont le plus haut c'est mon saint-vergeront,5
Pov: Inoxtag,1
Force Inox 😂,5
Inox en 2024 ! 😂,5
"tres bonne video, merci a toute l'equipe, un régal comme toujours meme si je le dis pas tout le temps",5
Super vidéo comme d'habitude.,5
"Petite correction tout de même : l'oxygène est autant présent à 0m qu'à 8000m, la composition de l'air est la même. Ce qui change, c'est la pression (partielle) de cette oxygène.",3
"En altitude, la pression diminue, et donc les échanges entre nos alvéoles et vaisseaux sanguins sont moins efficaces. Ce n'est donc pas dû à une baisse de la quantité d'oxygène que l'on s'essouffle mais à une baisse de pression.",2
j'aime bien tes vidéos,4
Bonne chance inoxtag,4
J'habite à Saint Vérand (38) mais du coup ce n'est pas de mon village que l'on parle 💔,3
Wai tu es un chef 🙏🙏🙏beau boulot. Soit salué depuis la ❤️❤️❤️ 🇨🇮🇨🇮🇨🇮,5
"""Je te trouve très audacieux, voir même un peu con de retirer tes lunettes"" je pleure",5
En Chine entrain de gravir l'Everest ?! Chris des gens vont te croire !,1
C'est au Népal l'Everest...,5
Mais super vidéo !,4
"Mon record d'altitude : 5416m au Népal, en 6 jours d'acclimatation progressifs. ça se fait plutôt bien si on est en bonne santé et si on dose bien ses efforts. Je confirme pour les insomnies ou rêves très bizarres au dessus de 4000 :D",5
le parachute qui résiste la chute a + de 1300km/h? 🤔,3
"Du coup, pourquoi pas une suite:",2
"tomber de différentes altitudes (jusqu'a 300 km), ca fait quoi?",2
Damn,1
Bravo gustave monter aussi 👌(moi qui n'aime pas  monter mes escaliers)😅,5
On peut pas se mettre en orbite à moins de 150 km,2
Sa fait feur,4
"En vrai, il faudrait donner une voix à Gustave, ça serait drôle xD",1
"Ouais, pour une des rares fois, Gustave a survécu ! xD",1
Trop cool toute les petite réf à djilsi 👌,5
Du sable dans les yeux.,1
Je confirme ça fait très mal.,1
"Soudée pendant 4h non stop, c'est horrible pour les yeux le soir.",1
Évidemment j'avais une cagoule.,3
Le mont Everest il est au Népal pas en chine !?,1
Perso j’ai déjà survécu à une chute libre de 41 100m sans combinaison ni parachute mais bon c’est pas une compétition,3
"mais ducoup avec le réchauffement climatique et la montée des eau le 0 de l'océan vas monter, Ducoup nous les humain allons devoir aller vivre plus haut cela veut dire que on vas devoir s'adapter en montants en altitudes ?",3
Mon fils de deux ans porte le nom de edgard.,5
J'ai toujours voulu avoir un fils avec se prenom et je l'ai 🥰,5
Le volcan Olympus s'élève à 22 milles metres d'altitude,3
Merci pour cette vidéo ! C'est fou de survivre à un saut de 40 000m !!!,5
"Pour ma part, lors d'un voyage en Bolivie, je suis montée jusqu'à un peu plus de 6000m et j'ai effectivement eu le mal des montagnes (pas loin du Salar d'Uyuni)... j'ai pris beaucoup de coca en thé et à mâcher directement. Ce sommet à 6000m reste l'une des plus belles expériences de ma vie :)",3
Ce petit poisson est originaire du Sri Lanka il aime l altitude puisque il puisque qu'il vie dans des lacs de colline ou de montagne,4
Ce n'est pas à St-Véran qu'a été tourné Belle et Sébastien ?,1
"nord vpn, ces forceurs jpp",5
Trop bien merci Chris on est a St Veran mon village !!!!!,5
Lancer avada kadavra sur voldemort ça fait quoi ?,5
Comment ils font pour survivre au choc de l'ouverture du parachute ? Ça devrait pas les démembrer ?,3
"hey j'ai découvert tes vidéos l'année dernière et je les adores, merci pour toutes les vidéo que tu fais elle sont toujours très intéressantes 😁",5
Union européenne ?  05:20 wtf?,1
Quoicoubeh,3
Il existe un reportage sur Ewa Wiśnierska il est super bien pour ceux que ça intéresse.,4
Début de la vidéo 2:17,1
Salut Chris ! Merci de parler ou de placer l’épilepsie de temps en temps 😊😢,5
"Es ce que les animaux a sang froid, pourrais résister dans l'espace sans combinaison",5
Ta déjà fait être miss France pendant 1ans maintenant être miss Univers ça fait quoi,5
"Joyeuse st-Valentin @gustavelecobaye , on t'aime 🩶",5
