Comment,Number
"Ah on est reparti hein ! C’était sûr qu’il allait tomber celui là, avec son petit sourire en coin là !",1
"N’hésitez pas à puncher le pouce bleu des familles vous connaissez. Et si vous n’avez toujours pas essayé NordVPN, vous pouvez en profiter ici : https://nordvpn.com/math (satisfait ou remboursé pendant les 30 premiers jours).",5
""" alors c'est sa l'effet secondaire du crack ? "" a math ton humour je m'en lasserai JAMAIS 😂",2
Je t'adore ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤par conte ta une calvisi,5
CHERIIIIII 😂😂😂😂  7:09,3
Jai hurlé de rire c'était énorme 😂😂,5
3:49 MDRRR LA PHOTO,1
"SMILE 2, STP",5
3:51 Je te jure c’était incroyable ton incrustation 😂,5
3:49 Ptdr je remarque un an après qu'il a incrusté sa tête sur un des portraits 🤣 Le génie du type quoi,3
a quand trap :O ?,3
"Qu'est ce que j'aime quand tu cales ta tronche dans les décors de film, petit easter egg 👍🤣",5
stpp fait oa saga de film halloween,4
"La reconstitution aurait aussi pu marché avec le démon qui a du retrouver le meme emballage  de cadeau et le remettre nikel. hop ni vu ni connu, car la c'etait pas une illusion",2
6:11 ça m'a explosé comme Robine 😭🤣,1
T’es un génie ptn 3:50,5
Qui a vu le 2,1
On dirait ma prof de physique chimie 😅😅😂😂,3
Salut c oim (je me suis renommé pour la blague mais c pas drôle),3
Quoi de mieux que de se mater cette masterclass juste avant d'aller voir le 2eme opus demain,5
j'ai pleurer de rire sur cette vidéo,1
Faut faire le 2ème opus maintenant 😁,3
Math nous attendions smile 2,3
SALUT CONTINU,5
Déçu de la fin de Smile 2 😭😭,2
Je m'attendais à mieux,3
"0:48 ""j aime les enf.. nan"" du génie 😂",5
"Belle photo de toi, sur le meuble d'entrée de chez rose 👌😜🤣🤣",4
La souillure a encore de beaux jours devant elle ✊🥳,5
La photo du cadre en avant plan à 3:49 ma tué X),1
Ha Bordel je suis un putain de clodo sdf alcoolique vivant prêt d'une Gare mais ça me fait toujours plaisir de regarder vos vidéos une fois mon gsm chargé bien sûr,5
09:08 j’ai hurlé de rire 😂😂😂😂😂😂,1
"la photo de toi dans la baraque de la meuf, c exeptionnel!!!!🤣🤣🤣🤣🤣🤣🤣🤣🤣",1
smile 2 est sortie entre temps tu conte le faire ou pas ?,3
"12:22 J'avoue, ce rire était tellement bizarre que j'ai cru que ça venait de Math X)",1
"On eut arrêter la vidéo à 3:49 pour constater les gouts artistique de la psychologue, en voyant le portrait sous le petit cadre au premier plan...ça montre peut-être, un peu, l'origine de ses méthodes 😋",3
(Vous croyez qu'elle est réelle la réaction associée à l'émoji à ce propos non?),2
Oh punaise 😭😹🤣 j'arrête pas de me repasser ce moment à 11:00 😭😭😭🤧🤧🤧,1
Le cadre avec sa tête dedans elle me tue 😂😂😂,1
3:49 Magnifique tableau Math,5
Le film fnaf stpppp 😢,5
"Jul a l'autotune ,math a l'autobaffe😅",5
La porte est fermée,1
Mais VOUS DEVEZ VOUS TAPER de ces barres en tournage à la maison !!!,3
Modérateur:,3
"-""Du CHOCOLAT""",3
Moi:,5
"-""ATTT,ta dit quoi LA!!""",1
Modérateur:,3
"-""DU CHOCOLAT!!""",1
"alez tu m'a acheté CASH,je like j'abonde,sacrée ambiance dans le dancefloor HERE!😂😂.",5
top,5
3:50 mais math tu fou quoi dans le film,3
Comment j'ai fait pour louper ce msf,1
"0:47 : ""j’aime les grands-mères, j’aime les grand pères, j’aime les enfa… non"" je suis plié en deux 😂😂😭",2
Maintenant j’ai peur des gens qui me sourient 😂,5
"J'ai vu ce film au cinéma, j'ai jamais eut autant de frissons d'angoisse devant un film d'horreur! Une ambiance bien glauque que j'ai kiffé en sortant de la salle au final! Mais truc de fou à quel point MATH arrive à annuler tout ce que j'ai ressenti et rendre ça drôle 😂👏",5
"Tu pourras faire ""Mirrors"",stp,Math?😁😁",3
C'est un peu action on vérité finalement,3
La vidéo et incroyable comme d'hab.,5
Mais je sais pas de quelle marque et ce pull mais il et magnifique,3
Je pense qu'on a tous remonté la vidéo à 2:38 parcequ'on avait mal vu ce lancé de fleur et zsurtout qu'on savait que ca allait nous faire rire lol 🤣,1
9:37 il a fallu que je revienne là-dessus plusieurs fois rien que pour rigoler 🤣,3
La tête de Math à 11min 05 j'ai pleuré de rire.😂,1
Sa physionomie faciale est une merveille d'imitation.,5
Mais dcp c'est qui qui à tué Moustache?,3
4:52 je suis MORT DE RIRE 😂😂😂,1
Est-ce qu'on est bien d'accord que c'est Math à 3:49 sur le cadre en premier plan?,3
petit pull blanc cassé col roulé et longs cheveux bruns quand même ça te va à merveille,2
Oh la barre de rire...mon ventre 😂😂😂😂😂,5
"Ayant regardé plusieurs films d'horreurs, c'est le seul que j'ai du mal à regarder avec mat",3
"3:49 Le cadre, je suis morte 🤣🤣",1
Ça a l'air drôle comme film,5
"A 1:45, Math dit que l'héroïne était pistonnée. je comprends pas",1
Jurassic World le monde d'après sans hésiter 😄,5
J'adore le film horreur smile avec math se fait des films 😊😊😊😊je vais le deuxième film smile 2 au cinéma 2 fois 😊,5
La petit seri ses the last of us,5
J'ai pas vu le film..,1
J'ai eu du mal à regarder la vidéo.,3
Conclusion (hative ou non) : Je ne regarderais jamais ce film xD,1
Bon go voir la reine des neiges c'est plus soft,4
La miniature je rigoler tellement,5
pas mal la photo de toi math à la 3:50,3
c'est une copie d'It follows enfait,5
"Ce délire de foutre des blacks avec des blanches dans les films, pub ... Etc c'est vraiment n'imp, c'est quoi le message",5
"Le chat s'appelle moustache comme le miens qui est malheureusement décédé, je vais pleurer 😭",1
smile cest le nom dun esprit dans mob psycho 100,5
Charale!! 😂😂🤣,5
3:49 le cadre 🤌,3
Sur la mignature il a les dents de Freddie Mercury😂,3
(=(=,1
j'ai pas envie de liker pour que le  nombre de like reste a 69K  😮,2
Alors franchement t'es un génie avec les incrustations d'image comme pour celle sur 3:48 bravo tu gère,5
3:48 le cadre est masterclass,5
encore un des film ou le méchant gagne Mais..... il gagne avec de la stupidité merci MATH !,3
"La photo de Math dans l'entrée de la nana, ça m'a fait éclater de rire 😂(repérée au second visionnage).",2
J’adore ton pull 😍,5
3:50 le cadre 😂😂,3
E1 r1 b,5
j'ai tellement rigoler que je me suis deboiter la machoire,2
Moi je peux pas fermer ma porte mes la litière de mes chats sont dans une autre pièce 😢,1
J'étais persuadé que taller faire une réf à The Boys quand j'ai vu l'acteur 😂,3
Qui a vue la photo 😂,5
Le trop du psy qui ne croit pas son patient est un non sens total dans un film fantastique.,5
divergente,3
Ces parodies sont super lourdes. Bonne continuation.,5
Merci Matt on fait pas de cauchemar grâce à toi,5
Moustache c'est le nom d'un de mes chats en plus T_T,5
J'ai peter de rire quand t'as dansé pendant qu'ils fêter l'anniversaire du gamin 😂😂😂,5
👇🏾👍🏾👇🏾🔔✌🏾✌🏾✌🏾,5
Tu pourras faire le film fnaf quand il sortira svppppppp,1
Quelqu'un a la réf du pull ❤ ?,1
"Sinon, super vidéo 😊",4
😂,5
Maintenant je peux aller regarder ce film 🤣,5
C’est triste qu’elle fini morte alors qu’elle a commencé si bien au debut une belle carrière un marie c horrible 🥲😭,1
😂😂😂 JPP. La sécu doit t'indemniser. T'es mon anti depress' officiel ✊💪,5
😂😂😂,5
"J'ai pas vu le film, mais vu les barre que tu m'as fait taper....",3
Il sera jamais crédible 😂🤣👌🏽🤌,1
Le 𝚝𝚊𝚋𝚕𝚎𝚊𝚞,5
Oh j'ai vue le montage de math quand elle rentre chez elle dans les cadre photo 😅😂,3
Première fois que je rigole avec une histoire d’horreur que je n’aime pas habituellement 😅merci,2
"""Mais toi aussi tu vois bien qu'elle est à cran, débarque pas dans le salon comme Usain Bolt""",3
"Tu m""as tuer, j'en pouvais plus. Encore un super épisode, merci Math",2
"J'ai toujours aussi peur de ce film, même avec Math !!",1
Super incroyable vidéo encore une fois continue comme ça.,5
Smile un film horreur flippant au cinéma mais finalement j'aime le film horreur j'ai compris la fin avec math et alors quau cinéma pas  du tout 😂,3
T'as le même pull que celui que m a cousu ma gd mère,1
Même si j'au vu le film au cinéma j'ai peur à chaque moment de la vidéo 😭,3
"rah merde, cette VF...",1
Charalllll…. 😂😅 7:09,5
Un film d'horreur qui finit mal pour tout le monde 🥰,1
Y'a A-Train,5
"Ce serait trop cool si tu faisais ""le menu""",2
LES GARS Y A A TRAIN QUI VA LES SAUVER,5
Ouais Basiquement c’est Alastor de Hazbin Hotel le démon 😂,3
Je fais des cauchemars tout le temps,5
Je comprends pas trop le concept de cette chaine... Ce sont des sortes de parodies résumée de film avec en parallèle le film ? Chelou.... Bon je dois pas être la bonne cible je me suis encore perdu sur youtube lol,2
HAN !!! 3:49 la photo de MATH à l'entrée j'avais pas vu XDD !! Très belle incrustation 👏👏👏 !,3
"C'est pas un film d'horreur ça, c'est juste les états unis xD",1
"😂😂😂😂A 9:22,entre autre",3
Quelqu'un connait la réf de sont pulls il est incroyable ✨,5
"GG pour 1,0000k abonet gg",1
Et dire que mon chien s'appelle Minstinguette ! super msf comme d'habitude !!!!!,5
Ça fait peur,5
Hitcher?,1
"Boujour ou Bonsoir, Belge...tu es un oufffff. Bise",1
Depuis l’époque des vidéo du labyrinthe c’est incroyable comment tu nous fais kiffer le roi du souillage cinématographique 🪝,5
La miniature on dirait hannibal lecteur,3
je suis la seule a avoir vu le cadre avec la tête de math 🤣 3:50  . je suis pliée🤣on peut regarder ce film sans crainte maintenant 🤣,3
Tu crois que je t'ai pas entendu lâcher une perle à 12 minutes 53 😎,1
Je suis le seul à avoir remarqué le cadre de Math à 3:48? 😂😂 Ce mec est un génie,1
C'est dingue. Si je me posais pas la question de ce que tu devenais ben Youtube me disait rien et j'ai du réactiver mon abonnement pour savoir que tu avais fait de nouvelles vidéos... Ces bâtards de Youtube ... Vive Odysee...,5
un des meilleurs film d'horreurs que j'ai vue,5
"Question: si elle se suicide mais qu'il n'y a pas de témoin, comment il fait le démon?",3
It's A TRAIIIIIIIIIIIIIIIIIN,5
Imagine tu vis dedans la norme c sourier,5
Tu souris pas tu passe pour un malade,1
"🤣🤣🤣🤣tjs bien délire.j adorerais te voir souiller Predator,Détour mortel(surtt le 2 mdr),la colline à des yeux, vendredi 13,le 1er..😁😁merci d avance",5
6:42 The last of us la vieeeeeee,1
On te voit dans le cadre 3:50 😂 discrétion maximale,5
Le montage de ce vidéogramme est particulièrement plaisant à l'œil. J'apprécie 😌,5
3:48 qui a vu mdr,3
"Je deteste les films d'horreurs, du coup les emissions de Math m'arrange bien. Et vraiment ces films la ne sont pas pour moi",3
😂,5
