Comment,Number
"Et une bonne vidéo à tous ✌️! Sponso par la légende des sponsors du youtube jeu, NORDVPN, voici le deal exclusif NordVPN sur mon lien : https://nordvpn.com/amixem MERCI MERCI à ceux qui s’abonnent à eux c’est un soutient gigantesque pour ce contenu gratuit ♥️🙏",5
☺️,5
Il sort d'où ce p*tin de chapeau ?,1
Bonjour,3
9:27 j’espère vraiment qu’Étienne va trouver le grand amour il est trop mignon il le mérite 🤭🥹,5
Faire un feat avec pesquet déjà fait et mr beast pareil,5
La séquence sur Vilebrequin a mal vieilli,2
12:41 : Etienne-jamy,3
La Picardie éteint la maine et loire,5
"Bah putain pour un mec qui se dit aimer l'espace bah t'as l'air à l'ouest, aller sur la Lune c'est la ligne B? Ah bon? Et pourtant on se sait pas y retourner, soit disant on a perdu la technologie selon la NASA...",2
Bref encore une fois tu raconte beaucoup de conneries et la jeunesse stupide est à l'écoute et s'abruti toujours un peu plus... Tu devrais te renseigner un minimum sur le pseudo 1er voyage sur le Lune et le contexte dans lequel a été faite cette supercherie anti Chinois...,2
le passage vilebrequin il a mal vieilli,2
Le débat vilebrequin a mal vieilli 💀,2
Mr beast ✅,5
37:12  il a fait les deux XD,3
le feu detruit oui mais ramène la vie par la suite,3
Petit UP.,3
Alors pierre ou Sylvain ?,1
"Rip les loulous, on choisit Sylvain",1
Pourquoi dans le jingle y a les tourelles ?,2
"Techniquement on vit dans Harry Potter, on est juste des moldus",3
15:50 depuis le drama on a compris le choix 😂😂,4
<<Faire un eat avec MrBeast>>,5
15:49 question à ne pas poser en 2024 😅,1
Entre Pierre et Sylvain le choix est plus facile maintenant!,5
"9:08 ""C'est mon prénom"" 🗿",5
Qui se serait dit dans un an maxime  furet un Fitte avec MrBeast,1
Le passage sur villebrequin apres le clash entre sylvain et pierre a une toute autre saveur ....,5
"Encore un concept génial qu'il faut absolument reproduire car c est vraiment drole. j'aime beaucoup ce genre de vidéo, c est une de mes préféré avec le choix des 100 portes et ce qu il y a derriere le rideau. je me lasse pas de les regardé plusieurs fois.",5
Le choix entre Sylvain et Pirre de Vilebrequin a une autre saveur aujourd'hui,4
Le dilemme Vilebrequin a mal vieilli,3
Je pensaid quil etait torse nu yvan,2
"16:06 Cette anecdote sur Sylvain + le fait qu'Etienne préfère Pierre pour sa ""bienveillance"" passe autrement après les révélations de Pierre sur Sylvain et le drama vilebrequin en général...",3
16:25 On ne pourra plus regarder ce duo légendaire comme avant malheureusement...,2
"Regarder la vidéo plus d'un an après sa sortie, revoir le passage Vilebrequin et se rendre compte que déjà, tout le monde choisissait Pierre!",5
