Comment,Number
Pour l'association : On a pas encore eu de réponse au mail (qu’on a envoyé aujourd’hui parce qu’on est à l’arrache) mais j’update asap la description. Vous êtes des amours.,3
10:00 That's Jason from the bad place,1
"J'aime beaucoup le contenu de Cyrus, mais ce concept me semble un peu de mauvais gout. Venter ses bonnes actions, voir meme venter les choses qu'on a fait pour ameliorer notre propre vie (ce qui nous beneficie a nous-meme avant tout), afin d'obtenir une recompense, me semble degrader la valeur de nos actions. Pourquoi ressentons nous un ""merite"" pour ces actions? Je ne pense pas que ca soit une mentalite a encourager.",3
La première personne etait Témoin de Jéhovah 😢,1
"Alors des camions électriques, non seulement c'est super compliqué car un moteur électrique n'est pas assez puissant pour tirer un tel engin sans utiliser énormément d'énergie. Mais en plus ça ne changerais pas grand chose au problème puisque beaucoup de CO2 est émis à la fabrication de ton moteur. Pour l'écologie il faut simplement couper coury à la société de surconsomation. C'est tout",3
Je pense que vous ( les youtubeurs) avez la communauté que vous méritez :) 17:59,5
Quant au mérite je te conseille d'écouter les vidéos ou lire le livre de Robert Sapolsky.,4
"3:35 Pour ce qui est de fêter Noël, Noël est issu d'un rite païen qui célébrait le solstice d'hiver ... voyons ...",3
Mais la larme à l'oeil et du beaume au coeur cher Cyrus !,3
"La premiere c'est une temoin de jéhova et ils rejettent le principe de toutes "" fêtes "" qui sont considérées comme paienne",5
C'est fini trop vite :'(,2
Etant photographe de mariage (entre autre) et je suis ravis d'avoir appris que je fait un travail que certain vois comme une torture XD C'est cool pour la confiance en soit!,5
👍🏻,5
FAQ!,5
"Du coup à défaut du père Noël, il s’est est déguisé en commandant Cousteau (ouais j’ai une ref de boomer) 🤪",1
"Salut,",5
"Je suis photographe moi aussi et j'étais mort de rire en t'entendant dire un spontané ""mais bien sûr"" à la demande du 15-35 série L... Tu sais que ça coute 2000 balles ?",1
🤣,5
"Pour revenir à son histoire, il n'a pas parlé du devis mais il y a de fortes chances que le client ai au préalable tiré les prix (c'est une marque des clients bizarre). Donc petit conseille à lui : fais des prix honnête pour vivre et ne les baisse pas, tu auras des clients en moyen beaucoup plus cool.",3
Oui La FAQ!!,3
Ça revient pas trop cher à faire j'espère ce genre de vidéo,3
"super vidéo comme d’habitude, toujours aussi utile et satisfaisant de se questionner sur des petites choses de la vie 🩵",5
"Je ne trouve pas le nom de l’asso de la dernière anecdote, quelqu’un l’aurait svp ?",1
"Cyrus si tu vois ce commentaire c'était énooormément de ""déçus"" à la place de ""reçus"" qu'il voulait dire je pense.",2
Faqqqq,1
mais le père de elisabeth II est mort en 1952,3
"Prétendre qu'on a le même rapport au travail en Afrique, en Asie et en Europe, que tout le monde est comme nous, ça aussi c'est raciste.",1
Coucou j'adore tes vidéos de base.,5
"Mais maintenant, tu inventes les histoires pour faire des vues ou c'est comment ? 😂",3
Tu fais grave l'éloge de ta personne pendant tout le long !,5
C'est chaloupe tu evolues pas du tout dans le mood que tu avais à la base ..,2
"""Je suis écolo... un peu comme tout le monde""",3
"Oooh que non ! Moi aussi je pensais cela, parce que mon entourage et les personnes que je côtoie le sont un minimum, mais je vous assure, il y a tout plein des gens qui s'en moquent complètement de l'écologie !",1
"La première histoire … j’ai deviné tout de suite la religion en questions, les TJ, toi même tu sais ! Je comprends complètement le ressenti et vraiment écrire à ce sujet ce serait intéressant !",5
Courage meuf et bravo pour ton émancipation.,5
"Merci, tu es un soleil Cyrus !",5
"pas fan de ce format je trouve qu'écrire un mail pour se saucé en espérant avoir un cadeau c'est assez malaisant, si tu devais offrir des cadeaux à des gens pour leurs bonnes actions ils ne doivent pas savoir que c'est pour un cadeau (camera caché peut être?) cela permettra aussi de trier tous les mito aussi, c'est facile d'inventer un scénario pour recevoir un cadeau.",2
Dans plusieurs cas aussi certaines personnes décrivent des bonnes actions de bon sens (exemple avec la chatte bruyante) je ne suis pas sur que ca mérite un cadeau ou quoi.. j'ai envie de dire limite en écrivant dans un mail la bonne action ca enlèverai presque la dite bonne action car ca passerai de bonne action désintéresser à une action (même à posteriori) pour obtenir un cadeau. Enfin bref.. sinon super story telling Cyrus comme d'hab tu gère ;),3
Aïe aïe aïe j’adore Cyrus,5
"Globalement je pense avoir été sage. Malgré mon handicap, je continue mon job dans le social (et je peux vous dire que c'est très dur mentalement). J'ai assumé mon job, je me suis occupée de ma santé (opération et tout le bordel). J'ai su aidé mes amis, même si je doute que ce soit de vrais amis mais, je ne compte pas changer. Quand on me demande de l'aide, je sais me rendre disponible, je le prends comme une mission de vie (c'est un ressenti).",3
"Je donne tout les mois pour des associations et dans ma vie du quotidien j'essaie de moins gaspiller, d'être plus réfléchie et de moins consommer. Je cherche à vivre de façon plus minimaliste (C'est pas encore ça mais j'y arrive !).",5
"Je me suis prise de passion pour mes plantes et ça change tout le confort de ma maison, plus lumineux, plus chaleureux, plus de vie.",5
"Je pense que je donne de mon mieux et j'essaie de toujours de me remettre en question. J'aime apprendre, je suis très curieuse donc je suis certaine que je suis capable de m'améliorer.",3
"Je regrette tout de même de beaucoup parler d'une de mes collègues de boulot un peu capricieuse (elle parle aussi sur moi donc...) mais de mon coté j'en parle à des gens extérieur qui ne vivent pas du tout dans la même ville, ça me permet de moins culpabiliser.",3
"Mon plus grand regret c'est de procrastiner et de ne pas terminé la correction de mon bouquin. Mon livre en ligne à fait plus de 11.000 lecteurs, j'en suis fière et je souhaite le corriger pour avoir une chance d'être publier par une maison d'édition.",1
"Sauf que j'en suis très loin, j'ai une dizaine de bouquin à écrire et mon plus grand rêve c'est qu'on m'en propose des films. J'ai une imagination débordante mais je procrastine... Finalement, c'est plus simple de vivre tout ça dans sa tête que d'être en action.",3
Je vois une psychologue et psychiatre pour mieux me gérer et me comprendre. J'espère que l'avenir me sera prometteur !,5
Joyeux Noel à tous. Merci pour tout.,5
Du coup l'asso pour les sdf ?,3
THE QUESTION : c'est quoi des bottes anti-fatigue ?  🤷🏽‍♀️,3
Quand est ce qu’il y aura un autre êtes vous des merdes bientôt ? Quand je vais sur l’émail par lequel il faut passer pour raconter son histoire j’ai un message comme quoi je ne peux pas envoyer de mail :/,1
