Comment,Number
Alors plutôt team harissa ou team tarama ?,3
Grosse promo Nord VPN par ici   https://nordvpn.com/mcflyetcarlito  - Collaboration commerciale,5
Mais c’est qui Sacha enfaite ?,3
31:02,1
Sacha il est trop mignon 🫶🏻🫶🏻🫶🏻,2
Sachou le Goat ! <3,5
Question pour Sacha : est-ce que le bal avec la prof c'est déjà passé et si oui comment c'était?,3
"J'ai testé la sauce ""vierge"" de Mcfly sur une papillote de cabillaud avec des petites carottes nouvelles... Merci Mcfly !!",5
"Sans déconner elle fait partie de mes top 10, j'ai finis mon repas comblée.",5
43..une bonne béarnaise maison rien de mieux,3
"Ils sont  payés à quoi ceux qui vont chercher les sauces au lieu de prendre les dérivés yavait sauce soja, wasabi, sauce blanche , fromage.. arrêtez vos trucs + miel + oignons...",1
Sacha est trop mignon,2
😂😂😂,5
« Pourquoi c’est les pieds ? »,2
sacha quel goat je l'aime,5
10:51 maic c les etats unis pas la chine XD,1
"10:51 ""Courber la Chine"". La Chine : la carte des Etats-Unis x)",1
"Je regarde le passage avec Sasha en boucle, votre interaction tellement mignonne, j'ai eu la même réaction quand il a dit qu'il allait être accompagné d'une prof😄😍. Qu'il passe un très beau moment Sacha😍",2
Bonjour mcfly et carlit je remarque que monsieur mcfly a jeter un coup doeil au niveau de la 30eme sauce tous simplement inacceptable,1
"Gros bisous de Dijon, et gloire à la Moutarde ! 😘",5
"carlito tjr le meilleur depuis un moment, bravo a toi...",5
C'est qui se Sacha ?? Je redébarque sorry ^^,1
ça serait possible qu'un chef vous fasse les sauces ? Y aura plus de plaintes sur le fait que ça soit industriel,3
Sacha qu'arrive à pécho sa prof et moi j'ai jamais réussi. CHAMPIOOOOOON !!!!!,1
"Dite moi que je ne suis pas le seul à avoir vu que la ""Chine"" est en faite les états unis 😂😂😂",1
"Si il y a un capital soleil, une fois que tu l’as usé tu es obligé de mettre casquette et crème solaire sinon cancer de la peau, mon père a usé son capital soleil, il avait des croûtes chelou sur le front, il a été à la dermatologue à temps, il est passé pas loin du cancer de la peau. Croyez pas que bronzé, ne pas se protéger du soleil et avoir des coups de soleil c’est stylé vous êtes juste en train d’usé votre capital soleil. Je suis la seule qui adore la sauce Roquefort et le mélange mayo ketchup ?😂",2
La pour la sauce cocktail mais fait maison mazette,3
La grosse tête mc fly ça commence a être un peu voyant quand même dommage faut redescendre un peu,3
faite on devine différent thé svp,3
chu fan de sauce cocktail,4
Meme avec 43 sauce ils on pas trouver la lamb sauce.....😢😢😢,1
"""Mcfly devine des sauces et les fait ensuite deviner à Carlito""",4
Pitié les gens goûter fromage+ketchup 🙏,1
Faite des dégustation de rhum environ 20 à 25,4
J’adore son frère . Il dst adorable 🥹,5
J'ai les memes sauces preferes que sacha,5
La Bourguignonne meilleure sauce rien avoir avec la Coktail !!,5
Il faudrait faire la même chose avec les confitures il y a tellement de goût différent 😂,2
Sacha est si précieux 🥺🥺🥺🥺,5
J'ai juré Carlito t'es un doberman c'est trop 😭😭😭,1
sauce outine pour la poutine,4
Carlito n'a aucun palais !,1
la communication avec toute l'équipe est incroyable,5
Et si il y avait on devine des jus de fruits? Ou encore des terrines avec differents gouts ou meme des macro genre macro moutarde..,2
Un balle de fin d'année ?? Merci Sachaaaaaa,1
38:48 MDRRRRRRRRRRRr,1
Sauce chauve 😂😂😂😂😂,4
Sacha tu es mon préféré 😊 je suis fan de toi 😂😂🥰,5
On critique pas la sauce rouille de Provence.,2
Moi je propose à mcfly et carlito  de finir elden ring un defi presque impossible (comme le filme) mais trkl rien ne peut les arretes meme pas des sauces,1
Fou rire Carlito il est trop nul il trouve aucune sauce évidente même moi à travers l’écran avec la description que Mcfly faisait des sauces j’arrivais à trouver mais lui même en goûtant il arrive pas mdrrrrrrrr,1
Macon!!!!!,5
À quand une vidéo avec Sachou comme invité ?,3
Le bal de fin d'année de YouTube ce serai fou avec Léna seb djilsi Maxime michou elsa.... ce serai fou 🥰,5
Tu peux refaire les sauces avec les descriptions des goûts des sauces de David,4
on test 100 marques de chaussures,5
"42:45 le bisous de Carlito on dirait une tête à claque, de l'époque x))",1
Edmond Fallot la seule moutarde française les gars !!,1
"tester des marques suisse, nos produits sont géniaux. Venez et je vous fais découvrir",5
"Je penses que les belges ont de meilleurs marques de sauces et un meilleur choix de sauces, parce que s'il vous plait Amorra et Benedicte c'est des marques à jeter à la poubelle",2
