keyword,count
vidéo,39
faire,39
pub,25
pouvoir,24
sponso,23
youtube,22
game,20
trop,19
vraiment,18
video,15
long,15
regarder,15
produit,15
bon,14
base,14
bien,14
rien,13
impossible,13
placement,12
vouloir,12
aller,12
prendre,11
gros,11
savoir,11
voir,11
mdr,10
sponsoriser,10
site,9
dommage,9
passer,9
contre,9
jamais,8
meilleur,8
utiliser,7
an,7
info,7
log,7
little,7
aimer,7
falloir,7
big,7
concept,7
abonné,7
donnée,7
incroyable,6
promo,6
permettre,6
dark,6
chaine,6
adorer,6
oui,6
web,6
fois,6
idée,6
cas,6
jour,6
gratuit,6
comprendre,6
gars,6
vendre,6
truc,5
côté,5
beaucoup,5
entrer,5
fai,5
question,5
donner,5
min,5
entreprise,5
penser,5
marche,5
cyrus,5
wtf,5
accepter,5
sponsor,5
payer,5
devenir,5
aucun,5
youtub,4
publicité,4
priver,4
contenu,4
partout,4
vie,4
retrouver,4
abonner,4
petit,4
coup,4
titre,4
excus,4
foutre,4
non,4
roast,4
internet,4
sécurité,4
intro,4
service,4
partenariat,4
luire,4
mal,4
fuck,4
mettre,4
limite,4
cher,4
serveur,4
arnaque,4
promotion,4
chose,4
trouver,4
anonyme,4
fin,4
conner,4
arriver,4
essayer,4
fake,4
croire,3
tracker,3
technologie,3
contourner,3
connecter,3
casser,3
histoire,3
série,3
tester,3
part,3
minute,3
loin,3
dister,3
sou,3
faux,3
besoin,3
servir,3
vieux,3
violer,3
sûr,3
utilité,3
youtuber,3
pays,3
ami,3
expliquer,3
bloqu,3
genre,3
hacker,3
argument,3
mieux,3
jdg,3
bout,3
capitaine,3
continuer,3
présent,3
squeezie,3
ouf,3
épisode,3
année,3
exemple,3
revendre,3
sorry,3
faute,3
random,3
sujet,3
compte,3
marcher,3
téléphone,3
importer,3
terrible,3
envahir,3
netflix,3
devoir,3
pire,3
désolé,3
absolument,3
cool,3
attention,3
totalement,2
chris,2
episode,2
obliger,2
langage,2
rire,2
essayez,2
risque,2
satisfait,2
rembourser,2
explication,2
bref,2
utilisation,2
noël,2
idiot,2
inutile,2
sympa,2
boite,2
capitain,2
lourd,2
activité,2
police,2
blague,2
nom,2
génial,2
nombre,2
new,2
limité,2
démonte,2
amixem,2
micode,2
mauvais,2
politique,2
connaître,2
divulguer,2
pierre,2
sylvain,2
prouver,2
voiture,2
société,2
laisse,2
vrai,2
dieu,2
demande,2
souscrire,2
offrir,2
qlq,2
donné,2
doute,2
belgique,2
valider,2
merde,2
absence,2
cyprien,2
sec,2
interdire,2
enfant,2
monde,2
arrêter,2
rir,2
hyper,2
travail,2
throne,2
center,2
espérer,2
vraie,2
pvn,2
marché,2
ficher,2
attend,2
voyager,2
chine,2
placer,2
majorité,2
répéter,2
aïe,2
humour,2
marketing,2
agressif,2
vivre,2
attendai,2
excellent,2
déçu,2
opé,2
northvpn,2
north,2
blagu,2
faut,2
sortir,2
pensée,2
intérêt,2
public,2
rappel,2
rapport,2
mois,2
fou,2
nan,2
commencer,2
accéder,2
décevoir,2
personnel,2
attendre,2
externe,2
raptor,2
téler,2
qualité,2
système,2
production,2
complètement,2
ailleurs,2
drôle,2
semaine,2
application,2
sert,2
marque,2
liberté,2
début,2
changer,2
jouer,2
banal,2
porte,2
place,2
eliminator,2
gueule,2
garder,2
evidence,2
billet,2
foutu,2
adresse,2
chaîne,2
face,2
logitiel,2
cest,2
antis,2
genial,2
français,2
mec,2
youtubeur,2
classe,2
chier,2
hat,2
exister,2
film,2
abonnemer,2
wifi,2
connexion,2
tomber,2
monétiser,2
captain,2
obligé,2
box,2
tuer,2
employé,2
crypte,1
ahhh,1
toile,1
pose,1
ironie,1
arrete,1
réponse,1
connai,1
carlito,1
squeezi,1
mère,1
sincère,1
interesse,1
fun,1
sponsorisation,1
diminuer,1
qualitatif,1
bonus,1
vanne,1
chambre,1
fille,1
rythme,1
lieu,1
argent,1
dégoût,1
bracelet,1
distant,1
rigolo,1
premieum,1
corellation,1
adguard,1
security,1
filtrage,1
publicitaire,1
autopromotion,1
anti,1
addware,1
rosomware,1
trojan,1
hammconage,1
dns,1
poxi,1
pâs,1
droit,1
prank,1
server,1
etranger,1
casi,1
sûre,1
filtre,1
cookie,1
tracabilité,1
fonctionner,1
delocaliser,1
physique,1
historique,1
apelle,1
celer,1
traçailité,1
operateur,1
inviter,1
affimativ,1
spam,1
total,1
pompe,1
fric,1
lol,1
sai,1
jer,1
desinstaller,1
facebook,1
offre,1
géolocalisation,1
franchement,1
network,1
dégueu,1
plateau,1
avis,1
viewer,1
atteindre,1
claquer,1
balader,1
mâcher,1
houuuu,1
humiliant,1
gout,1
légende,1
racont,1
virer,1
tournage,1
olala,1
vanner,1
mors,1
couvert,1
moyenne,1
âge,1
border,1
transition,1
magnum,1
présenter,1
version,1
musique,1
