keyword,count
vidéo,209
faire,177
pub,139
super,122
bien,93
pouvoir,71
sponso,64
cool,58
voir,56
bon,55
grand,49
rien,46
placement,46
regarder,45
utiliser,45
top,45
vraiment,44
meilleur,40
jdg,40
savoir,40
produit,39
lol,38
aller,38
prendre,38
video,35
non,33
trop,33
excellent,32
adorer,30
falloir,30
vouloir,29
besoin,29
chose,29
fois,28
fin,27
bravo,27
donnée,27
gratuit,27
passer,26
petit,25
mettre,24
contre,23
captain,22
youtube,22
trouver,22
vie,22
coup,20
incroyable,20
penser,20
sponsor,19
fai,19
monde,19
jour,18
gros,18
temps,18
service,18
best,18
servir,17
vrai,17
argent,17
oui,17
direct,17
épisode,17
jamais,17
sponsoriser,17
intro,16
mdr,16
franchement,16
cbd,16
protéger,16
beaucoup,16
france,16
sujet,16
rire,16
internet,15
jeu,15
permettre,15
cas,15
marche,15
aimer,15
connaître,15
truc,15
venir,15
an,15
croire,14
début,14
entrer,14
donne,14
luire,14
payer,14
donner,14
bout,14
mieux,14
moment,13
genre,13
grâce,13
drôle,13
bref,13
qualité,13
priver,13
comprendre,13
info,13
netflix,12
promo,12
contenu,12
exister,12
bah,12
gagner,12
aucun,12
wow,12
devoir,12
normal,12
youtuber,12
arrêter,12
génial,12
vendre,12
merde,11
pur,11
abonnement,11
abonnemer,11
concept,11
habitude,11
pays,11
part,11
sécurité,11
site,11
mal,11
north,11
autant,11
continuer,11
changer,11
recherche,10
perso,10
simple,10
cyprien,10
prix,10
information,10
idée,10
acteur,10
cyrus,10
ailleurs,10
roast,10
mec,10
publicité,10
compte,10
google,10
public,10
jouer,10
cest,10
manque,10
année,9
commencer,9
équipe,9
minute,9
serveur,9
math,9
acheter,9
seb,9
code,9
plaisir,9
important,9
énorme,9
passage,9
youtubeur,9
entreprise,9
connexion,9
haha,9
youtub,8
fou,8
marre,8
chaine,8
cacher,8
commentaire,8
partie,8
attendre,8
film,8
partenariat,8
personn,8
niveau,8
main,8
devenir,8
faux,8
dommage,8
proposer,8
envier,8
dernier,8
capitaine,8
lien,8
entendre,8
sou,8
long,8
ici,8
celer,7
bonjour,7
expliquer,7
fort,7
histoire,7
totalement,7
ever,7
prochain,7
intéressant,7
espérer,7
partir,7
micode,7
original,7
social,7
pierre,7
putain,7
parfaire,7
nozman,7
abonner,7
final,7
offrir,7
pouce,7
question,7
écrire,7
eter,7
inutile,7
activité,7
réseau,7
chanvre,7
vultech,7
hab,7
obliger,6
pareil,6
absolument,6
travail,6
personnage,6
ouf,6
machine,6
chaîne,6
tre,6
adresse,6
placer,6
premium,6
mourir,6
société,6
revoir,6
anonyme,6
partout,6
demander,6
musique,6
finir,6
live,6
arriver,6
thc,6
sortir,6
peur,6
cause,6
bleu,6
like,6
sûr,6
clairement,6
sérieux,6
rembourser,6
mois,6
fabien,6
web,6
nice,6
bizarre,6
utilisateur,6
nom,6
arnaque,6
problème,6
man,6
accéder,6
commercial,6
créateur,6
the,6
svp,6
cher,5
zéro,5
majorité,5
gars,5
accepter,5
joue,5
accès,5
vilebrequin,5
mdrr,5
illégal,5
ete,5
génie,5
série,5
connecter,5
moteur,5
clair,5
intérêt,5
tester,5
revenir,5
empêcher,5
streaming,5
force,5
travailler,5
sang,5
mort,5
cybersécurité,5
fonctionner,5
sécuriser,5
rester,5
version,5
fun,5
envie,5
manière,5
lieu,5
chiant,5
salut,5
suite,5
con,5
malheureusement,5
souci,5
scène,5
montage,5
amixem,5
principe,5
seconde,5
essayer,5
symper,5
préférer,5
spécial,5
loin,5
fournisseur,5
compagnie,4
étranger,4
hey,4
twitch,4
tuer,4
boulot,4
type,4
manquer,4
opé,4
hahaha,4
pratique,4
contourner,4
sentir,4
français,4
court,4
proxy,4
superbe,4
personnel,4
loulou,4
place,4
vrmt,4
attention,4
episode,4
avouer,4
rare,4
auto,4
revendre,4
voiler,4
magnifique,4
médicament,4
secondaire,4
euro,4
big,4
aide,4
importer,4
présentation,4
lancer,4
avis,4
safe,4
loi,4
moyen,4
arreter,4
securité,4
sponsoring,4
foutre,4
hein,4
accord,4
découvrir,4
air,4
oublier,4
réussir,4
allez,4
bloquer,4
plein,4
balle,4
accessible,4
lourd,4
moin,4
capable,4
perdre,4
squeezie,4
agence,4
employer,4
bcp,4
marketing,4
simplement,4
point,4
sylvain,4
utile,4
oeil,4
mensonger,4
facebook,4
vue,4
analyse,4
promotion,4
animation,4
entier,4
northvpn,4
hello,4
enfiler,4
bisou,4
sert,4
impression,4
lire,4
coupure,4
content,4
panama,4
créer,4
aime,4
gueule,4
scénario,4
informatique,4
égal,3
hackeur,3
télécharger,3
ensuite,3
faite,3
relou,3
utilisation,3
siècle,3
débile,3
collecte,3
presque,3
domaine,3
réduction,3
mdrrr,3
apprécier,3
écouter,3
éthique,3
travers,3
drogue,3
retrouver,3
gun,3
possibilité,3
décor,3
contenir,3
vivre,3
uniquement,3
intégré,3
évidemment,3
fan,3
conner,3
esprit,3
remplacer,3
dhab,3
cœur,3
bordel,3
beau,3
côté,3
rapport,3
first,3
outil,3
psy,3
benzo,3
pose,3
ancien,3
infiniment,3
métrage,3
lâcher,3
julien,3
chaud,3
vanne,3
